"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
5092018,509,2018,"AR0030400","AR0030400","","N","N",,"I","LAKEVIEW","LAKEVIEW POLICE DEPARTMENT LAKEVIEW","Lakeview","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",713,23355,"ARUCR0001","Arkansas Crime Information Center","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,0,0,0,0,01-FEB-99,01-JAN-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BAXTER","Non-MSA","Y","Y","Y"
5102018,510,2018,"AR0040000","AR0040000","","N","N",,"I","BENTON","BENTON CO SO BENTONVILLE","Benton","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","County",48960,23355,"ARUCR0001","Arkansas Crime Information Center","Y",20,"9B","MSA counties from 25,000 thru 99,999","9","MSA Counties","N",3,"R","Y",106,98,204,9,35,44,0,0,01-FEB-99,01-JAN-06,01-JAN-15,01-JAN-15,01-JAN-15,01-JAN-15,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
5112018,511,2018,"AR0040100","AR0040100","","N","N",,"I","BENTONVILLE","BENTONVILLE PD","Bentonville","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",51607,23355,"ARUCR0001","Arkansas Crime Information Center","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",73,5,78,2,24,26,0,0,01-FEB-99,01-JAN-08,01-APR-15,01-APR-15,01-APR-15,01-APR-15,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
5122018,512,2018,"AR0040200","AR0040200","","N","N",,"I","ROGERS","ROGERS PD","Rogers","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",68026,23355,"ARUCR0001","Arkansas Crime Information Center","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",98,15,113,11,26,37,0,0,01-FEB-99,01-JAN-08,01-JAN-15,01-JAN-15,01-JAN-15,01-JAN-15,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
5132018,513,2018,"AR0040300","AR0040300","","N","N",,"I","SILOAM SPRINGS","SILOAM SPRINGS PD","Siloam Springs","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",17102,23355,"ARUCR0001","Arkansas Crime Information Center","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",35,2,37,2,13,15,0,0,01-FEB-99,01-JAN-08,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
5142018,514,2018,"AR0040400","AR0040400","","N","N",,"I","PEA RIDGE","PEA RIDGE PD","Pea Ridge","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",5873,23355,"ARUCR0001","Arkansas Crime Information Center","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",14,0,14,0,1,1,0,0,01-FEB-99,01-JAN-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
5152018,515,2018,"AR0040500","AR0040500","","N","N",,"I","GENTRY","GENTRY PD","Gentry","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",3842,23355,"ARUCR0001","Arkansas Crime Information Center","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",8,1,9,0,1,1,0,0,01-FEB-99,01-JAN-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
5162018,516,2018,"AR0040600","AR0040600","","N","N",,"I","LOWELL","LOWELL PD","Lowell","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",9522,23355,"ARUCR0001","Arkansas Crime Information Center","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",20,4,24,0,2,2,0,0,01-FEB-99,01-JAN-03,01-JAN-15,01-JAN-15,01-JAN-15,01-JAN-15,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
5172018,517,2018,"AR0040700","AR0040700","","N","N",,"I","GRAVETTE","GRAVETTE PD","Gravette","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",3328,23355,"ARUCR0001","Arkansas Crime Information Center","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",10,0,10,0,1,1,0,0,01-FEB-99,01-JAN-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
5182018,518,2018,"AR0040800","AR0040800","","N","N",,"I","DECATUR","DECATUR PD","Decatur","","A",3,"Arkansas","AR","AR","7","West South Central","3","South","Region III","City",1814,23355,"ARUCR0001","Arkansas Crime Information Center","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",6,0,6,0,0,0,0,0,01-FEB-99,01-OCT-03,01-SEP-14,01-SEP-14,01-SEP-14,01-SEP-14,"N","BENTON","Fayetteville-Springdale-Rogers, AR","Y","Y","Y"
