"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2016,21,112119013
2016,3,103906324
2016,21,109887050
2016,21,109605975
2016,21,109605976
2016,21,109605977
2016,21,109605978
2016,21,109605979
2016,21,109605980
2016,21,109605981
2016,21,109605982
2016,21,109605983
2016,21,109605984
2016,21,109605985
2016,21,109605986
2016,21,109605987
2016,21,109605988
2016,21,109605989
2016,21,109605990
2016,21,109605991
2016,21,109605992
2016,21,109605994
2016,21,109605995
2016,21,109605996
2016,21,109605997
2016,21,109605998
2016,21,109605999
2016,21,109606000
2016,21,109606001
2016,21,109606002
2016,21,109606003
2016,21,109606004
2016,21,109606005
2016,21,109606006
2016,21,109606007
2016,21,109606008
2016,21,109606009
2016,21,109606010
2016,21,109606011
2016,21,109606012
2016,21,109606013
2016,21,109606014
2016,21,109606015
2016,21,109606016
2016,21,109606017
2016,21,109606018
2016,21,109606019
2016,21,109606020
2016,21,109606021
2016,21,109606022
2016,21,109606023
2016,21,109606024
2016,21,109606025
2016,21,109606026
2016,21,109606027
2016,21,109699378
2016,21,109699379
2016,21,109699380
2016,21,109699381
2016,21,109699382
2016,21,109699383
2016,21,109699384
2016,21,109699385
2016,21,109699386
2016,21,109699387
2016,21,109699388
2016,21,109699389
2016,21,109699390
2016,21,109699391
2016,21,109699392
2016,21,109699393
2016,21,109699394
2016,21,109699395
2016,21,109699396
2016,21,109699397
2016,21,109699398
2016,21,109699399
2016,21,109699400
2016,21,109699401
2016,21,109699402
2016,21,109699403
2016,21,109699404
2016,21,109699405
2016,21,109699406
2016,21,109699407
2016,21,109699408
2016,21,109699409
2016,21,109699410
2016,21,109699411
2016,21,109699412
2016,21,109699413
2016,21,109699414
2016,21,109699415
2016,21,109699416
2016,21,109699417
2016,21,109699418
2016,21,109699420
2016,21,109699421
2016,21,109699422
2016,21,109699423
2016,21,109699424
2016,2,103904844
2016,2,109232460
2016,22,103905295
2016,22,103905396
2016,22,103905435
2016,22,103905458
2016,22,103905501
2016,22,103905604
2016,22,103906146
2016,21,109792512
2016,21,109792513
2016,21,109792514
2016,21,109792515
2016,21,109792516
2016,21,109792517
2016,21,109792518
2016,21,109792519
2016,21,109792520
2016,21,109792521
2016,21,109792522
2016,21,109792523
2016,21,109792524
2016,21,109792525
2016,21,109792526
2016,21,109792527
2016,22,109605993
2016,21,109887047
2016,21,109792528
2016,21,109792529
2016,21,109792530
2016,21,109792531
2016,21,109792532
2016,21,109792533
2016,21,109792534
2016,21,109792535
2016,21,109792536
2016,21,109792537
2016,21,109792538
2016,21,109792539
2016,21,109792540
2016,21,109792541
2016,21,109792542
2016,21,109792543
2016,21,109792544
2016,21,109792545
2016,21,109792546
2016,21,109792547
2016,21,109792548
2016,21,109792549
2016,21,109792550
2016,21,109792551
2016,21,109792552
2016,21,109792553
2016,21,109792554
2016,21,109792555
2016,21,109792556
2016,21,109792557
2016,21,110702214
2016,21,110183060
2016,21,110183067
2016,21,110183057
2016,21,110183056
2016,21,103904312
2016,21,103904313
2016,21,103904314
2016,21,103904315
2016,21,103904316
2016,21,103904317
2016,21,103904318
2016,21,103904319
2016,21,103904320
2016,21,103904321
2016,21,103904322
2016,21,103904323
2016,21,103904324
2016,21,103904325
2016,21,103904326
2016,21,103904327
2016,21,103904328
2016,21,103904329
2016,21,103904330
2016,21,103904331
2016,21,103904332
2016,21,103904333
2016,21,103904334
2016,21,103904335
2016,21,103904336
2016,21,103904337
2016,21,103904338
2016,21,103904339
2016,21,103904340
2016,21,103904341
2016,21,103904342
2016,21,103904343
2016,21,103904344
2016,21,103904345
2016,21,103904346
2016,21,103904347
2016,21,103904348
2016,21,103904349
2016,21,103904350
2016,21,103904351
2016,21,103904352
2016,21,103904353
2016,21,103904354
2016,21,103904355
2016,21,103904356
2016,21,103904357
2016,21,103904358
2016,21,103904359
2016,21,103904360
2016,21,103904361
2016,21,103904362
2016,21,103904363
2016,21,103904364
2016,21,103904365
2016,21,103904366
2016,21,103904367
2016,21,103904368
2016,21,103904369
2016,21,103904370
2016,21,103904371
2016,21,103904372
2016,21,103904373
2016,21,103904374
2016,21,103904375
2016,21,103904376
2016,21,103904377
2016,21,103904378
2016,21,103904379
2016,21,103904380
2016,21,103904381
2016,21,103904382
2016,21,103904383
2016,21,103904384
2016,21,103904385
2016,21,103904386
2016,21,103904388
2016,21,103904389
2016,21,103904390
2016,21,103904391
2016,21,103904392
2016,21,103904393
2016,21,103904394
2016,21,103904395
2016,21,103904396
2016,21,103904397
2016,21,103904398
2016,21,103904399
2016,21,103904400
2016,21,103904401
2016,21,103904403
2016,21,103904404
2016,21,103904405
2016,21,103904406
2016,21,103904407
2016,21,103904408
2016,21,103904409
2016,21,103904410
2016,21,103904411
2016,21,103904412
2016,21,103904413
2016,21,103904414
2016,21,103904415
2016,21,103904416
2016,21,103904417
2016,21,103904418
2016,21,103904419
2016,21,103904420
2016,21,103904421
2016,21,103904422
2016,21,103904423
2016,21,103904424
2016,21,103904425
2016,21,103904426
2016,21,103904427
2016,21,103904428
2016,21,103904429
2016,21,103904430
2016,21,103904431
2016,21,103904432
2016,21,103904433
2016,21,103904434
2016,21,103904435
2016,21,103904436
2016,21,103904437
2016,21,103904438
2016,21,103904439
2016,21,103904440
2016,21,103904441
2016,21,103904442
2016,21,103904443
2016,21,103904444
2016,21,103904445
2016,21,103904446
2016,21,103904447
2016,21,103904448
2016,21,103904449
2016,21,103904450
2016,21,103904451
2016,21,103904452
2016,21,103904453
2016,21,103904454
2016,21,103904455
2016,21,103904456
2016,21,103904457
2016,21,103904458
2016,21,103904459
2016,21,103904460
2016,21,103904461
2016,21,103904462
2016,21,103904463
2016,21,103904464
2016,21,103904465
2016,21,103904466
2016,21,103904467
2016,21,103904468
2016,21,103904469
2016,21,103904470
2016,21,103904471
2016,21,103904472
2016,21,103904473
2016,21,103904474
2016,21,103904475
2016,21,103904476
2016,21,103904477
2016,21,103904478
2016,21,103904479
2016,21,103904480
2016,21,103904481
2016,21,103904482
2016,21,103904483
2016,21,103904484
2016,21,103904485
2016,21,103904486
2016,21,103904487
2016,21,103904488
2016,21,103904489
2016,21,103904490
2016,21,103904491
2016,21,103904492
2016,21,103904493
2016,21,103904494
2016,21,103904495
2016,21,103904496
2016,21,103904497
2016,21,103904498
2016,21,103904499
2016,21,103904500
2016,21,103904501
2016,21,103904502
2016,21,103904503
2016,21,103904504
2016,21,103904505
2016,21,103904506
2016,21,103904507
2016,21,103904508
2016,21,103904509
2016,21,103904510
2016,21,103904511
2016,21,103904512
2016,21,103904513
2016,21,103904514
2016,21,103904515
2016,21,103904516
2016,21,103904517
2016,21,103904518
2016,21,103904519
2016,21,103904520
2016,21,103904521
2016,21,103904172
2016,21,103904173
2016,21,103904174
2016,21,103904175
2016,21,103904176
2016,21,103904177
2016,21,103904178
2016,21,103904179
2016,21,103904180
2016,21,103904181
2016,21,103904182
2016,21,103904183
2016,21,103904184
2016,21,103904185
2016,21,103904186
2016,21,103904187
2016,21,103904188
2016,21,103904189
2016,21,103904190
2016,21,103904191
2016,21,103904192
2016,21,103904193
