"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2016,3,104470397
2016,3,104471495
2016,3,104471496
2016,3,104472590
2016,3,104472605
2016,3,104472609
2016,3,104472611
2016,3,104472615
2016,3,104472619
2016,3,104472626
2016,3,104472632
2016,3,104472645
2016,3,104472646
2016,3,104472654
2016,3,104474824
2016,3,104474826
2016,3,104474828
2016,3,104474830
2016,3,104474831
2016,3,104474844
2016,3,104474853
2016,3,104474866
2016,3,104474874
2016,3,104475926
2016,3,104475947
2016,3,104475963
2016,3,104475964
2016,3,104475969
2016,3,104475975
2016,3,104475976
2016,3,104477060
2016,3,104479230
2016,3,104479242
2016,3,104479250
2016,3,104481468
2016,3,104481469
2016,3,104464815
2016,3,104464820
2016,3,104464840
2016,3,104464873
2016,3,104464874
2016,3,104465927
2016,3,104465966
2016,3,104469362
2016,3,104469365
2016,3,104470414
2016,3,104470426
2016,3,104471552
2016,3,104472671
2016,3,104472672
2016,3,104472678
2016,3,104472697
2016,3,104472701
2016,3,104472703
2016,3,104472705
2016,3,104472706
2016,3,104472707
2016,3,104474897
2016,3,104474903
2016,3,104474906
2016,3,104474921
2016,3,104474922
2016,3,104474926
2016,3,104474927
2016,3,104474929
2016,3,104474930
2016,3,104474934
2016,3,104474939
2016,3,104475980
2016,3,104475981
2016,3,104475982
2016,3,104476015
2016,3,104476020
2016,3,104476021
2016,3,104476034
2016,3,104476035
2016,3,104476042
2016,3,104478181
2016,3,104464884
2016,3,104464887
2016,3,104464888
2016,3,104466013
2016,3,104466052
2016,3,104467145
2016,3,104469382
2016,3,104469408
2016,3,104471592
2016,3,104471599
2016,3,104471613
2016,3,104471618
2016,3,104471619
2016,3,104471643
2016,3,104472729
2016,3,104472732
2016,3,104472761
2016,3,104472766
2016,3,104472773
2016,3,104472778
2016,3,104474954
2016,3,104474955
2016,3,104474967
2016,3,104474973
2016,3,104474974
2016,3,104474976
2016,3,104474977
2016,3,104474992
2016,3,104474996
2016,3,104474997
2016,3,104475010
2016,3,104475011
2016,3,104475012
2016,3,104475021
2016,3,104476057
2016,3,104478309
2016,3,104463888
2016,3,104463902
2016,3,104464966
2016,3,104465007
2016,3,104466074
2016,3,104466076
2016,3,104466118
2016,3,104467193
2016,3,104467194
2016,3,104467198
2016,3,104467213
2016,3,104468267
2016,3,104468312
2016,3,104468313
2016,3,104468327
2016,3,104471658
2016,3,104471662
2016,3,104471663
2016,3,104471673
2016,3,104471674
2016,3,104471675
2016,3,104471678
2016,3,104471679
2016,3,104471682
2016,3,104471683
2016,3,104471687
2016,3,104471703
2016,3,104471709
2016,3,104471714
2016,3,104471722
2016,3,104471723
2016,3,104472801
2016,3,104472807
2016,3,104472813
2016,3,104472833
2016,3,104472840
2016,3,104472857
2016,3,104472859
2016,3,104472866
2016,3,104472868
2016,3,104475027
2016,3,104475038
2016,3,104475039
2016,3,104475067
2016,3,104475073
2016,3,104475074
2016,3,104475079
2016,3,104475081
2016,3,104476121
2016,3,104476130
2016,3,104476131
2016,3,104477221
2016,3,104463919
2016,3,104463940
2016,3,104465026
2016,3,104465027
2016,3,104465059
2016,3,104466150
2016,3,104466189
2016,3,104466190
2016,3,104467233
2016,3,104467276
2016,3,104467277
2016,3,104468396
2016,3,104469569
2016,3,104469570
2016,3,104471726
2016,3,104471761
2016,3,104471762
2016,3,104471763
2016,3,104471786
2016,3,104472871
2016,3,104472874
2016,3,104472875
2016,3,104472878
2016,3,104472880
2016,3,104472888
2016,3,104472896
2016,3,104472903
2016,3,104472910
2016,3,104472917
2016,3,104472922
2016,3,104472937
2016,3,104472938
2016,3,104475096
2016,3,104475106
2016,3,104475119
2016,3,104475153
2016,3,104475154
2016,3,104476206
2016,3,104476223
2016,3,104476225
2016,3,104476226
2016,3,104476231
2016,3,104476235
2016,3,104476236
2016,3,104476240
2016,3,104477287
2016,3,104478441
2016,3,104464032
2016,3,104466214
2016,3,104467303
2016,3,104468418
2016,3,104468456
2016,3,104468465
2016,3,104469610
2016,3,104471798
2016,3,104471801
2016,3,104471802
2016,3,104471815
2016,3,104471816
2016,3,104471840
2016,3,104471852
2016,3,104472948
2016,3,104472954
2016,3,104472955
2016,3,104472970
2016,3,104472971
2016,3,104473005
2016,3,104473013
2016,3,104475166
2016,3,104475169
2016,3,104475187
2016,3,104475192
2016,3,104475195
2016,3,104475196
2016,3,104475208
2016,3,104475223
2016,3,104475225
2016,3,104475226
2016,3,104476256
2016,3,104476275
2016,3,104476276
2016,3,104476284
2016,3,104476290
2016,3,104476291
2016,3,104476292
2016,3,104476298
2016,3,104476299
2016,3,104477382
2016,3,104477385
2016,3,104480667
2016,3,104480723
2016,3,104464106
2016,3,104464120
2016,3,104464121
2016,3,104465182
2016,3,104465192
2016,3,104465201
2016,3,104466292
2016,3,104466302
2016,3,104466318
2016,3,104466320
2016,3,104466321
2016,3,104467367
2016,3,104467409
2016,3,104467410
2016,3,104467426
2016,3,104470775
2016,3,104471897
2016,3,104471898
2016,3,104471906
2016,3,104471907
2016,3,104471911
2016,3,104471921
2016,3,104471922
2016,3,104471925
2016,3,104471931
2016,3,104471932
2016,3,104473020
2016,3,104473026
2016,3,104473033
2016,3,104473049
2016,3,104473060
2016,3,104473064
2016,3,104473076
2016,3,104475230
2016,3,104475231
2016,3,104475232
2016,3,104475242
2016,3,104475243
2016,3,104475244
2016,3,104475254
2016,3,104475255
2016,3,104475273
2016,3,104475274
2016,3,104475278
2016,3,104475281
2016,3,104475284
2016,3,104475297
2016,3,104475298
2016,3,104476374
2016,3,104478524
2016,3,104479664
2016,3,104464128
2016,3,104464142
2016,3,104464148
2016,3,104465241
2016,3,104465245
2016,3,104465246
2016,3,104467454
2016,3,104467482
2016,3,104467483
2016,3,104467484
2016,3,104468552
2016,3,104468553
2016,3,104469768
2016,3,104471942
2016,3,104471943
2016,3,104471944
2016,3,104471950
2016,3,104471951
2016,3,104471957
2016,3,104471958
2016,3,104471978
2016,3,104471979
2016,3,104471981
2016,3,104471996
2016,3,104473090
2016,3,104473091
2016,3,104473100
2016,3,104473102
2016,3,104473112
2016,3,104473142
2016,3,104473144
2016,3,104473145
2016,3,104473151
2016,3,104473153
2016,3,104473154
2016,3,104475308
2016,3,104475309
2016,3,104475310
2016,3,104475311
2016,3,104475312
2016,3,104475334
2016,3,104475335
2016,3,104475338
2016,3,104475339
2016,3,104475363
2016,3,104476400
2016,3,104476402
2016,3,104476403
2016,3,104476415
2016,3,104476433
2016,3,104476434
2016,3,104476444
2016,3,104476454
2016,3,104477553
2016,3,104478609
2016,3,104478610
2016,3,104464208
2016,3,104464209
2016,3,104464244
2016,3,104465349
2016,3,104466403
2016,3,104467559
2016,3,104467560
2016,3,104467568
2016,3,104467569
2016,3,104468673
2016,3,104472017
2016,3,104472019
2016,3,104472021
2016,3,104472030
2016,3,104472033
2016,3,104472034
2016,3,104472038
2016,3,104472040
2016,3,104472064
2016,3,104473157
2016,3,104473164
2016,3,104473174
2016,3,104473176
2016,3,104473180
2016,3,104473181
2016,3,104473188
2016,3,104473200
2016,3,104473203
2016,3,104473206
2016,3,104475382
2016,3,104475383
2016,3,104475384
2016,3,104475386
2016,3,104475388
2016,3,104475389
2016,3,104475396
2016,3,104475408
2016,3,104475413
2016,3,104475418
2016,3,104475419
2016,3,104476456
2016,3,104476457
2016,3,104476458
2016,3,104476462
2016,3,104476464
2016,3,104476465
2016,3,104476498
2016,3,104476510
2016,3,104477597
2016,3,104464278
2016,3,104464279
2016,3,104464285
2016,3,104467634
2016,3,104468713
2016,3,104472083
2016,3,104472088
2016,3,104472089
2016,3,104472095
2016,3,104472096
2016,3,104472108
2016,3,104472124
2016,3,104472128
2016,3,104472131
2016,3,104472138
2016,3,104472144
2016,3,104472147
2016,3,104475437
2016,3,104475447
2016,3,104475448
2016,3,104475452
2016,3,104475494
2016,3,104475495
2016,3,104475496
2016,3,104476524
2016,3,104476533
2016,3,104476568
2016,3,104477627
2016,3,104478773
2016,3,104480942
2016,3,104480955
2016,3,104464338
2016,3,104465482
2016,3,104465498
2016,3,104465499
2016,3,104466554
2016,3,104466556
2016,3,104466557
2016,3,104466568
2016,3,104466573
2016,3,104466589
2016,3,104466597
2016,3,104471032
2016,3,104472160
2016,3,104472163
2016,3,104472164
2016,3,104472186
2016,3,104472188
2016,3,104472200
2016,3,104472214
2016,3,104472223
2016,3,104475504
2016,3,104475517
2016,3,104475522
2016,3,104475530
2016,3,104475531
2016,3,104475538
2016,3,104475550
2016,3,104475551
2016,3,104475552
2016,3,104475556
2016,3,104475557
2016,3,104475570
2016,3,104476599
