"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2017,99896537,113567956
2017,99896579,113568010
2017,99896579,113568012
2017,99897090,113568587
2017,99897209,113568715
2017,99897356,113568855
2017,99897389,113568904
2017,99897877,113569434
2017,99898029,113569611
2017,99898065,113569650
2017,99898065,113569646
2017,99898065,113569639
2017,99898226,113569823
2017,99898396,113569988
2017,99898706,113570343
2017,99898768,113570410
2017,99898899,113570546
2017,99898897,113570546
2017,99899621,113571201
2017,99899817,113571381
2017,99900019,113571595
2017,99900110,113571690
2017,99900319,113571896
2017,99900407,113571967
2017,99900460,113572025
2017,99900573,113572135
2017,99900631,113572202
2017,99900729,113572305
2017,99901014,113572585
2017,99901673,113573220
2017,99901762,113573305
2017,99901772,113573313
2017,99901776,113573311
2017,99901800,113573333
2017,99901938,113573478
2017,99901938,113573480
2017,99902069,113573621
2017,99902069,113573615
2017,99902123,113573678
2017,99902129,113573678
2017,99902197,113573750
2017,99902278,113573827
2017,99902278,113573821
2017,99902364,113573917
2017,99902366,113573917
2017,99902467,113574015
2017,99902509,113574053
2017,99902613,113574155
2017,99902646,113574198
2017,99902685,113574238
2017,99902689,113574238
2017,99902714,113574264
2017,99902783,113574332
2017,99902806,113574352
2017,99902814,113574359
2017,99902877,113574420
2017,99902939,113574468
2017,99903011,113574533
2017,99903006,113574533
2017,99903166,113574700
2017,99903202,113574732
2017,99903375,113574902
2017,99903454,113574975
2017,99903475,113574998
2017,99903515,113575026
2017,99903539,113575059
2017,99903554,113575074
2017,99903663,113575178
2017,99903765,113575285
2017,99903845,113575365
2017,99903907,113575424
2017,99904025,113575538
2017,99904045,113575553
2017,99904109,113575628
2017,99904206,113575725
2017,99904226,113575755
2017,99904332,113575870
2017,96586329,110227217
2017,96586327,110227217
2017,96586326,110227217
2017,96586384,110227277
2017,96586434,110227331
2017,96586504,110227392
2017,96586584,110227457
2017,96586859,110227734
2017,96586872,110227749
2017,96587004,110227886
2017,96587004,110227885
2017,96587177,110228053
2017,96587216,110228093
2017,96587216,110228094
2017,96587246,110228124
2017,96587264,110228147
2017,96587618,110228485
2017,96587622,110228482
2017,96587658,110228517
2017,96587739,110228595
2017,96587739,110228594
2017,96587755,110228616
2017,96587855,110228710
2017,96587855,110228708
2017,96587894,110228751
2017,96587894,110228743
2017,96588135,110228990
2017,96588168,110229024
2017,96588503,110229359
2017,96590967,110231831
2017,96590997,110231852
2017,96591025,110231877
2017,96591160,110232005
2017,96591157,110232005
2017,96591177,110232015
2017,96591177,110232014
2017,96591177,110232017
2017,96591326,110232192
2017,96591379,110232246
2017,96592000,110232858
2017,96592045,110232902
2017,96592068,110232923
2017,96592102,110232952
2017,96592115,110232973
