"DATA_YEAR","VICTIM_ID","INJURY_ID"
2018,109121087,5
2018,109114567,4
2018,109116527,5
2018,109116526,4
2018,109116877,4
2018,109117237,5
2018,109125316,5
2018,109117555,5
2018,109117557,5
2018,109118740,4
2018,109118751,5
2018,109127076,4
2018,109119040,4
2018,109119526,5
2018,109123972,4
2018,109123979,4
2018,109123979,2
2018,109119620,4
2018,109128135,5
2018,109128237,4
2018,109129940,4
2018,109130054,4
2018,109130131,4
2018,109130577,5
2018,109128887,5
2018,109134782,4
2018,109130759,5
2018,109131028,5
2018,109131027,5
2018,109129447,5
2018,109131200,5
2018,109131583,5
2018,109131686,5
2018,109132138,5
2018,109132147,5
2018,109140473,5
2018,109140603,5
2018,109140638,5
2018,109132348,5
2018,109132763,5
2018,109132785,2
2018,109132943,4
2018,109132942,4
2018,109132982,4
2018,109136628,5
2018,109141461,5
2018,109141516,3
2018,109141588,5
2018,109141589,5
2018,109133488,4
2018,109133905,5
2018,109133990,4
2018,109134002,5
2018,109134016,4
2018,109142532,4
2018,109137261,5
2018,109134479,4
2018,109142745,5
2018,108005794,5
2018,108005803,5
2018,108005799,5
2018,108006509,6
2018,108006892,4
2018,109112927,4
2018,109119901,4
2018,109119902,5
2018,109112983,5
2018,109120740,5
2018,109116265,4
2018,109114008,4
2018,109116415,5
2018,109116537,4
2018,109114296,4
2018,109114337,4
2018,109114480,4
2018,109117208,1
2018,109117291,5
2018,109125309,5
2018,109125307,5
2018,109121980,5
2018,109125447,5
2018,109122114,4
2018,109125665,4
2018,109125742,5
2018,109117875,5
2018,109125867,5
2018,109125868,5
2018,109122641,5
2018,109119410,4
2018,109127881,5
2018,109124004,5
2018,109130181,4
2018,109134676,5
2018,109128863,5
2018,109130554,5
2018,109130570,4
2018,109140582,4
2018,109132696,5
2018,109141021,5
2018,109141040,5
2018,109132733,5
2018,109132721,5
2018,109132729,5
2018,109132734,5
2018,109132884,5
2018,109141186,4
2018,109141268,5
2018,109133156,5
2018,109136637,5
2018,109133213,4
2018,109133233,5
2018,109141496,5
2018,109141500,5
2018,109136698,4
2018,109133365,4
2018,109133439,5
2018,109133507,5
2018,109133853,5
2018,109142043,5
2018,109136990,5
2018,109137019,5
2018,109142362,5
2018,109134181,4
2018,109142506,5
2018,109142529,5
2018,109134446,5
2018,109134633,4
2018,109145009,5
2018,109145066,4
2018,109119943,4
2018,109123601,4
2018,109127642,4
2018,109127767,5
2018,109129807,4
2018,109130390,4
2018,109128700,5
2018,109124621,5
2018,109124636,5
2018,109136160,5
2018,109132281,4
