suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,89928933,0.1,1,6353404
5,89928936,4.8,1,6353405
5,89928944,29.3,1,6353406
5,89928945,5.6,1,6353407
16,89928985,1,9,6353408
8,89920340,4,9,6353455
5,89925300,0,,6353502
5,89926478,23,10,6353503
16,89926479,2,9,6353504
5,89926480,0.01,1,6353505
5,89927770,2,1,6353512
5,89929001,1,1,6353525
5,89929009,1,1,6353526
5,89929010,0.78,1,6353527
5,89929013,2,1,6353528
17,89929036,1,9,6353529
5,89929038,3,1,6353530
5,89929039,1,1,6353531
5,89929046,0.5,3,6353532
16,89929060,0,,6353533
5,89929063,0.13,3,6353534
16,89906375,1,9,6344572
5,89906377,0.09,1,6344573
1,89906398,3.001,1,6344574
5,89906399,0.9,1,6344575
8,89906408,180,9,6344576
5,89914851,1,1,6344610
8,89898055,7,9,6344615
5,89898066,1,10,6344616
16,89898076,1,9,6344617
5,89904146,1,1,6344631
5,89905274,0.5,1,6344632
4,89905275,2,8,6344633
16,89905282,1,3,6344634
4,89908789,0.1,1,6344651
5,89908795,1,3,6344652
5,89908822,6,10,6344653
5,89908828,1,1,6344654
8,89900594,1,9,6344691
5,89900618,0.166,3,6344692
1,89900620,107.6,1,6344693
5,89905410,2,1,6344725
1,89911324,1.001,1,6344742
15,89911334,10,9,6344743
5,89911355,11.2,1,6344744
4,89911364,0.2,1,6344745
5,89913834,0.66,1,6344752
16,89915005,15.005,9,6344753
5,89918027,1.7,1,6353584
16,89918033,48,9,6353585
1,89918055,0.5,1,6353586
5,89933981,1,1,6353712
5,89933990,11.4,1,6353713
5,89916840,2.7,1,6353724
5,89916845,1.6,1,6353725
5,89916853,3,1,6353726
5,89916857,0.3,1,6353727
5,89916864,0.23,1,6353728
8,89916865,37,9,6353729
5,89916867,0.2,1,6353730
5,89916868,0,1,6353731
5,89916870,0.013,3,6353732
5,89916872,1,11,6353733
5,89916898,1,10,6353734
16,89918069,1,9,6353735
5,89918074,0.63,3,6353736
5,89918090,7.8,1,6353737
4,89918091,0.052,1,6353738
5,89918127,2.1,1,6353741
5,89918132,0.1,1,6353742
16,89925387,2,9,6353774
5,89925443,0,,6353775
5,89925444,2,10,6353776
8,89927910,2,9,6353784
5,89927932,2,1,6353785
4,89934020,0.5,1,6353823
5,89934021,0.1,3,6353824
5,89934023,0.25,1,6353825
5,89918141,1.1,1,6353835
16,89918149,3.5,9,6353836
5,89918155,0,,6353837
8,89918171,1,1,6353838
5,89918179,1,3,6353839
5,89918194,0.01,3,6353840
5,89919369,1,1,6353842
5,89925476,0,,6353860
8,89925482,2,9,6353861
5,89925496,1,10,6353862
5,89925512,1,1,6353863
5,89926716,0,,6353864
5,89926733,2.03,3,6353865
8,89927997,1,9,6353866
5,89928020,1,1,6353867
2,89928025,28.3,1,6353868
16,89905428,2,9,6344855
8,89911390,2,9,6344884
5,89911391,2.5,1,6344885
5,89911401,7.9,1,6344886
5,89911402,3.4,1,6344887
5,89911403,9.6,1,6344888
5,89911404,0.6,1,6344889
5,89911407,6.3,1,6344890
5,89911419,7.9,1,6344891
5,89915856,1.6,1,6344921
5,89915883,14.5,1,6344922
5,89915890,0.9,1,6344923
16,89915896,1,9,6344924
5,89907802,2,1,6344969
8,89915939,40,1,6344997
5,89915940,1,9,6344998
5,89915945,3,1,6344999
5,89915946,0,1,6345000
5,89915947,1,11,6345001
16,89915949,2,1,6345002
5,89915961,3.2,1,6345003
8,89915969,0.5,9,6345004
8,89915971,30,9,6345005
5,89915981,28,1,6345006
1,89899568,0.003,1,6345010
4,89900830,2.2,1,6345013
1,89871646,2,1,6345046
5,89871664,11.6,3,6345047
5,89872826,23,1,6345048
12,89872848,20,9,6345049
5,89872863,11.7,1,6345050
2,89872880,21.2,1,6345051
5,89872885,2.835,1,6345052
16,89872887,0.001,9,6345053
5,89865520,4.4,1,6345096
8,89865521,188.005,9,6345097
8,89865524,0,,6345098
5,89865526,0.02,3,6345099
5,89865529,0.5,1,6345100
5,89865533,9,10,6345101
5,89865539,0.5,1,6345102
5,89871677,3.009,1,6345110
7,89871683,2,9,6345111
4,89871726,0.01,1,6345112
5,89872895,15.5,1,6345113
5,89859501,27.9,1,6345134
16,89859511,7,9,6345135
8,89928047,5,9,6353869
4,89928049,1.006,1,6353870
5,89917033,5,1,6353895
5,89926755,1,1,6353963
5,89926760,50,10,6353964
5,89926764,1,1,6353965
3,89926780,1,1,6353966
5,89933008,0.5,3,6353990
5,89933009,0.02,3,6353991
5,89917058,1,1,6354001
4,89917070,1,1,6354002
12,89917073,0,9,6354003
5,89917092,0.5,1,6354004
5,89917127,0.18,3,6354005
5,89917129,1.3,1,6354006
5,89917131,17.7,1,6354007
16,89924422,180,1,6354056
5,89933010,0.125,3,6354093
5,89933011,0.05,3,6354094
5,89933015,0.5,3,6354095
5,89933034,1,1,6354096
5,89933048,3.8,1,6354097
5,89933055,3.5,1,6354098
5,89933060,0.3,3,6354099
5,89933072,96.601,3,6354100
5,89933085,0.1,3,6354101
5,89917137,0.5,1,6354109
8,89917209,1,9,6354110
5,89859516,20.5,1,6345136
5,89859520,3.3,1,6345137
1,89859526,2.3,1,6345138
16,89861976,1,9,6345147
5,89865616,1.6,1,6345148
5,89865618,3.008,1,6345149
5,89865620,0.12,3,6345150
5,89865625,4,1,6345151
5,89865636,0.1,1,6345152
5,89871764,6,1,6345188
5,89871768,16,1,6345189
5,89871769,1,1,6345190
5,89871772,6,10,6345191
1,89859533,0.6,1,6345208
5,89859539,2,9,6345209
5,89859546,32.3,1,6345210
5,89859560,0.3,1,6345211
5,89859577,0.5,1,6345212
16,89859582,8,9,6345213
5,89862014,0.1,1,6345215
16,89862053,24,9,6345216
5,89862055,1,1,6345217
8,89862057,6,9,6345218
5,89868170,4,1,6345235
4,89862060,1.2,1,6345310
16,89862094,1,9,6345311
5,89868204,27.1,1,6345340
5,89868216,3.031,1,6345341
5,89868220,0.54,3,6345342
5,89868229,2.25,3,6345343
5,89868230,0.1,1,6345344
8,89868237,5.5,9,6345345
12,89868241,1,1,6345346
8,89868243,18,9,6345347
5,89868244,2,1,6345348
5,89868245,8.836,3,6345349
5,89868246,4,1,6345350
5,89868248,0.1,3,6345351
5,89868250,4,1,6345352
5,89868251,1,9,6345353
5,89868254,1,3,6345354
5,89870747,10.5,1,6345359
5,89870760,11.2,1,6345360
4,89871922,0.8,1,6345361
5,89871925,0,,6345362
5,89871945,7.2,1,6345363
8,89871950,24,9,6345364
5,89871955,1,1,6345365
16,89871958,5,9,6345366
5,89871963,1,1,6345367
5,89871977,3.6,1,6345368
5,89933107,2,3,6354185
5,89933111,2.36,3,6354186
5,89933114,0.1,1,6354187
5,89933120,2.6,1,6354188
5,89933124,0.14,3,6354189
5,89933125,0.86,3,6354190
5,89933134,3.3,1,6354191
5,89933136,1,3,6354192
5,89917213,1,11,6354203
1,89917223,7.5,1,6354204
5,89917259,0,1,6354205
8,89917260,1,9,6354206
5,89917261,1,9,6354207
8,89917265,4,9,6354208
5,89924588,0.01,3,6354226
5,89924592,1,1,6354227
5,89924604,1,1,6354228
16,89924608,1,1,6354229
5,89924609,2,1,6354230
5,89924615,3,10,6354231
16,89924617,1,9,6354232
5,89924620,1,9,6354233
8,89924624,3,9,6354315
5,89924633,1.1,1,6354316
5,89924635,0.4,1,6354317
5,89924643,2.8,1,6354318
5,89924649,0,,6354319
13,89924655,2.5,9,6354320
5,89924659,6.7,1,6354321
14,89924662,1,9,6354322
5,89924673,0.156,3,6354323
8,89934490,4,9,6354354
5,89934512,1,3,6354355
5,89934531,98,10,6354433
5,89864639,0.01,1,6345423
5,89864642,2.83,1,6345424
8,89868274,1,9,6345452
5,89868283,0.72,3,6345453
5,89868286,0.05,3,6345454
5,89869564,48.194,1,6345456
5,89869566,0.01,1,6345457
5,89869567,16,10,6345458
5,89869577,25.515,1,6345459
5,89869579,2,1,6345460
5,89869584,296.6,1,6345461
5,89869589,43.7,1,6345462
5,89869595,15.9,1,6345463
5,89869599,11.7,1,6345464
5,89870770,10,1,6345470
16,89870795,5,9,6345471
5,89870800,0.01,3,6345472
15,89870801,5,9,6345473
4,89871981,1,1,6345475
5,89872003,1,1,6345476
5,89872008,0.5,1,6345477
5,89872010,1,3,6345478
5,89872011,3,1,6345479
5,89872014,2,3,6345480
5,89859878,11.9,1,6345604
5,89859885,1,1,6345605
5,89859886,11,1,6345606
16,89859896,4.5,9,6345607
16,89861090,1,9,6345610
8,89861103,1,9,6345611
5,89861126,2,1,6345612
8,89870960,0.5,9,6345636
5,89870971,0.05,1,6345637
5,89870972,16.4,1,6345638
15,89870990,1,9,6345639
3,89872204,0.04,1,6345644
5,89872206,2,1,6345645
5,89861146,28.35,1,6345679
5,89861155,49.8,1,6345680
5,89861174,9.92,1,6345681
16,89936114,56,9,6350185
5,89937287,2.6,1,6350186
5,89937288,1,3,6350187
5,89937299,0.5,1,6350188
5,89937326,0.8,1,6350189
2,89923608,0,1,6354473
4,89935375,0.9,1,6354532
5,89935393,0.1,1,6354533
5,89935397,5,10,6354534
5,89935406,0.002,3,6354535
8,89935409,168,9,6354536
3,89935415,0,1,6354537
5,89935437,0,,6354538
5,89923639,1,1,6354557
5,89923658,6.1,1,6354558
5,89935469,1,11,6354624
5,89935488,0.57,3,6354625
16,89921254,105,9,6354651
4,89921261,2,9,6354652
5,89921265,1,1,6354653
15,89923697,8,9,6354666
5,89923698,6,10,6354667
5,89923715,2.3,1,6354668
5,89867268,0.2,3,6345722
5,89867276,19,1,6345723
8,89871002,1,9,6345738
5,89871003,2,3,6345739
2,89871012,0.5,1,6345740
16,89871015,1,9,6345741
16,89871027,1,9,6345742
5,89871037,0.6,1,6345743
5,89871039,1,1,6345744
5,89868590,18,1,6345832
5,89868593,10.4,1,6345833
8,89868595,1,9,6345834
11,89868602,5,1,6345835
5,89868609,6.3,1,6345836
13,89868610,1,9,6345837
5,89868621,48.7,1,6345838
5,89871075,0.268,3,6345846
5,89871080,1,1,6345847
5,89858896,113.4,1,6345894
5,89858905,2.268,1,6345895
5,89858913,3,1,6345896
5,89868640,27.1,1,6345923
5,89868657,11.34,1,6345924
5,89868684,14.7,1,6345925
5,89868698,2,1,6345926
12,89858927,20,9,6345976
4,89858935,7,1,6345977
5,89858957,2.835,1,6345978
5,89858963,2.8,1,6345979
16,89858965,31,9,6345980
5,89860151,5,1,6345981
5,89860165,4.9,1,6345982
3,89860192,4.9,1,6345983
5,89947106,5,3,6350246
15,89947119,1,9,6350247
5,89955021,0.16,3,6350287
5,89955045,3,3,6350288
4,89955048,4,1,6350289
4,89955049,0,,6350290
5,89955052,10.2,1,6350291
8,89955056,14,9,6350292
5,89936137,1.3,1,6350294
5,89936167,9.9,1,6350295
16,89936171,2,9,6350296
5,89936198,0.3,1,6350297
8,89936201,0,,6350298
2,89950886,0.8,1,6350360
5,89950895,3.004,1,6350361
5,89950899,1,1,6350362
8,89950900,641,9,6350363
5,89950902,1,1,6350364
8,89936270,2,9,6350382
5,89936277,3,1,6350383
4,89936280,1.4,1,6350384
5,89938735,4.2,1,6350391
5,89938737,0.2,1,6350392
12,89938746,3,9,6350393
5,89944768,2,1,6350417
5,89944772,1.1,1,6350418
5,89944774,2.6,1,6350419
5,89944784,1,1,6350420
8,89944786,4,9,6350421
17,89944788,1,9,6350422
16,89944791,1,9,6350423
5,89944794,1.5,3,6350424
5,89944805,1.3,1,6350425
5,89944828,0.23,3,6350426
5,89944831,0.135,3,6350427
5,89948494,1.9,1,6350440
4,89948495,2,9,6350441
5,89948497,1,1,6350442
17,89948508,0,,6350443
5,89948510,1,1,6350444
5,89948512,3.275,3,6350445
5,89948516,2,10,6350446
5,89948519,4.8,1,6350447
5,89948524,1,1,6350448
5,89950925,0.2,1,6350454
5,89950934,2,4,6350455
8,89936293,1.5,9,6350476
5,89936330,1,1,6350477
5,89936333,0.01,3,6350478
5,89936345,0.1,1,6350479
5,89938747,0.2,1,6350489
16,89860200,17,9,6345984
5,89871225,0.8,1,6346031
8,89871254,9,9,6346032
5,89871257,2,1,6346033
15,89859018,6,9,6346058
1,89860218,10,1,6346059
16,89860235,2,9,6346060
2,89871314,0,1,6346103
4,89871338,0.5,1,6346104
15,89871344,81.005,9,6346105
5,89871349,1.2,1,6346106
5,89871351,0.05,1,6346107
5,89871352,0.05,1,6346108
5,89873749,45.7,1,6346113
5,89873754,2,1,6346114
5,89873755,11.7,1,6346115
5,89873767,0.29,1,6346116
5,89873807,12,1,6346117
5,89866475,1,1,6346177
8,89866477,18,9,6346178
5,89866478,3.5,1,6346179
5,89866480,3,1,6346180
5,89866482,1,9,6346181
16,89866486,3,1,6346182
5,89866489,1,11,6346183
8,89867712,2,9,6346184
16,89867718,108,9,6346185
5,89872626,1.1,1,6346199
5,89872629,1.1,1,6346200
5,89872632,1,9,6346201
5,89872635,2,1,6346202
5,89872639,8.5,1,6346203
5,89872641,1,1,6346204
4,89873821,14,1,6346206
5,89860441,0.1,1,6346248
5,89866495,5,1,6346263
4,89938749,10,1,6350490
5,89944839,3.5,1,6350527
5,89944844,0.25,1,6350528
5,89944850,3,3,6350529
5,89944855,2,1,6350530
5,89944865,27,1,6350531
5,89944870,0.6,1,6350532
5,89944876,3.3,1,6350533
5,89944878,3.4,1,6350534
5,89944885,1.6,1,6350535
5,89944892,0.2,1,6350536
5,89944897,0.3,1,6350537
5,89944900,1.3,1,6350538
5,89944901,22.3,1,6350539
5,89944904,7.011,1,6350540
8,89946181,1,9,6350615
17,89946192,5,9,6350616
5,89949911,0.9,1,6350627
5,89949915,1,1,6350628
5,89949916,0.57,3,6350629
4,89949920,0.004,7,6350630
5,89946227,0.2,3,6350700
5,89946234,0.1,3,6350701
5,89946249,0.005,1,6350702
11,89946260,0.001,3,6350703
5,89946266,0.2,3,6350704
4,89947520,0.1,1,6350707
1,89947530,1.002,1,6350708
5,89947541,1,1,6350709
5,89949935,1,3,6350713
16,89949939,208.001,9,6350714
5,89949954,9.4,1,6350715
5,89949968,1,3,6350716
1,89949977,149.9,1,6350717
5,89949980,0.05,1,6350718
5,89949981,0.4,1,6350719
5,89949988,1,3,6350720
5,89949990,0.25,3,6350721
16,89949998,4,9,6350722
8,89951169,3,9,6350724
8,89951174,11,9,6350725
5,89951181,0.01,3,6350726
5,89951183,4.3,1,6350727
5,89951184,1.3,1,6350728
5,89951189,1,3,6350729
5,89951200,0.5,1,6350730
5,89951207,3,1,6350731
15,89815030,13,1,6341797
5,89815032,1,3,6341798
5,89815040,5.2,1,6341799
5,89815041,0.67,3,6341800
5,89815052,8.9,1,6341801
8,89867722,1,9,6346268
13,89867730,1,9,6346269
16,89859286,36,9,6346301
5,89860443,3,1,6346302
5,89860478,3,1,6346303
5,89860502,333,1,6346304
5,89862979,2.7,1,6346309
8,89870350,2,9,6346327
16,89870351,3,9,6346328
15,89870381,1,9,6346329
5,89872761,1,1,6346333
5,89872798,10,1,6346334
5,89872807,3,1,6346335
5,89860521,1.9,1,6346383
8,89860533,1,9,6346384
8,89860536,2,9,6346385
16,89862985,1,3,6346389
2,89865501,1,1,6346406
5,89869142,9,1,6346414
5,89869147,0.5,3,6346415
5,89869153,1,3,6346416
5,89869157,0.5,3,6346417
5,89869161,0.027,3,6346418
8,89878967,0,,6346471
8,89879004,17,9,6346472
4,89879013,10,1,6346473
5,89879019,0.25,3,6346474
5,89880177,42.524,1,6346475
5,89880183,10.8,1,6346476
8,89880207,1,9,6346477
4,89880213,6.5,1,6346478
4,89880223,12,1,6346479
5,89880231,6,1,6346480
5,89880244,1.8,1,6346481
8,89881435,51,9,6346482
5,89881457,1,3,6346483
16,89881469,10,9,6346484
5,89881473,5,1,6346485
5,89896159,0,1,6346539
8,89896179,0,,6346540
5,89896201,1.25,1,6346541
16,89879027,3.005,9,6346544
5,89879032,1,11,6346545
5,89879040,1,11,6346546
5,89879045,2.2,1,6346547
5,89879050,8.009,1,6346548
5,89879079,2.5,1,6346549
8,89879083,5,9,6346550
5,89880269,1,10,6346551
16,89943911,1,9,6350778
9,89943915,1,9,6350779
5,89943919,9.3,1,6350780
5,89943920,1,1,6350781
5,89943922,12,1,6350782
5,89947574,0.12,3,6350788
5,89947588,1,1,6350789
5,89947594,0.13,3,6350790
5,89947602,3.6,1,6350791
5,89947603,0.1,3,6350792
5,89947611,5.15,1,6350793
4,89947616,1,9,6350794
1,89947617,17,1,6350795
5,89950013,1,1,6350805
5,89950023,4.6,1,6350806
4,89950040,0.5,1,6350807
15,89950046,4,9,6350808
5,89950047,1.006,1,6350809
5,89951219,0.2,1,6350811
12,89951223,3,9,6350812
16,89951228,59,9,6350813
5,89951238,9.4,1,6350814
5,89951240,1.5,1,6350815
5,89951252,2.9,1,6350816
5,89951254,17.3,1,6350817
5,89951255,4,1,6350818
5,89951259,0.01,1,6350819
8,89951263,33,9,6350820
5,89951265,1.28,3,6350821
5,89951267,4.2,1,6350822
5,89951287,3.9,1,6350823
5,89943927,1,3,6350866
5,89947635,6.4,3,6350878
5,89947643,1,3,6350879
5,89947646,0.5,1,6350880
5,89947650,8.5,1,6350881
5,89947656,1.44,3,6350882
4,89947659,1.3,1,6350883
5,89951301,2,1,6350899
5,89951323,0.5,1,6350900
5,89951329,0.032,3,6350901
5,89951331,0.009,3,6350902
4,89951332,38,9,6350903
5,89951341,0.05,3,6350904
8,89951342,0,,6350905
5,89951345,0.5,1,6350906
5,89951348,0.5,1,6350907
5,89951353,2,1,6350908
5,89951359,2,1,6350909
5,89940437,1,1,6351036
4,89940466,0,,6351037
5,89940469,17.3,1,6351038
5,89940477,0,,6351039
5,89940499,13.005,1,6351040
5,89814100,2,1,6342083
5,89814104,1,1,6342084
5,89814105,0.3,1,6342085
16,89814124,1,9,6342086
5,89814134,0.2,1,6342087
5,89810463,3,10,6342138
12,89810466,1,9,6342139
7,89810471,2,9,6342140
5,89814146,4.2,3,6342149
5,89816635,1,11,6342161
5,89816637,1,1,6342162
5,89810485,14,1,6342193
16,89810487,2,9,6342194
16,89810488,4,9,6342195
5,89810489,0.03,3,6342196
5,89810493,1,11,6342197
5,89810494,0.525,3,6342198
5,89880271,6.007,1,6346552
16,89880290,2,9,6346553
5,89881483,2.5,1,6346554
5,89882741,7,1,6346557
5,89882746,14,1,6346558
5,89882760,0.001,1,6346559
5,89886381,3.1,1,6346564
4,89886395,10,1,6346565
8,89886407,0.5,9,6346566
16,89886414,4,9,6346567
5,89886421,1,3,6346568
5,89880338,1,1,6346611
5,89882778,0.25,1,6346619
5,89882798,0.4,1,6346620
4,89882799,0,1,6346621
5,89882819,0.1,1,6346622
5,89882824,0.1,1,6346623
5,89882833,1,1,6346624
5,89886435,4,1,6346629
5,89886466,1,1,6346630
5,89897051,7,1,6346682
5,89897053,2,1,6346683
4,89897079,10.007,1,6346684
8,89897102,0,,6346685
4,89897105,0.001,1,6346686
1,89897119,0,,6346687
13,89880456,2,9,6346700
5,89880464,13.3,1,6346701
5,89880468,4,1,6346702
5,89880471,2.008,1,6346703
5,89880476,3,1,6346704
8,89880479,17,9,6346705
4,89882856,1,1,6346716
4,89882865,1,11,6346717
5,89882873,25,10,6346718
8,89897125,300,9,6346803
5,89897139,0.3,1,6346804
8,89897156,20,1,6346805
4,89897175,1.1,1,6346806
5,89879291,1,3,6346811
16,89879295,1,3,6346812
5,89879298,0.24,3,6346813
13,89879311,14,1,6346814
5,89879319,1.23,3,6346815
5,89879322,1,1,6346816
4,89880483,0.05,1,6346817
5,89880492,7,1,6346818
5,89880493,8,1,6346819
5,89880500,9,1,6346820
5,89880501,0.001,3,6346821
5,89945292,1,1,6351052
5,89945308,1,9,6351053
5,89947794,0.05,3,6351063
8,89947795,39,9,6351064
5,89947812,364.028,1,6351065
8,89947817,9,9,6351066
4,89947830,441,9,6351067
5,89950307,0.05,1,6351079
5,89940503,6.6,1,6351111
5,89940504,0.13,3,6351112
5,89940505,1,3,6351113
5,89940513,0.02,3,6351114
5,89940530,1,3,6351115
5,89950318,0.5,1,6351150
5,89950322,1,1,6351151
16,89950362,3.68,1,6351152
4,89938192,6,3,6351172
5,89940590,1,9,6351178
13,89940594,34,1,6351179
15,89940603,21,9,6351180
16,89940607,12,9,6351181
16,89946656,20,9,6351210
5,89946659,0.01,3,6351211
5,89946662,0.2,7,6351212
5,89946663,1.7,1,6351213
8,89946679,3,9,6351214
4,89946689,0.1,7,6351215
5,89946692,1,1,6351216
8,89950410,1,9,6351229
8,89950420,1,9,6351230
5,89939468,0.002,3,6351270
5,89939472,0.05,3,6351271
17,89939478,66,9,6351272
5,89939494,0.004,3,6351273
5,89950463,7.37,1,6351322
16,89950471,20,9,6351323
5,89937099,2,9,6351333
5,89885408,1,1,6346848
5,89885417,1,11,6346849
4,89895274,0.01,1,6346895
5,89879341,7,1,6346903
5,89879346,7,1,6346904
11,89879347,14,1,6346905
5,89879348,3.005,1,6346906
4,89879361,0.1,1,6346907
5,89881830,1,11,6346910
5,89881838,3.1,1,6346911
5,89881845,0,,6346912
5,89881855,15.6,1,6346913
5,89881857,0.18,3,6346914
5,89881862,0.05,3,6346915
5,89885442,2,1,6346922
5,89885444,3,1,6346923
5,89885469,1,11,6346924
5,89885484,10,1,6346925
16,89885493,1,9,6346926
5,89885496,0.008,1,6346927
5,89885498,4,1,6346928
8,89885503,1,9,6346929
16,89892835,6,9,6346951
5,89892837,2,1,6346952
2,89892838,1.97,1,6346953
