"DATA_YEAR","VICTIM_ID","INJURY_ID"
2018,111341447,5
2018,111346739,4
2018,111348380,4
2018,111348379,4
2018,111342950,4
2018,111342973,4
2018,111348486,4
2018,111348869,4
2018,111348882,4
2018,111348961,5
2018,111343393,5
2018,111348962,5
2018,111349079,4
2018,111349088,4
2018,111349089,4
2018,111343603,4
2018,111349220,5
2018,111352093,4
2018,111349724,5
2018,111352285,5
2018,111352288,5
2018,111349840,5
2018,111344295,4
2018,111344395,5
2018,111355467,4
2018,111344837,4
2018,111355510,4
2018,111353135,5
2018,111355690,5
2018,111355689,5
2018,111345072,5
2018,111345075,5
2018,111353238,4
2018,111345197,5
2018,111345246,4
2018,111356150,4
2018,111356156,4
2018,111356244,4
2018,111353600,4
2018,111360497,5
2018,111356503,5
2018,111356514,1
2018,111356737,4
2018,111360865,5
2018,111356762,5
2018,111361143,4
2018,111357014,4
2018,111357440,5
2018,111355220,4
2018,111355238,5
2018,111358004,5
2018,111358191,4
2018,111358194,4
2018,111362170,4
2018,111358508,4
2018,111358844,5
2018,110858241,5
2018,110866180,4
2018,110866181,4
2018,110861077,4
2018,110858417,5
2018,110866756,5
2018,111341554,5
2018,111346935,4
2018,111347009,4
2018,111339995,4
2018,111340255,5
2018,111347405,4
2018,111347485,5
2018,111340417,4
2018,111342289,4
2018,111348078,4
2018,111348165,5
2018,111348243,4
2018,111348254,4
2018,111351116,5
2018,111351138,4
2018,111348489,4
2018,111342988,4
2018,111351174,4
2018,111348602,5
2018,111348601,5
2018,111348672,4
2018,111348817,5
2018,111343405,5
2018,111351504,5
2018,111344253,5
2018,111349802,5
2018,111349984,5
2018,111344423,4
2018,111344454,5
2018,111344455,4
2018,111350090,4
2018,111350214,4
2018,111350232,4
2018,111350229,5
2018,111344773,4
2018,111352956,4
2018,111344930,4
2018,111344957,5
2018,111353125,5
2018,111344954,5
2018,111355647,4
2018,111344990,5
2018,111345331,4
2018,111360862,5
2018,111356810,5
2018,111356807,5
2018,111354202,5
2018,111360956,5
2018,111354232,4
2018,111357012,4
2018,111354501,4
2018,111361239,4
2018,111354596,4
2018,111354593,4
2018,111361291,4
2018,111357156,4
2018,111355250,4
2018,111355262,4
2018,111358005,4
2018,111365451,5
2018,111365822,4
2018,111346598,5
2018,111339770,5
2018,111346910,5
2018,111346990,5
2018,111347288,5
2018,111347311,5
2018,111340350,4
2018,111340408,4
2018,111350480,4
2018,111347667,5
2018,111347720,4
2018,111347795,4
2018,111347813,5
2018,111347811,5
2018,111347858,4
2018,110768724,4
2018,110775702,4
2018,110768725,4
2018,110771206,4
2018,110771374,5
2018,110769470,4
2018,110776867,4
2018,110776866,4
