agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
4355,IA0340100,IA0340100,Charles City Police Department,Charles City,1,City,,,2090,Charles City,16,IA,597,Floyd,19067,A,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,IA,1960,,2016,2013,2016,7477,6,"Cities from 2,500 thru 9,999",L,N,N,12,12,10,,,,2016,14,7,50616,43.052741,-92.787367
4401,IA0550000,IA0550000,Kossuth County Sheriff's Office,Kossuth,2,County,,,,,16,IA,618,Kossuth,19109,A,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,IA,1960,,2016,2013,2016,9696,8D,"Non-MSA counties under 10,000",L,N,N,12,12,9,,,,2016,10,15,50511,43.212478,-94.213983
4443,IA0700000,IA0700000,Muscatine County Sheriff's Office,Muscatine,2,County,,,,,16,IA,633,Muscatine,19139,A,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,IA,1960,,2016,2013,2016,12493,8C,"Non-MSA counties from 10,000 thru 24,999",L,N,N,12,12,10,,,,2016,21,49,52761,41.483776,-91.118699
4480,IA0820200,IA0820200,Davenport Police Department,Davenport,1,City,,,2103,Davenport,16,IA,645,Scott,19163,A,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,IA,1960,,2016,2013,2016,103082,2,"Cities from 100,000 thru 249,000",L,N,Y,12,12,10,,,,2016,158,20,52801,41.642079,-90.622289
4280,IA0050000,IA0050000,Audubon County Sheriff's Office,Audubon,2,County,,,,,16,IA,568,Audubon,19009,A,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,IA,1960,,2016,2013,2016,3717,8D,"Non-MSA counties under 10,000",L,N,N,12,12,5,,,,2016,6,4,50025,41.679178,-94.904312
4465,IA0770600,IA0770600,Windsor Heights Police Department,Windsor Heights,1,City,,,2107,Des Moines,16,IA,640,Polk,19153,A,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,IA,1960,,2016,2013,2016,4877,6,"Cities from 2,500 thru 9,999",L,Y,N,12,12,10,,,,2016,10,1,50311,41.684281,-93.56972
4341,IA0290100,IA0290100,Burlington Police Department,Burlington,1,City,,,2081,Burlington,16,IA,592,Des Moines,19057,A,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,IA,1960,,2016,2013,2016,25530,4,"Cities from 25,000 thru 49,999",L,N,N,12,12,10,,,,2016,43,4,52601,40.915339,-91.186925
4365,IA0400100,IA0400100,Webster City Police Department,Webster City,1,City,,,2212,Webster City,16,IA,603,Hamilton,19079,A,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,IA,1960,,2016,2013,2016,7725,6,"Cities from 2,500 thru 9,999",L,N,N,12,12,10,,,,2016,12,5,50595,42.390768,-93.709198
4334,IA0260100,IA0260100,Bloomfield Police Department,Bloomfield,1,City,,,2077,Bloomfield,16,IA,589,Davis,19051,A,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,IA,1960,,2016,2013,2016,2627,6,"Cities from 2,500 thru 9,999",L,N,N,12,12,9,,,,2016,6,1,52537,40.748089,-92.410345
4396,IA0520500,IA0520500,North Liberty Police Department,North Liberty,1,City,,,2166,North Liberty,16,IA,615,Johnson,19103,A,23365,IAUCR0001,Iowa Department of Public Safety Program Services Bureau,IA,2001,,2016,2013,2016,15891,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,20,1,52317,41.668736,-91.588812
