bias_id,offense_id
21,52536656
21,52533131
21,52533132
21,52534333
21,52534561
21,52530279
21,52530280
21,52528542
21,52528543
21,52530292
21,52530293
21,52528546
21,52528547
21,52533151
21,52533152
21,52534364
21,52540410
21,52535154
21,52539604
21,52539605
21,52534565
21,52534569
21,52533140
21,52539621
21,52533146
21,52536661
21,52535363
21,52533172
21,52535371
21,52531093
21,52534616
21,52528554
21,52534559
21,52528530
21,52528531
21,52530276
21,52534560
21,52528532
21,52528533
21,52535344
21,52535345
21,52534594
21,52540414
21,52534348
21,52534349
21,52533178
21,52540429
21,52535370
21,52535180
21,52535374
21,52533184
21,52535181
21,52535375
21,52535182
21,52535183
21,52531094
21,52531095
21,52531096
21,52540430
21,52534617
21,52535376
21,52531057
21,52539630
21,52533149
21,52528534
21,52533133
21,52530277
21,52530278
21,52534562
21,52535318
21,52528538
21,52535319
21,52535320
21,52528539
21,52539610
21,52539611
21,52528540
21,52530296
21,52530297
21,52531075
21,52540417
21,52535322
21,52539603
21,52539606
21,52539607
21,52533134
21,52534564
21,52533135
21,52535323
21,52535324
21,52539608
21,52534336
21,52539609
21,52534337
21,52530281
21,52530282
21,52534567
21,52530285
21,52534338
21,52539613
21,52533162
21,52535162
21,52534605
21,52533175
21,52533176
21,52540427
21,52540428
21,52535372
21,52535373
21,52536674
21,52536675
21,52535326
21,52539612
21,52533136
21,52534570
21,52528545
21,52530290
21,52534571
21,52534572
21,52534573
21,52534339
21,52534340
21,52535329
21,52528548
21,52528549
21,52534574
21,52534341
21,52535330
21,52533185
21,52533186
21,52531097
21,52534334
21,52533139
21,52539614
21,52539615
21,52534343
21,52534575
21,52534576
21,52539616
21,52539617
21,52534344
21,52535331
21,52530298
21,52539618
21,52530299
21,52533141
21,52535332
21,52528551
21,52533142
21,52539619
21,52539620
21,52534577
21,52535333
21,52535334
21,52533143
21,52535335
21,52531055
21,52534335
21,52539601
21,52539602
21,52535317
21,52528535
21,52528536
21,52528537
21,52534563
21,52535321
21,52531053
21,52534352
21,52539622
22,52531054
21,52539623
21,52533144
21,52533145
21,52534353
21,52539624
21,52534578
21,52539625
21,52539626
21,52534354
21,52539627
21,52534355
21,52528552
21,52534579
21,52534356
21,52534580
22,52531056
21,52528553
21,52535336
21,52533147
21,52539628
21,52534357
21,52534358
21,52534581
21,52528555
21,52528556
21,52534582
21,52528557
21,52535337
21,52533148
21,52534583
21,52535338
21,52535339
21,52535340
21,52535343
21,52534586
21,52528564
21,52534587
21,52535346
21,52531066
21,52535353
21,52535354
21,52535355
21,52534566
21,52530283
21,52530284
21,52531058
21,52531059
21,52531060
21,52534359
21,52534360
21,52534361
21,52528558
21,52539629
21,52528559
21,52534362
21,52528560
21,52531061
21,52531062
21,52531063
21,52534584
21,52535341
21,52531064
21,52531065
21,52539631
21,52534585
21,52539632
21,52528561
21,52528562
21,52535342
21,52528563
21,52533150
21,52535325
21,52528541
21,52530286
21,52530287
21,52530288
21,52530289
21,52528544
21,52534588
22,52534363
21,52534589
21,52534590
21,52528565
21,52539633
21,52528566
21,52528567
21,52533153
21,52533154
21,52528568
21,52534365
21,52533155
21,52528569
21,52535347
21,52535348
21,52535349
21,52534591
21,52539634
21,52540406
21,52534366
21,52534592
21,52540407
21,52534593
21,52528570
21,52540408
21,52540409
21,52533156
21,52531067
21,52531068
21,52533157
21,52528571
21,52533158
21,52531069
21,52531070
21,52531071
21,52536640
21,52534367
21,52534368
21,52533159
21,52535350
21,52536641
21,52536642
21,52531072
21,52540411
21,52536643
21,52535351
21,52536644
21,52534568
21,52531098
21,52531099
21,52533137
21,52530291
21,52535327
21,52535328
21,52534369
21,52535352
21,52540412
21,52536645
21,52536646
21,52540413
21,52531073
21,52534370
21,52534371
21,52534595
21,52534596
21,52531074
21,52536647
21,52534597
21,52536648
21,52536649
21,52536650
21,52536651
21,52536652
21,52540415
21,52540416
21,52535356
21,52535153
21,52531076
21,52533160
21,52536653
21,52531078
21,52533163
21,52533164
21,52535155
21,52540421
21,52531079
21,52531080
21,52531081
21,52531082
21,52535156
22,52535157
21,52531083
21,52531084
21,52536657
21,52535357
21,52535158
21,52535358
21,52535359
21,52540422
21,52540423
21,52535159
21,52535160
21,52531085
21,52531086
21,52534598
21,52534599
21,52536658
21,52536659
21,52540424
21,52535161
21,52533165
21,52534600
21,52534601
21,52531087
21,52536660
21,52530294
21,52530295
21,52528550
21,52533138
21,52540418
21,52540419
21,52533161
21,52540420
21,52534342
21,52534345
21,52536654
21,52531077
21,52536655
21,52533166
21,52533167
21,52540425
21,52534602
21,52533168
21,52531088
21,52536662
21,52534603
21,52535360
21,52535361
21,52535163
21,52535164
21,52535165
21,52535362
21,52536663
21,52536664
21,52534346
21,52530300
21,52536665
21,52533169
21,52533170
21,52536666
21,52540426
21,52533171
21,52535166
21,52535364
21,52535365
21,52536667
21,52536668
21,52536669
21,52536670
21,52535167
21,52535168
21,52533173
21,52535169
21,52535170
21,52534606
21,52534607
21,52536671
21,52534608
21,52534609
21,52536672
21,52536673
21,52534347
21,52534350
21,52534351
21,52534604
21,52535171
21,52534610
21,52533174
21,52535172
21,52533177
21,52535173
21,52535174
21,52535175
21,52535366
21,52531089
21,52535176
21,52535177
21,52534611
21,52534612
21,52533179
21,52533180
21,52533181
21,52531090
21,52531091
21,52535178
21,52533182
21,52533183
21,52535367
21,52535368
21,52535369
21,52534613
21,52534614
21,52534615
21,52531092
21,52535179
21,52534618
21,52535184
21,52535185
21,52540475
