agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
6008,IN344SP00,IN344SP00,State Police: LaGrange County,State Police: LaGrange County,4,State Police,,,,,19,IN,852,Lagrange,18087,A,24439,IN344SP00,State Police: Lagrange County,IN,1964,,2016,2014,2014,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,9,,,,2016,1,0,46204,41.642468,-85.426302
5850,IN0491900,IN0491900,Cumberland Police Department,Cumberland,1,City,,,3083,Cumberland,19,IN,857,Marion,18097,A,24103,IN0491900,Cumberland,IN,2011,,2016,,,5416,6,"Cities from 2,500 thru 9,999",L,Y,N,12,0,6,,,,2015,14,2,46229,39.822604,-85.772904
6015,IN351SP00,IN351SP00,State Police: Martin County,State Police: Martin County,4,State Police,,,,,19,IN,859,Martin,18101,A,24446,IN351SP00,State Police: Martin County,IN,1964,,2016,2014,2014,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,9,,,,2016,1,0,46204,38.705322,-86.801847
5877,IN0600000,IN0600000,Owen County Sheriff's Office,Owen,2,County,,,,,19,IN,868,Owen,18119,A,24131,IN0600000,Owen,IN,1960,,2016,,,20801,9C,"MSA counties from 10,000 thru 24,999",L,Y,N,0,0,0,,,,2011,12,20,47460,39.317339,-86.838845
5887,IN0640100,IN0640100,Chesterton Police Department,Chesterton,1,City,,,3071,Chesterton,19,IN,872,Porter,18127,A,24141,IN0640100,Chesterton,IN,1960,,2016,,,13479,5,"Cities from 10,000 thru 24,999",L,Y,N,7,0,8,,,,2015,22,4,46304,41.50992,-87.071309
5904,IN0690000,IN0690000,Ripley County Sheriff's Office,Ripley,2,County,,,,,19,IN,877,Ripley,18137,A,24334,IN0690000,Ripley,IN,1960,,2016,,,23521,8C,"Non-MSA counties from 10,000 thru 24,999",L,N,N,0,0,8,,,,2015,13,4,47042,39.10023,-85.260541
5776,IN0330200,IN0330200,New Castle Police Department,New Castle,1,City,,,3156,New Castle,19,IN,841,Henry,18065,A,24263,IN0330200,New Castle,IN,1960,,2016,,,17542,5,"Cities from 10,000 thru 24,999",L,N,N,0,0,6,,,,2012,32,2,47362,39.929576,-85.397338
5977,IN313SP00,IN313SP00,State Police: Crawford County,State Police: Crawford County,4,State Police,,,,,19,IN,821,Crawford,18025,A,24408,IN313SP00,State Police: Crawford County,IN,1964,,2016,2014,2014,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,9,,,,2016,1,0,46204,38.289433,-86.440871
5761,IN0290000,IN0290000,Hamilton County Sheriff's Office,Hamilton,2,County,,,,,19,IN,837,Hamilton,18057,A,24248,IN0290000,Hamilton,IN,1960,,2016,,,36531,9B,"MSA counties from 25,000 thru 99,999",L,Y,N,0,0,1,,,,2011,61,166,46060,40.04987,-86.020586
5980,IN316SP00,IN316SP00,State Police: Decatur County,State Police: Decatur County,4,State Police,,,,,19,IN,824,Decatur,18031,A,24411,IN316SP00,State Police: Decatur County,IN,1964,,2016,2014,2014,0,8D,"Non-MSA counties under 10,000",L,N,N,12,12,9,,,,2016,1,0,46204,39.30598,-85.499831
