suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
8,91174729,6,9,6924348
5,91174729,0.07,3,6517524
17,91174731,1,9,6517525
5,97919218,35,3,7244807
8,97919218,4000,9,7244808
5,97917820,100,3,7243618
5,97917840,1000,3,7243632
5,97917848,,,7243636
4,97570200,1000,7,7189571
11,97571052,35,3,7190420
5,97571177,,,7189953
5,97206063,740,3,7137018
2,97571148,35,3,7189946
2,97571174,70,3,7190495
11,97571174,1763,3,7190496
8,97572239,2000,9,7190523
5,97572239,35,3,7190522
5,97203296,,,7136418
4,97204200,3,3,7135565
16,97204200,5,3,7135566
5,97203659,1000,3,7136593
5,97205021,35,3,7135886
12,97205550,105,3,7136920
5,97571882,211,3,7190043
12,97572457,881,3,7190602
12,97572470,246,3,7190604
12,97572519,,,7190619
12,97565112,246,3,7188451
12,104707602,,,8186943
12,98340708,529,3,7308485
5,98340769,70,3,7307684
5,97200158,,,7134923
5,97201181,1000,10,7134931
5,97201192,176,3,7134936
12,97201192,35,3,7134937
2,97200859,35,3,7134941
5,97201315,70,3,7134996
5,97201008,1,3,7134079
12,97201070,1,3,7134101
12,97201506,35,3,7135069
4,97201568,158,3,7134141
4,97201177,17,3,7134154
12,97201641,1269,3,7135135
5,97202323,1000,10,7135223
5,97202323,1000,11,7135177
12,97202338,123,3,7135229
12,97202461,388,3,7135272
4,97201977,26,3,7135298
5,97201993,17,3,7136272
16,97202629,2000,9,7135347
12,97202629,35,3,7136338
5,97202646,35,3,7135355
5,97202154,35,3,7135368
5,97203199,,,7136370
5,97202184,529,3,7135117
13,97202420,6000,9,7136221
5,97201217,141,3,7134947
5,97200886,35,3,7134957
4,97201372,17,3,7135019
5,97201032,211,3,7135025
17,97201428,84,3,7134100
5,97201578,176,3,7135104
5,97201633,211,3,7135130
5,97201829,1199,3,7136211
5,97202086,1000,11,7136325
11,97203180,35,3,7136360
8,97203180,4000,9,7136359
5,97200975,176,3,7134051
5,91181890,0.246,3,6517995
5,91182047,1.079,3,6518260
