bias_id,offense_id
21,15483179
21,15486690
21,15483200
21,15483425
21,15486661
21,15486662
21,15483153
21,15483154
21,15486668
21,15483164
21,15483280
21,15483281
21,15483282
21,15483207
21,15483208
21,15483209
21,15487100
21,15483230
21,15483474
21,15483475
21,15486684
21,15483190
21,15483192
21,15483193
21,15483194
21,15486707
21,15486676
21,15487097
21,15483436
21,15487112
21,15483223
21,15483311
21,15487118
21,15483446
21,15483233
21,15483235
21,15487133
21,15487137
21,15483330
21,15483465
21,15483466
21,15483467
21,15483468
21,15483470
21,15483152
21,15487127
21,15487136
21,15483331
21,15487138
21,15487139
21,15483332
21,15487140
21,15483469
22,15487141
21,15487142
21,15483630
21,15483631
21,15483333
22,15483633
21,15487146
21,15487149
21,15483262
21,15483263
21,15481823
21,15486710
21,15486658
21,15481825
21,15486660
21,15483264
21,15483266
21,15481826
21,15486664
21,15481827
21,15481837
21,15483163
21,15483167
21,15483168
21,15483629
21,15483471
21,15483632
21,15487143
21,15487144
21,15483472
21,15483473
21,15487145
21,15483634
21,15483334
21,15483635
21,15483335
21,15487147
21,15487148
21,15483476
21,15483150
21,15486657
21,15481824
21,15486659
21,15483151
21,15483265
21,15486663
21,15483267
21,15481828
21,15481829
21,15481830
21,15486665
21,15481831
21,15483155
21,15486667
21,15486669
22,15486670
21,15483271
21,15486671
21,15481832
21,15486672
21,15483273
21,15481834
21,15483274
21,15486675
21,15483277
21,15483158
21,15483159
21,15483160
21,15483161
21,15483162
21,15486683
21,15483175
21,15483406
21,15486685
21,15483408
22,15483409
21,15486689
21,15483289
21,15483183
21,15486666
16,15483268
16,15483269
16,15483270
21,15483272
21,15483156
21,15486673
21,15481833
21,15483157
21,15486674
21,15481835
21,15481836
21,15483275
21,15483276
21,15481838
21,15483278
21,15483165
21,15483279
21,15483166
22,15483395
21,15483396
21,15483397
21,15483398
21,15486678
21,15483284
21,15486679
21,15483170
21,15483401
21,15483171
21,15486680
21,15483402
21,15483172
21,15483285
21,15486681
22,15486682
21,15483173
21,15483174
21,15483176
21,15483407
21,15483410
21,15483178
21,15486687
21,15483411
21,15483180
21,15486688
22,15483288
22,15483181
22,15483182
21,15483415
21,15486691
21,15486692
21,15486693
21,15483186
22,15483187
21,15483189
21,15486695
21,15483191
21,15483290
21,15483291
21,15483292
21,15483199
21,15481839
21,15483394
21,15486677
21,15483283
21,15483169
21,15483399
21,15483400
21,15483403
21,15483404
21,15483405
21,15483636
21,15483177
21,15486686
21,15483286
21,15483287
21,15483412
21,15483413
21,15483414
21,15483184
21,15483185
21,15483195
21,15483196
21,15483197
21,15483198
21,15483422
21,15483201
21,15483424
21,15483202
21,15486702
21,15486703
21,15486704
22,15486705
21,15483204
21,15486706
22,15483294
21,15483206
21,15486711
21,15483429
21,15483296
21,15487096
21,15486712
21,15483297
21,15483210
21,15483213
21,15487109
21,15487116
21,15483478
21,15483416
21,15483188
22,15483417
21,15486694
21,15483418
21,15486696
21,15483419
22,15486697
21,15483420
21,15486698
21,15486699
22,15486700
22,15486701
21,15483421
21,15483423
21,15483293
21,15483428
21,15483431
21,15483211
22,15483212
21,15487101
21,15483432
21,15483433
21,15487102
21,15487103
22,15487104
21,15483302
21,15483303
21,15483434
21,15483304
21,15483435
21,15483305
21,15483214
21,15483215
22,15483437
22,15483438
21,15483439
21,15487110
21,15487111
21,15483440
21,15483310
21,15483426
21,15483427
21,15483203
21,15483205
21,15486708
21,15486709
21,15483295
21,15483430
21,15483298
21,15483299
21,15487098
21,15487099
21,15483300
21,15483301
21,15483218
21,15487113
21,15483222
21,15483224
21,15487114
21,15483442
21,15483225
21,15483226
21,15483443
21,15487119
21,15487120
22,15483444
21,15483315
22,15483228
21,15483316
22,15483447
21,15483448
21,15487105
21,15487106
21,15487107
21,15483306
21,15487108
21,15483216
21,15483217
21,15483219
21,15483220
21,15483449
22,15483229
21,15483317
21,15487122
21,15483450
21,15483318
21,15483319
21,15487123
21,15487124
21,15487125
22,15483320
21,15487126
21,15483451
21,15483321
21,15487128
21,15483452
21,15483453
21,15483322
21,15483231
21,15483232
21,15483454
21,15483323
21,15483455
21,15483456
21,15483324
21,15483337
21,15483338
21,15483637
21,15483638
21,15483221
21,15483307
21,15483308
21,15483309
21,15483441
21,15487115
21,15487117
21,15483312
21,15483313
21,15483314
21,15483227
21,15483445
21,15487121
21,15483457
22,15483234
21,15483458
22,15483325
22,15483326
21,15483459
21,15483236
21,15487129
21,15483327
21,15487130
21,15487131
21,15487132
21,15483328
21,15483460
21,15483237
21,15483461
21,15483462
21,15483463
21,15487134
21,15483238
21,15483329
21,15487135
21,15483464
21,15483336
21,15483477
21,15483479
21,15483480
21,15483481
21,15483482
21,15483677
21,15487154
21,15483647
21,15487159
21,15483493
21,15483497
21,15483355
21,15487168
21,15483358
21,15483359
21,15483664
21,15483665
21,15483666
21,15483667
21,15483668
21,15483920
21,15485908
21,15483692
21,15485909
21,15489744
21,15485915
21,15483694
21,15489763
21,15489764
21,15485923
21,15486226
21,15486329
21,15483953
21,15486232
21,15487192
21,15485892
21,15483911
21,15485904
21,15489776
21,15489775
21,15486324
21,15483942
21,15483945
21,15483946
21,15483947
21,15486224
21,15486225
21,15487150
21,15489740
21,15489745
21,15485913
21,15489751
21,15489752
21,15489759
21,15485918
21,15485919
21,15483702
21,15489766
21,15489767
21,15483706
21,15483703
21,15483704
21,15489770
21,15489772
21,15489777
21,15489783
21,15489786
21,15486229
21,15486230
21,15486231
21,15486337
21,15489792
21,15483640
21,15483485
21,15483486
21,15483769
21,15483345
21,15487152
21,15487153
21,15483346
21,15483487
21,15483488
21,15483347
21,15483348
21,15487158
21,15483648
21,15487160
21,15483352
21,15483652
21,15485930
21,15486323
21,15483938
21,15483939
21,15483940
22,15483941
21,15486325
21,15483943
21,15483944
21,15486223
21,15489778
21,15486326
21,15489779
21,15489780
21,15489781
21,15486327
21,15486328
21,15483948
21,15486227
21,15486330
21,15483494
21,15487167
21,15483354
21,15483887
21,15483888
21,15483889
21,15483656
21,15483890
21,15483362
21,15483364
21,15487176
21,15483366
21,15483367
21,15483663
21,15486228
21,15486331
21,15486332
21,15483949
21,15489782
21,15486333
21,15483950
21,15489784
21,15489785
21,15483951
21,15489787
21,15486334
22,15483952
21,15486335
21,15486336
21,15489788
21,15489789
21,15489790
21,15489791
21,15483639
21,15483483
21,15483339
21,15483340
21,15483341
21,15487151
21,15483669
21,15487185
21,15487187
21,15483767
21,15483903
21,15487189
21,15483893
21,15487180
21,15487181
21,15483954
21,15483955
21,15486338
21,15486339
21,15486233
21,15486234
21,15483342
21,15483343
21,15483484
21,15483641
21,15483642
21,15483344
21,15483671
21,15487193
21,15487196
21,15485893
21,15487198
21,15485896
21,15485898
21,15483912
21,15487204
21,15483914
21,15489731
21,15489732
21,15485901
21,15483643
21,15487155
21,15487156
21,15483644
21,15483645
21,15487157
21,15483349
21,15483646
21,15483350
21,15483489
21,15483490
21,15483650
21,15483662
21,15489733
21,15483917
21,15483918
21,15483687
21,15483351
21,15483491
21,15483492
21,15483649
21,15483651
21,15487161
21,15487162
21,15483495
21,15483496
21,15487163
21,15487164
21,15487165
21,15483498
22,15487166
21,15483882
21,15483353
21,15483883
21,15483884
21,15483885
21,15483886
21,15483356
22,15483653
21,15483654
21,15483357
21,15483655
21,15483360
21,15487169
21,15487170
21,15487171
21,15487172
21,15487173
21,15487174
21,15487175
22,15483361
21,15483657
21,15483363
21,15483365
21,15483690
21,15485907
21,15483925
21,15489741
21,15489742
21,15483926
21,15489743
21,15483927
21,15489746
21,15489747
21,15485910
21,15485911
21,15489748
21,15489749
21,15485912
21,15485914
21,15485917
21,15487190
21,15487191
21,15483676
21,15483658
21,15483891
21,15483892
21,15487177
21,15487178
21,15487179
21,15483659
21,15483660
21,15483368
21,15487182
21,15483895
21,15483896
21,15483897
21,15483760
21,15483761
21,15483762
21,15483894
22,15483661
21,15483928
21,15489750
21,15489753
21,15489754
21,15489755
21,15489756
21,15489757
21,15483929
21,15485916
21,15489758
21,15489760
21,15483693
21,15489761
21,15483695
22,15487183
21,15483898
21,15483763
21,15483670
21,15483764
21,15483765
21,15483766
22,15487184
21,15487186
21,15483672
21,15483673
21,15483899
21,15483674
21,15483900
21,15483901
21,15483902
21,15483768
21,15483770
21,15487188
21,15483771
21,15483904
21,15483678
21,15483679
22,15483681
21,15489762
21,15485920
21,15485921
21,15483696
21,15483697
21,15483930
21,15485922
21,15489765
21,15483931
21,15483698
21,15483699
21,15483700
21,15483701
21,15485924
21,15483905
22,15485891
21,15487194
21,15487195
21,15487197
21,15483675
21,15483906
21,15483907
21,15483908
21,15485894
21,15487199
21,15483909
22,15485895
21,15487200
21,15485897
21,15483680
21,15485899
21,15487201
21,15487202
21,15487203
21,15483910
21,15483682
21,15483913
21,15485900
21,15483683
21,15487205
21,15489771
21,15483705
22,15483932
21,15489768
21,15489769
21,15483933
21,15485925
21,15485926
21,15486340
21,15483684
21,15483915
21,15483916
21,15483685
21,15485902
21,15485903
21,15489734
21,15489735
21,15483686
21,15485905
21,15489736
21,15483919
21,15483688
21,15483689
22,15489737
21,15489738
21,15483921
21,15483691
21,15483922
21,15485906
21,15483923
21,15483924
21,15489739
21,15483707
21,15485927
21,15485928
21,15483934
21,15483935
21,15483936
21,15489773
21,15486220
21,15486221
22,15489774
21,15483937
21,15486222
21,15485929
21,15489793
22,15489794
21,15483956
22,15483957
21,15490192
21,15490199
22,15486250
22,15490200
21,15490203
21,15486513
21,15486403
21,15486235
21,15486342
21,15486243
21,15486497
21,15486367
21,15490213
21,15486374
14,15486377
22,15486266
21,15486507
21,15486386
21,15486395
21,15486281
22,15490234
21,15486515
21,15486237
21,15486238
21,15483962
