"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,12,105076114,1,11,9354296
2018,4,105076114,1,11,9352491
2018,12,106797426,0.6,1,9732848
2018,17,106793662,,,9729614
2018,5,106794200,1.57,1,9732943
2018,12,106804433,11.6,1,9732960
2018,2,106798794,1.13,1,9732964
2018,5,106798828,0.7,1,9729744
2018,2,106804525,0.1,1,9732980
2018,12,106804525,0.1,1,9732981
2018,16,106804525,1,9,9732982
2018,5,106798914,0.1,1,9729754
2018,5,106798922,1,9,9732985
2018,4,106799034,1.3,1,9737590
2018,12,106799034,0.8,1,9729768
2018,12,106809280,1,1,9729794
2018,2,106809369,0.7,1,9737648
2018,5,106809436,2.47,1,9729830
2018,4,106803842,0.32,1,9737710
2018,5,106804053,,,9737728
2018,12,106804192,0.999,1,9737746
2018,12,106806241,0.35,1,9733193
2018,8,106810672,0.49,1,9729943
2018,2,106806266,0.39,1,9733200
2018,12,106806508,6.05,1,9733218
2018,4,106806664,0.84,1,9729985
2018,17,106811372,,,9730011
2018,17,106811504,,,9730026
2018,17,106807119,,,9733290
2018,17,106811625,,,9730042
2018,17,106815082,,,9733307
2018,8,106811909,30,1,9737866
2018,12,106807584,18.9,1,9730104
2018,5,106807584,118.4,1,9730103
2018,16,106807584,8.9,1,9737903
2018,12,106807620,35.64,1,9733358
2018,12,106815634,18.2,1,9737918
2018,12,105060129,16.25,1,9351524
2018,16,105056779,2,9,9348465
2018,12,105056779,0.36,1,9351563
2018,5,105060734,3.92,1,9351567
2018,5,105060846,0.38,1,9351572
2018,12,105060953,0.6,1,9348482
2018,8,105061031,1,9,9351597
2018,12,105061031,0.05,1,9351598
2018,12,105057591,0.01,3,9351641
2018,8,105057591,3,9,9351640
2018,18,105058156,,,9348600
2018,2,105058156,12.25,1,9348597
2018,4,105058156,8.8,1,9348599
2018,2,105063772,0.35,1,9351693
2018,5,105064104,,,9348651
2018,12,105064355,1.2,1,9351731
2018,4,105063371,0.2,1,9351740
2018,12,105068589,0.6,1,9351752
2018,12,105069767,2.8,1,9351830
2018,4,105069767,0.3,1,9351829
2018,12,105065804,0.73,1,9348772
2018,2,105069955,0.5,1,9351844
2018,5,105066534,,,9348802
2018,4,105066630,0.17,1,9351900
2018,12,105066961,0.38,1,9348836
2018,4,105071287,1.46,1,9348838
2018,12,105071287,0.42,1,9351958
2018,16,105067120,0.4,1,9348854
2018,4,105067120,0.23,1,9348853
2018,12,105071461,0.73,1,9348856
2018,15,105067199,3,9,9351985
2018,5,105067482,5,1,9348879
2018,17,105067536,,,9348889
2018,12,105072706,2.3,1,9352128
2018,5,105072706,2.6,1,9348960
2018,5,105072720,,,9352132
2018,5,105072829,13,1,9352142
2018,12,105073295,1,9,9352164
2018,4,105073575,0.1,1,9354049
2018,5,105074644,1,1,9354106
2018,12,105079460,1,11,9352352
2018,2,105079460,1,11,9352351
2018,17,105074904,,,9354162
2018,12,105074910,1,11,9354164
2018,17,105074909,,,9354163
2018,4,105075124,1,11,9354187
2018,5,105079752,1,11,9354189
2018,12,105080355,1,11,9354247
2018,4,105075805,1,11,9352458
2018,6,105081043,1,11,9352522
2018,12,105081043,1,11,9352523
2018,4,106816462,100,1,9737973
2018,6,106817530,1,9,9738027
2018,5,106819480,14,1,9730224
2018,12,106813976,0.6,1,9733475
2018,12,106819508,1.7,1,9730229
2018,12,106819508,0.2,5,9733476
2018,5,106825008,0.38,1,9738138
2018,4,106818940,0.67,1,9738169
2018,5,106820817,0.014,1,9738199
2018,12,106829347,3.4,1,9738207
2018,17,106806801,,,9737810
2018,17,106814978,,,9733293
2018,12,106812018,1,1,9730089
2018,11,106812018,1,1,9730088
2018,4,106808054,21.5,1,9730151
2018,16,106808054,9,9,9733393
2018,12,106808054,10.6,1,9737946
2018,5,106812815,5.7,1,9733402
2018,12,106816470,1.4,1,9730173
2018,4,106813666,0.4,1,9730200
2018,16,106813866,6,1,9730216
2018,5,106819477,579,1,9738033
2018,12,106814152,70,9,9730254
2018,5,106817765,0.3,1,9730256
2018,4,106817884,1.3,1,9730269
2018,12,106819805,1.2,1,9730279
2018,12,106819847,8.49,1,9730289
2018,5,106818110,190.19,1,9738099
2018,5,106819980,11.3,1,9738108
2018,4,106820011,40.5,9,9733534
2018,16,106818898,0.001,3,9738167
2018,5,106825472,0.85,1,9730369
2018,5,106819120,8.42,1,9733585
2018,5,106825675,19.5,1,9733588
2018,5,106825712,3.5,1,9730378
2018,5,106826295,,,9730412
2018,12,106830043,1,9,9733633
2018,12,106826673,,,9733635
2018,5,106821858,0.395,3,9733667
2018,5,106827220,,,9730495
2018,4,105354860,4.58,1,9408508
2018,8,105354860,13,1,9408509
2018,12,105354860,0.18,1,9408510
2018,12,105354866,4.4,1,9397883
2018,4,105346998,3,1,9397889
2018,5,105351023,0.46,1,9403425
2018,4,105355667,0.43,1,9403458
2018,12,105351639,0.28,1,9408604
2018,5,105351673,0.61,1,9408608
2018,5,104628925,,,9264964
2018,12,104622725,0.003,1,9260124
2018,4,104627300,3.7,1,9265022
2018,5,104629533,0.01,1,9269998
2018,5,104627662,2.2,1,9260173
2018,2,104627662,0.2,1,9260172
2018,17,104629872,4.2,1,9270043
2018,5,104630417,1288.3,1,9270089
2018,16,104630417,6,9,9270091
2018,12,104630417,19.3,1,9270090
2018,12,104628381,0.5,1,9265106
2018,4,104634337,0.4,1,9260271
2018,5,104639331,1.8,1,9265157
2018,12,104640018,1.7,1,9265216
2018,12,104640083,19.1,1,9265223
2018,4,104640083,0.4,1,9265222
2018,5,104635992,27.58,3,9270219
2018,12,104636349,2.18,1,9270239
2018,5,104632986,2.3,1,9270270
2018,12,104636905,1,1,9270282
2018,12,104641491,0.22,1,9260443
2018,16,104643662,11.5,9,9260452
2018,4,104641812,0.5,1,9265350
2018,2,104643898,1,1,9270315
2018,12,104637600,1,1,9265378
2018,12,104637860,27.9,1,9265413
2018,12,104644652,,,9270390
2018,17,104644725,42.2,1,9265431
2018,12,104644725,561.8,1,9265429
2018,13,104644725,82.7,1,9265430
2018,2,104642635,193.9,1,9260532
2018,5,104642635,52.6,1,9260533
2018,2,104647632,1,11,9270684
2018,12,104647822,1,11,9270710
