bias_id,offense_id
21,12186716
21,12183432
21,12186076
21,12186717
21,12186718
21,12186719
21,12183433
21,12181012
21,12186077
21,12186078
22,12186720
21,12181013
21,12186079
21,12186721
21,12183434
21,12181014
21,12183435
21,12183436
21,12183437
21,12181015
21,12181016
21,12186722
21,12183438
21,12183439
21,12186723
21,12186080
21,12181017
21,12186081
21,12186082
21,12186724
21,12186725
21,12181018
21,12181019
21,12186083
21,12181020
21,12186726
21,12183440
21,12186084
21,12186085
21,12186727
21,12186728
21,12186729
21,12186730
21,12186086
21,12186087
21,12186088
21,12181021
21,12186731
21,12181022
21,12181023
21,12183441
21,12183824
21,12183825
21,12186089
21,12186090
21,12186091
21,12186092
21,12186093
21,12186094
21,12186732
21,12186733
21,12186095
21,12186734
21,12186735
21,12186736
21,12181024
21,12181025
21,12181026
21,12186737
21,12186738
21,12186096
21,12183826
21,12183827
21,12186739
21,12186740
21,12183828
21,12183829
21,12186741
21,12186742
21,12183830
21,12183831
21,12183832
21,12181027
21,12183833
21,12186743
21,12186097
21,12181028
21,12181029
21,12181030
21,12183834
21,12186098
21,12186099
21,12186100
21,12186744
21,12186745
21,12183835
21,12181031
21,12186746
21,12183836
21,12181032
21,12181033
21,12181034
21,12186747
21,12186748
21,12186749
21,12186750
21,12186751
21,12183837
21,12186752
21,12186753
21,12183838
21,12183839
21,12186754
21,12186101
21,12181035
21,12186102
21,12186103
21,12186104
21,12181036
21,12181037
21,12181038
21,12186755
21,12183840
21,12183841
21,12183842
21,12181039
21,12181040
21,12186105
21,12186106
21,12186756
21,12183843
21,12183844
21,12186757
21,12186758
21,12183845
21,12181041
21,12181042
21,12181043
21,12186759
21,12186760
21,12183846
21,12186761
22,12186107
21,12181044
21,12183847
21,12181045
21,12181046
21,12181047
21,12186762
21,12181048
21,12181049
21,12186108
21,12186109
21,12181050
21,12181051
21,12186110
21,12186763
21,12186764
21,12186111
21,12186112
21,12183848
21,12181052
21,12181053
21,12189225
21,12189226
21,12186156
21,12186157
21,12186362
21,12186363
21,12186364
21,12184480
21,12184481
21,12186158
21,12186365
21,12186159
21,12189256
21,12184487
21,12186765
21,12186766
21,12186767
21,12186113
21,12181054
21,12186768
21,12186769
21,12186770
21,12186114
21,12186115
21,12186771
21,12186772
21,12181055
21,12181056
21,12184067
21,12186116
21,12186117
21,12186773
21,12183849
21,12184068
21,12186774
21,12186118
21,12186119
21,12186120
21,12184069
21,12184070
21,12183850
21,12186775
21,12183851
21,12184071
21,12186121
21,12186122
21,12183852
21,12186123
21,12186124
21,12186776
21,12186777
21,12183853
21,12183854
21,12186778
21,12189219
21,12186125
21,12189220
21,12184457
21,12184458
21,12189221
21,12189222
21,12183855
21,12186126
21,12186127
21,12184459
21,12184460
21,12184461
21,12186128
21,12186129
21,12184462
21,12189223
21,12189224
21,12184463
21,12184464
21,12184465
21,12184466
21,12183856
21,12183857
21,12183858
21,12183859
21,12183860
21,12186130
21,12186131
21,12184467
21,12189227
21,12189228
21,12189229
21,12186132
21,12183861
21,12183862
21,12183863
21,12189230
21,12186133
21,12186134
21,12189231
21,12189232
21,12189233
21,12184468
21,12184469
21,12184470
21,12189234
21,12183864
21,12186135
21,12189235
21,12189236
21,12184471
21,12183865
21,12186136
21,12186137
21,12186138
21,12183866
21,12183867
21,12189237
21,12189238
21,12184472
21,12184473
21,12184474
21,12186139
21,12186140
21,12183868
21,12183869
21,12189239
21,12183870
21,12183871
21,12186141
21,12186142
21,12185948
21,12186336
21,12189240
21,12186337
21,12189241
21,12184475
21,12189242
21,12186338
21,12186339
21,12186340
21,12186341
21,12186342
21,12186143
21,12186144
21,12186145
21,12189243
21,12189244
21,12186343
21,12189245
21,12184476
21,12189246
21,12186146
21,12186344
21,12186345
21,12186147
21,12186346
21,12186347
21,12189247
21,12186148
21,12186149
21,12189248
21,12189249
21,12186150
21,12186151
21,12186152
21,12189250
21,12186348
21,12186349
21,12186350
21,12186351
21,12186352
21,12186353
21,12189251
21,12186354
21,12189252
21,12184477
21,12186355
21,12186356
21,12184478
21,12186153
21,12189253
21,12189254
21,12189255
21,12186357
21,12186358
21,12186154
21,12186155
21,12186359
21,12186360
21,12184479
21,12186361
21,12186160
21,12189257
21,12184482
21,12184483
21,12186366
21,12189258
21,12186161
21,12184484
21,12186162
21,12184485
21,12184486
21,12189259
