"DATA_YEAR","VICTIM_ID","INJURY_ID"
2016,91351420,4
2016,91351421,4
2016,91351427,4
2016,91351428,4
2016,91351434,4
2016,91353037,4
2016,91353042,4
2016,91353832,4
2016,91353839,4
2016,91354631,4
2016,91354660,4
2016,91356277,4
2016,91359411,4
2016,91359413,4
2016,91359440,4
2016,91359441,4
2016,91360210,4
2016,91360247,4
2016,91360252,4
2016,91361031,4
2016,91361034,4
2016,91361037,4
2016,91361047,4
2016,91361060,4
2016,91361062,4
2016,91361826,4
2016,91362669,4
2016,91362670,4
2016,91363493,4
2016,91351440,4
2016,91351446,4
2016,91351447,4
2016,91351452,4
2016,91351454,4
2016,91351472,4
2016,91351473,4
2016,91351474,4
2016,91351475,4
2016,91352241,4
2016,91352243,4
2016,91353061,4
2016,91353863,4
2016,91353883,4
2016,91353884,4
2016,91353899,4
2016,91354670,4
2016,91354672,4
2016,91355544,4
2016,91355545,4
2016,91355554,4
2016,91356296,4
2016,91356342,4
2016,91357086,4
2016,91357087,4
2016,91357088,4
2016,91357097,4
2016,91357107,4
2016,91358645,4
2016,91358684,4
2016,91358693,4
2016,91359474,4
2016,91359486,4
2016,91360283,4
2016,91361073,4
2016,91361074,4
2016,91361087,4
2016,91361094,4
2016,91361096,4
2016,91361110,4
2016,91361880,4
2016,91361912,4
2016,91362696,4
2016,91362698,4
2016,91362705,4
2016,91362711,4
2016,91362715,4
2016,91362723,4
2016,91363545,4
2016,91363546,4
2016,91351486,4
2016,91351487,4
2016,91351488,4
2016,91351490,4
2016,91351509,4
2016,91351517,4
2016,91351518,4
2016,91351528,4
2016,91353108,4
2016,91353133,4
2016,91353904,4
2016,91353906,4
2016,91353923,4
2016,91353942,4
2016,91354726,4
2016,91354733,4
2016,91354741,4
2016,91354742,4
2016,91355570,4
2016,91355575,4
2016,91356347,4
2016,91356355,4
2016,91356369,4
2016,91356376,4
2016,91356389,4
2016,91356391,4
2016,91356392,4
2016,91357132,4
2016,91357136,4
2016,91357147,4
2016,91357149,4
2016,91357158,4
2016,91357168,4
2016,91357908,4
2016,91358720,4
2016,91358726,4
2016,91358730,4
2016,91359504,4
2016,91359511,4
2016,91359514,4
2016,91360306,4
2016,91361123,4
2016,91361125,4
2016,91361162,4
2016,91361929,4
2016,91361941,4
2016,91361971,4
2016,91362739,4
2016,91362754,4
2016,91363547,4
2016,91363594,4
2016,91351541,4
2016,91351542,4
2016,91351553,4
2016,91351554,4
2016,91351555,4
2016,91351556,4
2016,91352334,4
2016,91352382,4
2016,91352383,4
2016,91353146,4
2016,91354791,4
2016,91354801,4
2016,91355612,4
2016,91355613,4
2016,91355625,4
2016,91356394,4
2016,91356416,4
2016,91356422,4
2016,91357185,4
2016,91357193,4
2016,91357974,4
2016,91357985,4
2016,91357997,4
2016,91358756,4
2016,91358758,4
2016,91359576,4
2016,91359591,4
2016,91360369,4
2016,91360385,4
2016,91360386,4
2016,91360402,4
2016,91361164,4
2016,91361176,4
2016,91361205,4
2016,91361207,4
2016,91361983,4
2016,91362012,4
2016,91362791,4
2016,91362793,4
2016,91362794,4
2016,91362795,4
2016,91362813,4
2016,91362817,4
2016,91363600,4
2016,91363603,4
2016,91351595,4
2016,91351604,4
2016,91351619,4
2016,91351622,4
2016,91351631,4
2016,91351633,4
2016,91352390,4
2016,91353197,4
2016,91354006,4
2016,91354010,4
2016,91354012,4
2016,91354020,4
