suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,19171079,0.001,1,1054427
5,19172307,0.001,1,1054428
5,19172311,0.001,1,1054429
17,19172313,0,,1054430
17,19172319,0,,1054431
5,19172334,0.001,1,1054432
12,19172354,0.003,1,1054433
5,19171281,0.001,1,1054473
17,19171296,0,,1054474
17,19171297,0,,1054475
17,19171298,0,,1054476
5,19171304,0.001,1,1054477
5,19171316,0.001,1,1054478
17,19172529,0,,1054479
17,19172583,0,,1054480
1,19170313,0.001,1,1054513
17,19170317,0,,1054514
12,19170333,0.002,1,1054515
5,19170339,0.001,1,1054516
5,19170351,0.002,1,1054517
5,19170359,0.002,1,1054524
5,19170361,0.001,1,1054525
17,19170377,0,,1054526
5,19170380,0.001,1,1054527
5,19171650,0.001,1,1054530
8,19165683,0.001,1,1054538
17,19165694,0,,1054539
1,19165721,0.002,1,1054540
5,19165723,0.001,1,1054541
5,19165727,0.001,1,1054542
5,19165936,10,1,1054591
17,19165939,0,,1054592
17,19165962,0,,1054593
17,19165964,0,,1054594
17,19165973,0,,1054595
17,19165976,0,,1054606
17,19165985,0,,1054607
17,19165987,0,,1054608
17,19165999,0,,1054609
5,19166001,0.001,1,1054610
5,19164803,0.001,1,1054617
17,19166055,0,,1054618
5,19166068,0.001,1,1054619
17,19166084,0,,1054620
5,19166124,0.001,1,1054621
5,19167923,0.001,1,1054622
17,19167943,0,,1054623
5,19167945,0.001,1,1054624
5,19167946,0.001,1,1054625
17,19167952,0,,1054626
5,19167958,0.001,1,1054627
12,19167966,0.002,1,1054628
5,19167968,0.002,1,1054629
5,19167974,0.001,1,1054630
5,19164825,0.001,1,1054636
5,19164828,0.001,1,1054637
5,19164836,0.001,1,1054638
17,19164863,0,,1054639
16,19164868,52,1,1054640
12,19164870,5,1,1054641
17,19166136,0,,1054642
5,19166153,0.001,1,1054643
5,19166315,0.001,1,1054673
5,19166348,0.001,1,1054674
17,19166371,0,,1054680
5,19166387,0.001,1,1054681
17,19166389,0,,1054682
5,19166580,0.5,3,1054711
17,19166620,0,,1054723
17,19166633,0,,1054724
17,19166640,0,,1054725
12,19166668,2.1,1,1054726
1,19166727,0.001,1,1054738
5,19166729,0.002,1,1054739
5,19165450,1,3,1054748
5,19165461,8,1,1054749
17,19165477,0,,1054750
12,19165480,0.001,1,1054751
12,19165482,0.001,1,1054752
5,19165484,30,1,1054753
5,19165486,30,1,1054754
5,19165493,0.001,1,1054755
12,19165506,0.001,1,1054756
17,19166752,0,,1054757
5,19166759,0.001,1,1054758
1,19166767,0.001,1,1054759
17,19166781,0,,1054760
5,19166784,0.001,1,1054761
5,19166787,0.001,1,1054762
5,19166790,0.001,1,1054763
17,19166792,0,,1054764
17,19165541,0,,1054775
5,19165646,0.001,1,1054786
17,19165652,0,,1054787
17,19165661,0,,1054788
5,19165663,0.001,1,1054789
5,19165665,0.001,1,1054790
17,19179013,0,,1054803
5,19179058,0.001,1,1054817
5,19181539,0.001,1,1054823
5,19181587,0.001,1,1054836
5,19179212,0.001,1,1054851
5,19179221,0.001,1,1054852
5,19179258,0.001,1,1054853
12,19179287,0.001,1,1054858
17,19181770,0,,1054862
2,19181801,2,3,1054863
12,19181805,0.001,1,1054864
17,19178351,0,,1054886
5,19178405,0.001,1,1054887
5,19178407,0.001,1,1054888
17,19178423,0,,1054889
17,19180868,0,,1054910
17,19180896,0,,1054922
17,19180898,0,,1054923
17,19178601,0,,1054929
17,19178643,0,,1054930
12,19179851,0.003,1,1054943
17,19179873,0,,1054944
5,19179913,0.001,1,1054950
5,19179917,0.001,1,1054951
12,19182369,0.001,1,1054953
