property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
19149760,3,80,,19147375
19155813,8,5,,19162392
19155814,63,1389,,19162393
19147915,63,0,,19149521
19147916,3,150,,19149522
19155890,63,100,,19162703
19149761,8,45,,19147376
19149762,39,100,,19147377
19149763,63,50,,19147378
19155471,13,450,,19160909
19155891,20,120,,19162704
19147917,68,,,19149523
19147918,11,1,,19149524
19155815,63,100,,19162394
19155472,63,400,,19160910
19155473,30,50,,19160911
19149764,63,100,,19147379
19147919,68,,,19149525
19147920,11,1,,19149526
19155897,63,20,,19162710
19155898,16,600,,19162711
19155899,63,250,,19162712
19155892,63,15,,19162705
19147921,38,1000,,19149527
19147922,8,4,,19149528
19149765,38,110,,19147380
19155474,28,500,,19160912
19155816,20,50,2002-12-06 00:00:00,19162395
19155817,20,50,,19162396
19155893,63,0,,19162706
19155894,68,,,19162707
19155895,63,60,,19162708
19155896,29,1,,19162709
19155818,8,28,,19162397
19155475,36,150,,19160913
19149766,20,1,,19147381
19154644,10,0,,19162360
19154645,11,1,,19162361
19159782,38,20,,19154284
19155819,68,,,19162398
19149775,17,100,2002-01-16 00:00:00,19147621
19149776,17,100,,19147622
19155914,68,,,19162727
19155915,11,1,,19162728
19149784,68,,,19147630
19149785,11,1,,19147631
19155508,9,0,,19161173
19155509,20,20,,19161174
19155510,22,0,,19161175
19155511,25,40,,19161176
19155922,68,,,19162735
19155923,11,1,,19162736
19155949,3,500,,19162987
19154656,63,30,,19162606
19160770,17,150,,19153445
19155827,20,190,,19162406
19155926,22,0,,19162739
19155927,25,10,,19162740
19155928,63,0,,19162741
19155931,8,155,,19162744
19155932,63,70,,19162745
19152811,31,560,,19145780
19152812,2,27,,19145781
19162222,63,630,,19154428
19162223,3,300,,19154429
19152818,38,50,,19146016
19152840,63,0,,19146038
19155968,4,135,,19163006
19160376,4,35,,19156725
19160379,63,234,,19156728
19154683,37,200,,19162633
19152809,63,450,,19145778
19152906,36,323,,19146332
19155320,2,7,,19160298
19155321,63,300,,19160299
19155322,63,0,,19160300
19155323,3,250,,19160301
19161349,63,120,,19155629
19152909,38,600,,19146335
19155325,63,50,,19160303
19152910,63,40,,19146336
19152911,63,6,,19146337
19162241,63,0,,19154447
19160729,20,200,,19158008
19160419,20,70,,19156768
19156578,36,500,,19160338
19156588,36,350,,19160348
19152880,63,180,2002-01-05 00:00:00,19146078
19152881,63,180,,19146079
19154731,63,0,,19162910
19160445,68,,,19157024
19154737,63,575,,19162916
19154738,26,140,,19162917
19156593,27,200,,19160353
19160763,63,615,,19153438
19154746,38,20,,19162925
19154751,29,100,,19162930
19160391,9,0,,19156740
19160392,20,5,,19156741
19160393,22,0,,19156742
19160394,25,20,,19156743
19160395,63,0,,19156744
19152819,27,17,2002-02-01 00:00:00,19146017
19152820,27,17,,19146018
19160404,29,50,,19156753
19154705,6,100,,19162655
19154706,27,105,,19162656
19154708,63,17,,19162658
19154709,26,765,,19162659
19152866,63,154,,19146064
19156012,27,2235,,19163050
19160747,63,200,,19153422
19152875,3,300,,19146073
19160439,3,60,,19157018
19160440,8,10,,19157019
19154728,4,74,,19162907
19160441,11,1,,19157020
19154729,68,,,19162908
19154730,11,1,,19162909
19160753,37,200,,19153428
19160442,63,0,,19157021
19160443,3,150,,19157022
19160754,8,20,,19153429
19160755,31,400,,19153430
19156589,26,65,,19160349
19160756,63,250,,19153431
19154732,3,450,,19162911
19156590,3,400,,19160350
19154733,63,10,,19162912
19154734,20,200,,19162913
19160444,3,50,,19157023
19160757,38,175,,19153432
19156591,68,,,19160351
19160446,2,25,,19157025
19160447,63,550,,19157026
19160448,2,1513,,19157027
19160449,27,5,,19157028
19160450,63,30,,19157029
19160758,3,800,,19153433
19160759,8,40,,19153434
19154735,20,160,,19162914
19154736,22,0,,19162915
19152883,63,40,,19146081
19149770,4,90,,19147385
19154661,22,0,,19162611
19156592,10,0,,19160352
19154739,63,20,,19162918
19156594,3,200,,19160354
19160451,3,700,,19157030
19160452,36,70,,19157031
19160453,38,100,,19157032
19160760,20,400,,19153435
19160761,3,250,,19153436
19160762,24,250,,19153437
19154740,63,830,,19162919
19152884,37,200,,19146082
19160454,20,30,,19157033
19156595,68,,,19160355
19156596,63,0,,19160356
19156597,29,50,,19160357
19156598,63,50,,19160358
19154741,3,100,,19162920
19154742,10,0,,19162921
19154743,11,120,,19162922
19160764,16,50,,19153439
19160765,26,750,,19153440
19160766,29,120,,19153441
19160767,63,40,,19153442
19160768,24,1300,,19153443
19152885,3,4000,2002-03-18 00:00:00,19146083
19152886,3,4000,,19146084
19152887,38,60,,19146085
19154744,4,120,,19162923
19160769,37,100,,19153444
19154745,4,75,,19162924
19160771,38,20,,19153446
19160772,63,32,,19153447
19152888,63,20,,19146086
19160455,63,15,,19157034
19154747,63,13,,19162926
19160456,63,0,,19157035
19160457,63,104,,19157036
19154748,63,54,,19162927
19154749,63,35,,19162928
19160458,63,171,,19157037
19154750,63,4,,19162929
19160773,63,0,,19153448
19160774,63,41,,19153449
19152889,63,11,,19146087
19160459,63,61,,19157038
19152890,4,150,,19146088
19152891,22,0,,19146089
19160460,3,2050,,19157039
19156599,3,7000,,19160359
19154752,63,45,,19162931
19160461,63,174,,19157040
19152892,63,198,,19146090
19160462,63,0,,19157041
19162220,63,50,,19154426
19152893,63,50,,19146091
19152894,63,0,,19146092
19162221,63,0,,19154427
19152895,63,0,,19146321
19152896,63,0,,19146322
19161337,3,150,,19155617
19160463,29,70,,19157042
19160464,8,80,,19157043
19160465,26,90,,19157044
19154753,26,300,,19162932
19154754,27,100,,19162933
19154755,12,125,,19162934
19161338,63,20,,19155618
19161339,26,50,,19155619
19154756,16,3000,,19162935
19154757,38,450,,19162936
19155313,63,0,,19160291
19161342,3,150,,19155622
19160361,22,0,,19156710
19161346,63,500,,19155626
19161347,63,325,,19155627
19161348,63,233,,19155628
19160474,20,1516,,19157053
19160475,37,1,,19157054
19152882,4,150,,19146080
19160466,3,5,,19157045
19152897,38,50,,19146323
19152898,36,1220,,19146324
19152899,3,750,,19146325
19154758,68,,,19162937
19154759,11,1,,19162938
19161340,68,,,19155620
19161341,11,1,,19155621
19155311,22,0,,19160289
19155312,63,0,,19160290
19154760,3,400,,19162939
19154761,9,0,,19162940
19152900,3,95,,19146326
19152901,37,500,,19146327
19152902,3,150,,19146328
19161343,3,1500,,19155623
19152903,63,600,,19146329
19152904,3,2700,2002-04-06 00:00:00,19146330
19152905,3,2700,,19146331
19155314,26,40,,19160292
