"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2018,4,119540791
2018,4,119540870
2018,4,119540929
2018,4,119540994
2018,4,119541060
2018,4,119541062
2018,4,119541079
2018,4,119541112
2018,4,119541278
2018,4,119541358
2018,4,119541430
2018,4,119541451
2018,4,119541452
2018,4,119541579
2018,4,119541575
2018,4,119541578
2018,4,119541608
2018,4,119541666
2018,4,119541664
2018,3,119541794
2018,3,119541792
2018,4,119541864
2018,4,119541895
2018,4,119541889
2018,4,119541937
2018,4,119541941
2018,4,119541983
2018,4,119541985
2018,4,119542049
2018,4,119542047
2018,4,119542105
2018,4,123013247
2018,3,123017956
2018,3,123017957
2018,4,123009461
2018,4,123009480
2018,4,123009484
2018,4,123013342
2018,3,123017991
2018,4,123013381
2018,4,123009536
2018,4,123009538
2018,4,123009537
2018,4,123013405
2018,4,123013448
2018,4,123013459
2018,4,123013470
2018,4,123009601
2018,4,123009612
2018,4,123013495
2018,4,123009623
2018,4,123013519
2018,4,123009658
2018,4,123013561
2018,4,123013571
2018,4,123009689
2018,4,123013602
2018,4,123013641
2018,4,123013678
2018,4,123018235
2018,4,123013682
2018,4,123013703
2018,4,123013726
2018,4,123009810
2018,4,123013758
2018,4,123013759
2018,4,123009842
2018,4,123018296
2018,4,123013783
2018,4,123013807
2018,4,123013816
2018,4,123013817
2018,4,123013815
2018,3,123013867
2018,4,123013875
2018,4,123009918
2018,4,123018369
2018,4,123009924
2018,4,123018384
2018,4,123013921
2018,4,123018393
2018,4,123018394
2018,4,123018408
2018,4,123013949
2018,4,123013948
2018,4,123018411
2018,4,123018412
2018,4,123018413
2018,4,123018435
2018,1,123013986
2018,4,123018455
2018,4,123009988
2018,4,123009994
2018,4,123014027
2018,4,123014026
2018,4,123010005
2018,4,123018484
2018,4,123010012
2018,1,123018504
2018,4,123018510
2018,4,123018515
2018,4,123018516
2018,4,123010058
2018,4,123014150
2018,3,123010093
2018,3,123010092
2018,1,123010101
2018,1,123010098
2018,4,123018587
2018,3,123014194
2018,4,123014192
2018,4,123014232
2018,4,123014238
2018,4,123014237
2018,4,123010175
2018,4,123010176
2018,4,123018661
2018,4,123010211
2018,4,123014328
2018,4,123014342
2018,4,123018727
2018,4,123018726
2018,4,123014346
2018,1,123010260
2018,1,123014364
2018,3,123014364
2018,4,123014395
2018,4,123014403
2018,4,119540809
2018,3,119540811
2018,4,119540849
2018,4,119540850
2018,3,119540881
2018,4,119540897
2018,4,119540925
2018,4,119540934
2018,4,119541043
2018,4,119541109
2018,4,119541192
2018,4,119541260
2018,4,119541268
2018,4,119541296
2018,4,119541295
2018,4,119541323
2018,4,119541347
2018,4,119541373
2018,4,119541381
2018,4,119541436
2018,4,119541466
2018,4,119541500
2018,4,119541563
2018,4,119541595
2018,4,119541605
2018,4,119541690
2018,4,119541704
2018,3,119541747
2018,4,119541799
2018,4,119541904
2018,4,119541979
2018,4,119542003
2018,4,119542057
2018,4,125402640
2018,4,125402639
2018,4,125402651
2018,4,125389787
2018,4,125399214
2018,4,125402779
2018,4,125402780
2018,4,125399305
2018,4,125399311
2018,1,125399326
2018,4,125399389
2018,4,125399399
2018,4,125399400
2018,4,125402983
2018,1,125389896
2018,4,125389897
2018,4,125403004
2018,4,125403003
2018,4,125403020
2018,4,125399527
2018,4,125403160
2018,4,125389964
2018,4,125403175
2018,4,125389970
2018,4,125403196
2018,4,125403229
2018,4,125403230
2018,4,125399572
2018,4,125399580
2018,4,125399592
2018,4,125390023
2018,4,125403303
2018,4,125390061
2018,4,125399656
2018,4,125390071
2018,4,125403429
2018,4,125403439
2018,4,125399711
2018,4,125403457
2018,4,125403468
2018,4,125390112
2018,4,129249923
2018,3,129249898
2018,4,129258856
2018,4,129249919
2018,4,129250152
2018,4,129250151
2018,4,129259155
2018,4,129259154
2018,4,129250487
2018,4,129250620
2018,4,129259306
2018,4,129250643
2018,4,129255451
2018,4,129255453
2018,4,129259323
2018,3,129259345
2018,1,129255550
2018,4,129255717
2018,4,129259520
2018,4,129251083
2018,4,129251084
2018,4,129251094
2018,4,129259541
2018,4,129251101
2018,4,129259540
2018,4,129258407
2018,4,129249693
2018,4,129249694
2018,4,129258473
2018,4,129258510
2018,4,129258537
2018,4,129254821
2018,4,129258572
2018,4,129258584
2018,4,129258590
2018,4,129258626
2018,4,129258653
2018,4,129249804
2018,4,129258667
2018,4,129258673
2018,4,129254890
2018,4,129249839
2018,4,129249840
2018,4,129258749
2018,4,129254915
2018,4,129254914
2018,4,129249937
2018,4,129258870
2018,3,129258997
2018,3,129258996
2018,4,129259185
2018,4,129250464
2018,4,129250465
2018,4,129259241
2018,4,129259251
2018,4,129259255
2018,4,129259300
2018,4,129255460
2018,4,129259392
2018,4,137014720
2018,4,137025088
2018,4,137014848
2018,4,137014849
2018,4,137025134
2018,4,137025133
2018,4,137025138
2018,4,137027111
2018,4,137027113
2018,4,137027114
2018,4,137027115
2018,4,137014906
2018,4,137027147
2018,4,137025218
2018,4,137025229
2018,4,137027193
2018,3,137027196
2018,3,137025242
2018,4,137025248
2018,4,137027208
2018,4,137025273
2018,4,137025270
2018,4,137025272
2018,4,137027250
2018,4,137015040
2018,4,137015039
2018,4,137027306
2018,4,137027321
2018,4,137027327
2018,4,137014726
2018,4,137014820
2018,4,137027085
2018,1,137014828
2018,4,137027089
2018,4,137014875
2018,4,137014917
2018,4,137014918
2018,4,137027165
2018,4,137027162
2018,4,137014927
2018,4,137014928
2018,4,137014952
2018,4,137014961
2018,4,137014962
2018,4,137027207
2018,3,137027215
2018,3,137027216
2018,4,137027214
2018,4,137014978
2018,4,137014979
2018,4,137014977
2018,4,137014988
2018,4,137027255
2018,4,137025348
2018,4,137025349
2018,4,137025347
2018,4,137025370
2018,4,137025373
2018,3,137027314
2018,4,137027313
2018,4,128263992
2018,4,128267711
