"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2016,29457440,1,29478026
2016,29453136,1,29478348
2016,26538291,1,26558558
2016,26538312,1,26558579
2016,25677498,3,25696387
2016,25677774,1,25696663
2016,25677772,1,25696661
2016,25677775,1,25696664
2016,25842975,1,25862186
2016,25605489,1,25624283
2016,25605756,1,25624550
2016,25605809,1,25624604
2016,25606001,1,25624795
2016,25606089,1,25624883
2016,25606122,1,25624916
2016,25606134,1,25624928
2016,25608397,1,25627192
2016,25608445,1,25627240
2016,25608442,1,25627237
2016,25608511,5,25627307
2016,25608594,1,25627389
2016,25608651,3,25627445
2016,25608649,3,25627444
2016,25608668,3,25627464
2016,25608689,1,25627484
2016,25608770,1,25627566
2016,25608787,1,25627582
2016,25608854,1,25627649
2016,25608929,1,25627724
2016,25609121,1,25627916
2016,25609161,1,25627957
2016,25609329,1,25628124
2016,25609335,1,25628130
2016,25609353,1,25628148
2016,25609354,1,25628149
2016,25609543,1,25628338
2016,25609598,1,25628393
2016,25610089,1,25628885
2016,25610127,1,25628923
2016,25610131,1,25628927
2016,25610133,1,25628929
2016,25610156,1,25628952
2016,25610179,1,25628975
2016,25610289,7,25629083
2016,25610636,1,25629432
2016,25610664,1,25629460
2016,25610663,1,25629458
2016,25610694,1,25629490
2016,25611150,1,25629947
2016,25611169,1,25629966
2016,25611264,1,25630061
2016,25611318,1,25630115
2016,25611638,1,25630437
2016,25611690,1,25630489
2016,25611767,1,25630566
2016,25611933,4,25630733
2016,25612043,1,25630844
2016,25613686,1,25632486
2016,25613765,1,25632566
2016,25614243,1,25633044
2016,25614350,1,25633153
2016,25614468,1,25633271
2016,25614675,1,25633477
2016,25614688,1,25633490
2016,25614735,1,25633537
2016,25615112,3,25633914
2016,25615587,1,25634389
2016,25615590,1,25634392
2016,25615588,1,25634390
2016,25615595,1,25634397
2016,25615653,1,25634455
2016,25615652,1,25634454
2016,25615651,1,25634453
2016,25615950,1,25634752
2016,25616065,1,25634867
2016,25616068,1,25634870
2016,25616357,1,25635160
2016,25616431,1,25635235
2016,25616447,1,25635251
2016,25616456,1,25635259
2016,25616685,1,25635489
2016,25616863,1,25635667
2016,25616890,1,25635693
2016,25617072,3,25635874
2016,25617156,1,25635959
2016,25617179,1,25635982
2016,25617230,1,25636033
2016,25617238,1,25636041
2016,25617236,1,25636040
2016,25617235,1,25636038
2016,25617274,1,25636077
2016,25617347,1,25636150
2016,25617353,1,25636156
2016,25617360,1,25636163
2016,25617420,1,25636223
2016,25617443,1,25636246
2016,25617516,1,25636319
2016,25617549,1,25636352
2016,25617669,1,25636472
2016,25617682,1,25636485
2016,25617739,1,25636542
2016,25617859,1,25636662
2016,25617875,1,25636679
2016,25617972,1,25636775
2016,25618087,1,25636891
2016,25618709,1,25637512
2016,25618710,1,25637513
2016,25618737,1,25637540
2016,25618834,1,25637638
2016,25605743,1,25624534
2016,25605745,1,25624539
2016,25606003,1,25624797
2016,25606037,1,25624831
2016,25606059,1,25624852
2016,25606136,1,25624930
2016,25606132,1,25624926
2016,25606318,1,25625112
2016,25608392,1,25627187
2016,25608400,2,25627195
2016,25608427,1,25627222
2016,25608430,1,25627225
2016,25608428,1,25627224
2016,25608551,1,25627346
2016,25608584,1,25627381
2016,25608635,1,25627430
2016,25608686,1,25627482
2016,25608696,1,25627491
2016,25608694,1,25627490
2016,25608721,1,25627516
2016,25608723,1,25627518
2016,25608829,1,25627624
2016,25608910,1,25627705
2016,25610087,1,25628880
2016,25610088,1,25628884
2016,25610110,1,25628905
2016,25610705,1,25629501
2016,25611157,1,25629953
2016,25611274,1,25630071
2016,25611320,1,25630117
2016,25611419,1,25630218
2016,25611525,3,25630324
2016,25611618,1,25630417
2016,25611623,1,25630422
2016,25611643,1,25630442
2016,25611732,1,25630532
2016,25613802,1,25632602
2016,25614038,1,25632839
2016,25614085,1,25632886
2016,25614195,1,25632996
2016,25614339,1,25633141
2016,25614447,1,25633249
2016,25614519,1,25633321
2016,25614536,1,25633338
2016,25614658,1,25633460
2016,25614670,1,25633472
2016,25614678,1,25633480
2016,25614744,1,25633545
2016,25614870,1,25633672
2016,25615107,1,25633909
2016,25615110,1,25633912
2016,25615120,1,25633922
2016,25615784,1,25634586
2016,25615838,1,25634640
2016,25615953,1,25634755
2016,25615991,1,25634793
2016,25615993,1,25634795
2016,25616001,1,25634804
2016,25616041,1,25634843
2016,25616043,1,25634846
2016,25616166,1,25634970
2016,25616206,1,25635008
2016,25616226,1,25635028
2016,25616222,1,25635025
2016,25616229,1,25635031
2016,25616304,1,25635107
2016,25616388,1,25635191
2016,25616432,1,25635233
2016,25616485,1,25635289
2016,25616653,1,25635455
2016,25616795,1,25635598
2016,25616836,1,25635640
2016,25616935,1,25635735
2016,25617083,1,25635886
2016,25617108,1,25635911
2016,25617143,1,25635946
2016,25617159,1,25635962
2016,25617160,1,25635963
2016,25617312,1,25636115
2016,25617363,1,25636166
2016,25617463,1,25636266
2016,25617462,1,25636265
2016,25617487,1,25636291
2016,25617493,1,25636296
2016,25617513,1,25636316
2016,25617512,1,25636315
2016,25617520,1,25636323
2016,25617532,3,25636335
2016,25617568,1,25636371
2016,25617569,1,25636372
2016,25617610,1,25636413
2016,25617635,1,25636438
2016,25617649,1,25636453
2016,25617661,1,25636464
2016,25617733,1,25636536
2016,25617786,1,25636589
2016,25617817,1,25636620
2016,25617907,1,25636710
2016,25617965,1,25636768
2016,25617966,1,25636769
2016,25617967,1,25636770
2016,25618094,1,25636897
2016,25618179,1,25636982
2016,25618292,1,25637095
2016,25618451,1,25637254
2016,25618596,1,25637398
2016,25618742,1,25637545
2016,25618807,1,25637610
2016,25608567,1,25627361
2016,25608680,1,25627476
2016,25608726,1,25627522
2016,25608745,1,25627539
2016,25608742,1,25627536
2016,25608764,1,25627559
2016,25608803,1,25627599
2016,25608801,1,25627596
2016,25608972,1,25627767
2016,25608978,4,25627773
2016,25609060,1,25627854
2016,25609117,1,25627912
2016,25609162,3,25627956
2016,25609312,8,25628107
2016,25609320,1,25628115
2016,25609340,1,25628135
2016,25609347,1,25628142
2016,25609403,1,25628198
2016,25609431,1,25628226
2016,25609457,1,25628253
2016,25609532,1,25628327
2016,25609531,1,25628326
2016,25609560,1,25628355
2016,25609593,1,25628388
2016,25609726,1,25628521
2016,25610091,1,25628888
2016,25610373,1,25629170
2016,25610372,1,25629169
2016,25610674,1,25629471
2016,25610884,1,25629680
2016,25610919,1,25629715
2016,25611116,1,25629913
2016,25611156,1,25629952
2016,25611159,1,25629956
2016,25611167,1,25629964
2016,25611303,1,25630100
2016,25611372,1,25630171
2016,25611695,1,25630494
2016,25611866,1,25630666
2016,25611881,1,25630681
2016,25611992,1,25630792
2016,25612057,1,25630857
2016,25613764,1,25632564
2016,25613819,1,25632619
2016,25613877,1,25632677
2016,25613887,1,25632687
2016,25613979,1,25632781
2016,25614138,1,25632939
2016,25614143,1,25632944
2016,25614266,1,25633068
2016,25614342,1,25633143
2016,25614467,1,25633269
2016,25614540,1,25633342
2016,25614632,1,25633434
2016,25614649,1,25633451
2016,25614700,1,25633502
2016,25614741,1,25633542
2016,25614948,1,25633750
2016,25615123,1,25633925
2016,25615457,1,25634260
2016,25615601,1,25634403
2016,25615710,1,25634512
2016,25615753,1,25634556
2016,25615752,1,25634554
2016,25615780,1,25634582
2016,25615806,1,25634608
2016,25615935,1,25634737
2016,25615937,1,25634739
2016,25615967,1,25634768
2016,25615964,1,25634767
2016,25616005,1,25634802
2016,25616059,1,25634861
2016,25616375,1,25635178
2016,25616455,1,25635258
2016,25616480,1,25635283
2016,25616774,1,25635576
2016,25616868,1,25635672
2016,25616917,1,25635720
2016,25617212,1,25636015
2016,25617242,1,25636045
2016,25617260,1,25636063
2016,25617277,1,25636080
2016,25617273,1,25636076
2016,25617278,1,25636082
2016,25617328,1,25636131
2016,25617349,1,25636152
2016,25617395,1,25636198
2016,25617495,1,25636298
2016,25617506,1,25636309
2016,25617588,3,25636391
2016,25617590,1,25636393
2016,25617636,1,25636439
2016,25617679,1,25636482
2016,25617708,1,25636511
2016,25617724,1,25636527
2016,25617843,1,25636646
2016,25617884,1,25636686
2016,25617891,1,25636694
2016,25617892,1,25636696
2016,25618269,1,25637069
2016,25618271,1,25637074
2016,25618434,1,25637237
2016,25618457,1,25637261
2016,25618467,1,25637270
2016,25618711,1,25637516
2016,25618714,1,25637517
2016,25618717,1,25637520
2016,25618720,1,25637523
2016,25618791,1,25637594
2016,25605595,1,25624389
2016,25605591,1,25624385
2016,25605814,1,25624609
2016,25605840,1,25624635
2016,25606082,1,25624876
2016,25606109,1,25624904
2016,25606139,1,25624933
2016,25606140,1,25624934
2016,25606192,1,25624985
2016,25606193,1,25624987
2016,25608526,1,25627320
2016,25608544,1,25627339
2016,25608577,1,25627373
2016,25608628,8,25627423
2016,25608674,1,25627469
2016,25608732,1,25627527
2016,25608733,1,25627528
2016,25608849,1,25627644
2016,25609008,1,25627804
2016,25609014,1,25627809
2016,25609011,1,25627801
2016,25609025,1,25627820
2016,25609163,1,25627958
2016,25609203,1,25627998
2016,25609319,1,25628114
2016,25609323,1,25628118
2016,25609324,1,25628119
2016,25609367,1,25628163
2016,25609372,1,25628164
2016,25609439,1,25628234
2016,25609624,1,25628419
2016,25609682,1,25628476
2016,25609679,1,25628474
2016,25609684,1,25628479
2016,25610140,1,25628936
2016,25610347,1,25629143
2016,25610360,1,25629156
2016,25610376,1,25629172
2016,25610378,1,25629174
2016,25610380,1,25629176
2016,25610868,1,25629662
2016,25610872,1,25629667
2016,25610909,1,25629705
2016,25610926,1,25629722
2016,25611027,1,25629824
2016,25611113,1,25629910
2016,25611171,1,25629967
2016,25611307,1,25630104
2016,25611354,1,25630153
2016,25611510,1,25630309
2016,25611533,1,25630333
2016,25611636,1,25630435
2016,25611651,1,25630450
2016,25611652,1,25630451
2016,25611751,1,25630551
2016,25611856,1,25630656
2016,25611998,1,25630798
2016,25612088,1,25630887
2016,25613722,1,25632522
2016,25613790,1,25632590
2016,25613854,1,25632654
2016,25613862,7,25632662
2016,25613911,1,25632711
2016,25614098,1,25632899
2016,25614126,1,25632927
2016,25614134,1,25632936
2016,25614462,1,25633264
2016,25614477,1,25633279
2016,25614478,1,25633281
2016,25614559,1,25633361
2016,25614695,1,25633496
2016,25615383,1,25634186
2016,25615439,1,25634238
2016,25615459,1,25634261
2016,25615496,1,25634300
2016,25615594,1,25634395
2016,25615692,1,25634494
2016,25615694,1,25634496
2016,25615725,1,25634524
2016,25615730,1,25634532
2016,25615918,1,25634719
2016,25616129,1,25634931
2016,25616132,1,25634934
2016,25616130,1,25634932
2016,25616134,1,25634936
2016,25616440,1,25635245
2016,25616510,1,25635314
2016,25616521,1,25635324
2016,25616513,1,25635318
2016,25616509,1,25635312
2016,25616518,1,25635320
2016,25616547,1,25635350
2016,25616546,1,25635349
2016,25616573,1,25635375
2016,25616582,1,25635385
2016,25616583,1,25635386
2016,25616771,1,25635575
2016,25616819,1,25635622
2016,25616824,1,25635627
2016,25616869,1,25635673
2016,25616867,1,25635670
2016,25616911,1,25635714
2016,25617110,1,25635913
2016,25617117,1,25635920
2016,25617254,1,25636057
2016,25617256,1,25636058
2016,25617392,1,25636195
2016,25617409,1,25636212
2016,25617504,1,25636306
2016,25617510,1,25636313
2016,25617514,1,25636317
2016,25617662,1,25636465
2016,25617760,1,25636563
2016,25617773,1,25636576
2016,25617785,1,25636587
2016,25617829,1,25636632
2016,25617952,1,25636755
2016,25617976,1,25636779
2016,25617975,1,25636778
2016,25618021,1,25636824
2016,25618028,1,25636831
2016,25618031,1,25636833
2016,25618029,1,25636832
2016,25618556,1,25637359
2016,25618555,1,25637358
2016,25618715,1,25637518
2016,25615423,1,25634223
2016,25615418,3,25634221
2016,25615535,1,25634337
2016,25615672,3,25634474
2016,25615832,1,25634635
2016,25615858,1,25634660
2016,25615941,1,25634743
2016,25615940,1,25634742
2016,25616014,1,25634817
2016,25616063,1,25634864
2016,25616102,1,25634903
2016,25616331,1,25635134
2016,25616329,1,25635132
2016,25616327,1,25635130
2016,25616330,1,25635133
2016,25616434,1,25635237
2016,25616493,1,25635296
2016,25616640,1,25635444
2016,25616683,1,25635490
2016,25616830,1,25635633
2016,25616865,1,25635663
2016,25616920,1,25635723
2016,25617144,1,25635947
2016,25617173,1,25635975
2016,25617316,1,25636119
2016,25617337,1,25636140
2016,25617340,1,25636143
2016,25617342,1,25636145
2016,25617380,1,25636183
2016,25617407,1,25636210
2016,25617449,1,25636252
2016,25617526,1,25636329
2016,25617631,1,25636434
2016,25617651,1,25636454
2016,25617650,1,25636452
2016,25617789,1,25636592
2016,25605601,1,25624394
2016,25605608,1,25624403
2016,25605647,1,25624441
2016,25605989,1,25624784
2016,25605988,1,25624782
2016,25606005,1,25624799
2016,25606094,1,25624888
2016,25606116,1,25624910
2016,25606127,1,25624921
2016,25606196,1,25624990
2016,25606216,1,25625011
2016,25608507,1,25627302
2016,25608644,1,25627438
2016,25608650,1,25627446
2016,25608798,1,25627594
2016,25608935,1,25627730
2016,25609104,1,25627901
2016,25609361,1,25628156
2016,25609529,1,25628324
2016,25609588,1,25628383
2016,25610075,1,25628871
2016,25610123,1,25628919
2016,25610128,1,25628924
2016,25610196,1,25628993
2016,25610382,1,25629178
2016,25611112,1,25629909
2016,25611165,1,25629961
2016,25611289,1,25630086
2016,25611299,1,25630097
2016,25611328,1,25630125
2016,25611340,1,25630139
2016,25611336,1,25630135
2016,25611338,1,25630137
2016,25611337,1,25630136
2016,25611348,1,25630147
2016,25611351,1,25630150
2016,25611451,1,25630250
2016,25611634,1,25630433
2016,25611649,1,25630448
2016,25611780,8,25630579
2016,25611821,1,25630620
2016,25611853,1,25630653
2016,25611859,1,25630659
2016,25611884,1,25630685
2016,25611917,1,25630717
2016,25611936,1,25630736
2016,25611967,1,25630767
2016,25611969,1,25630769
2016,25612000,1,25630801
2016,25612006,1,25630806
