"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2017,4,112355526
2017,4,112355703
2017,4,112355914
2017,4,112356006
2017,4,112356040
2017,4,112356082
2017,4,112356222
2017,4,112356241
2017,4,112356269
2017,4,112356301
2017,4,112356477
2017,4,112356648
2017,4,112356647
2017,4,112356660
2017,4,112356730
2017,4,112356797
2017,4,112356951
2017,4,112357243
2017,2,112357323
2017,2,112357328
2017,4,112357419
2017,4,112357503
2017,4,112357504
2017,4,110783498
2017,4,110783559
2017,4,110783560
2017,4,110783743
2017,4,110783812
2017,4,110783917
2017,4,110783946
2017,4,110783954
2017,4,110784022
2017,4,110784028
2017,4,110784522
2017,4,110784666
2017,4,110784739
2017,4,110784796
2017,4,110784895
2017,4,110785133
2017,4,110785390
2017,4,110785621
2017,4,110785768
2017,4,110785795
2017,4,110785840
2017,4,110785962
2017,4,110785956
2017,4,110786114
2017,4,110786158
2017,4,110786207
2017,4,110786286
2017,4,110786311
2017,4,110786345
2017,4,110786484
2017,4,110786486
2017,4,110787786
2017,4,110787936
2017,4,110788067
2017,4,110788151
2017,4,117583914
2017,4,117584195
2017,1,117584928
2017,4,117585330
2017,4,117585421
2017,4,113640716
2017,4,113641104
2017,4,113643629
2017,4,113644033
2017,4,113644354
2017,4,113644400
2017,4,113644436
2017,4,113644615
2017,4,113644728
2017,4,113644722
2017,4,113644807
2017,4,113645427
2017,1,113645513
2017,4,113645563
2017,4,113645705
2017,4,113645717
2017,4,113645866
2017,4,113646329
2017,4,113646418
2017,4,113646544
2017,4,113646668
2017,3,113646725
2017,4,113646804
2017,4,113646878
2017,4,113647013
2017,4,113647042
2017,4,113647158
2017,4,113647202
2017,4,113647287
2017,4,113647313
2017,4,113647421
2017,4,113647483
2017,4,113647538
2017,1,113647659
2017,4,113647742
2017,4,113647794
2017,4,113647923
2017,4,113647920
2017,4,113648189
2017,4,113648325
2017,4,113648329
2017,4,113648760
2017,4,113648791
2017,4,113648926
2017,4,113649182
2017,1,113649240
2017,4,113649371
2017,4,113649444
2017,4,113649553
2017,4,113649678
2017,4,113650063
2017,4,113650222
2017,4,113650395
2017,4,113651078
2017,4,113651121
2017,4,113651227
2017,4,113651420
2017,3,113651557
2017,4,113651647
2017,4,113652054
2017,4,113652060
2017,4,113652201
2017,4,113652357
2017,4,113652477
2017,3,113652508
2017,4,113652607
2017,4,113652713
2017,4,113652827
2017,4,113652876
2017,4,113652999
2017,4,113653201
2017,4,113653319
2017,4,113653349
2017,4,113653407
2017,4,113653438
2017,4,113653515
2017,4,113653656
2017,4,113653722
2017,4,113653889
2017,4,113654082
2017,4,113654168
2017,4,113654343
