"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2017,6,114965276
2017,6,114965273
2017,3,114965397
2017,3,114965396
2017,6,114965396
2017,6,114966350
2017,6,114966342
2017,3,114967860
2017,6,114967860
2017,6,114969823
2017,6,114969870
2017,6,114969853
2017,3,114969849
2017,6,114969849
2017,6,114969928
2017,3,114969925
2017,6,114970117
2017,6,114970889
2017,6,114971368
2017,6,114971586
2017,6,114971951
2017,6,114972893
2017,3,114974197
2017,8,114975386
2017,3,114975412
2017,6,114975413
2017,8,114975594
2017,6,114975602
2017,6,114975600
2017,6,114976122
2017,6,114976123
2017,8,114977195
2017,6,114978952
2017,3,114979467
2017,6,114979851
2017,6,114979854
2017,3,114980087
2017,3,114980089
2017,6,114981595
2017,6,114981594
2017,8,114984786
2017,8,114984978
2017,3,114985132
2017,6,114985151
2017,6,114985148
2017,6,114986762
2017,8,114986767
2017,3,114987284
2017,3,114987508
2017,6,114988658
2017,6,114988664
2017,6,114990831
2017,6,114991284
2017,3,114994079
2017,3,114994078
2017,3,114995043
2017,8,114995304
2017,8,114995307
2017,3,114996050
2017,6,114996050
2017,6,114996052
2017,6,114996296
2017,6,114996293
2017,8,114996331
2017,8,114996336
2017,6,114997220
2017,3,114997216
2017,1,114997748
2017,6,114997991
2017,6,114997999
2017,6,114998688
2017,6,114998694
2017,6,114998710
2017,6,115001253
2017,6,115001821
2017,3,115003689
2017,6,115004121
2017,6,115004123
2017,3,115004623
2017,3,115004813
2017,6,115005034
2017,6,115005035
2017,6,115005167
2017,6,115005174
2017,3,115005170
2017,2,115005971
2017,3,115006013
2017,6,115006013
2017,3,115006009
2017,6,115039053
2017,6,115040243
2017,6,115040242
2017,6,115041082
2017,6,115043774
2017,6,115043984
2017,6,115045933
2017,1,115050057
2017,6,115051628
2017,8,115053291
2017,1,115054871
2017,1,115056628
2017,1,115060495
2017,1,115060725
2017,6,115060903
2017,6,115064668
2017,6,115065549
2017,8,114983442
2017,8,114983441
2017,6,114983559
2017,6,114983555
2017,6,114989169
2017,6,114989589
2017,6,114989584
2017,2,114989652
2017,6,115005934
2017,6,115050258
2017,6,115058076
2017,1,119108531
2017,1,119108648
2017,3,119113936
2017,6,119114071
2017,6,119114074
2017,8,119115154
2017,8,119115720
2017,6,119115715
2017,6,119115864
2017,6,119115865
2017,6,119116275
2017,6,119117462
2017,6,119118793
2017,1,119118189
2017,1,119118236
2017,1,119118957
2017,6,119119320
2017,6,119119319
2017,6,119119586
2017,6,114991452
2017,6,114991457
2017,1,114992648
2017,6,114993251
2017,6,114993246
2017,2,114993477
2017,6,114993477
2017,6,114993479
2017,6,114995037
2017,6,114995039
2017,6,114995532
2017,6,114995530
2017,6,114995766
2017,7,114995766
2017,6,114995760
2017,7,114995760
2017,6,114995918
2017,6,114995917
2017,6,114996048
2017,6,114996053
2017,6,114996350
2017,6,114996348
2017,6,114996679
2017,6,114996676
2017,6,114997202
2017,6,114997282
2017,6,114997295
2017,6,115000426
2017,3,115003723
2017,3,115003721
2017,1,115004009
2017,6,115004550
2017,1,115005139
2017,6,115005820
2017,6,115005991
2017,3,115005987
2017,8,115007946
2017,8,115007948
2017,6,115022219
2017,1,115022347
2017,6,115029280
2017,6,115030052
2017,6,115030985
2017,6,115034567
2017,1,115034612
2017,8,115036518
2017,6,115042967
2017,8,115044612
2017,1,115045854
2017,6,115046262
2017,6,115046420
2017,6,115046437
2017,1,115048918
2017,1,115049627
2017,1,115051154
2017,6,115051678
2017,6,115051777
2017,8,115053729
2017,8,115054911
2017,6,115057059
2017,6,115058081
2017,6,115058163
2017,6,115060486
2017,8,115062150
2017,1,115065831
2017,6,115030750
2017,8,115033648
2017,6,115035698
2017,8,115039047
2017,6,115041057
2017,6,115042008
2017,2,115045849
2017,1,115047696
2017,6,115047904
2017,6,115049266
2017,6,115049273
2017,6,115050105
2017,6,115050376
2017,1,115050652
2017,6,115051750
2017,6,115051793
2017,1,115054726
2017,6,115055734
2017,8,115059182
2017,5,115060477
2017,6,115060864
2017,6,115060856
2017,1,115064283
2017,8,115064997
2017,1,115065150
2017,1,115066279
2017,6,115066642
2017,1,115067633
2017,3,114403009
2017,3,114403012
2017,1,114403389
2017,3,114404510
2017,7,114404510
2017,3,114404514
2017,7,114404514
2017,6,114404839
2017,6,114407598
2017,6,114407593
2017,6,114408784
2017,6,114409475
2017,7,114409460
2017,6,114409859
2017,6,114411738
2017,1,114411843
2017,6,114412705
2017,7,114412705
2017,6,114413268
2017,6,114413265
2017,6,114413373
2017,6,114413375
2017,6,114414044
2017,6,114414413
2017,6,114414445
2017,6,114415187
2017,6,114415186
2017,6,114416190
2017,6,114416192
2017,6,114416273
2017,8,114416270
2017,6,114418076
2017,6,114418074
2017,6,114418073
2017,3,114419266
2017,3,114419269
2017,6,114421574
2017,2,114422125
2017,1,115040198
2017,6,115041110
2017,6,115042097
2017,2,115044905
2017,6,115045111
2017,1,115045623
2017,6,115048037
2017,8,115049073
2017,6,115049291
2017,6,115050222
2017,6,115050936
2017,8,115051446
2017,1,115053514
2017,6,115056556
2017,1,115056574
2017,6,115058809
2017,6,115060472
2017,6,115060898
2017,1,115060990
2017,6,115061626
2017,6,114452277
2017,6,114452315
2017,6,114454117
2017,6,114457637
2017,6,114458129
2017,6,114458553
2017,1,114460008
2017,1,114460181
2017,8,114461542
2017,6,114463153
2017,6,114463928
2017,6,114463924
2017,8,114464566
2017,6,114464807
2017,6,114467964
2017,6,114468328
2017,8,114468709
2017,1,114469673
2017,6,114471802
2017,6,114993447
