criminal_act_id,offense_id
6,14499036
6,14499037
6,14499211
6,14500083
6,14499430
6,14499169
6,14499171
6,14499181
6,14499010
6,14497558
6,14497567
6,14497569
8,14497569
6,14497570
6,14499198
6,14499216
6,14499226
6,14499227
6,14499228
6,14500107
6,14500110
6,14499239
6,14499240
6,14500122
8,14500122
6,14499243
6,14499244
6,14499260
6,14500403
6,14499481
6,14500149
6,14499267
6,14500152
6,14499490
6,14501810
6,14499506
6,14501813
6,14500453
6,14499528
8,14499528
6,14499540
6,14500860
6,14499544
6,14500864
6,14500865
6,14500866
6,14499552
6,14499553
6,14503036
6,14503037
6,14500197
6,14501849
6,14499521
6,14499522
6,14500176
6,14500846
6,14503060
6,14503067
6,14500895
6,14501857
6,14501858
6,14503075
6,14500904
6,14500608
8,14500608
6,14502256
6,14500624
6,14503106
6,14500946
8,14500946
6,14502302
6,14503174
6,14504503
6,14502352
8,14504936
1,14504936
6,14503226
6,14503227
6,14502360
6,14502361
6,14503585
6,14503586
6,14503587
6,14504543
6,14503247
6,14504558
6,14503610
6,14503616
6,14504965
6,14503685
6,14505365
6,14505366
6,14506159
6,14503698
6,14506168
6,14506169
6,14506170
6,14506176
6,14504987
6,14506192
8,14506192
6,14504990
6,14505404
6,14505021
6,14505363
6,14505441
6,14505053
6,14505444
6,14506652
6,14506317
6,14506656
1,14506032
3,14506032
6,14506038
6,14506039
6,14503748
6,14505035
6,14505425
6,14505426
6,14506238
6,14506285
6,14506242
6,14506243
6,14506247
6,14506345
6,14506068
6,14506713
6,14506089
6,14506507
6,14509315
6,14506809
6,14509350
6,14509351
6,14506814
6,14509757
6,14509758
6,14509765
6,14506845
6,14509792
6,14509794
8,14509794
6,14510106
6,14510115
