suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
5,66618465,1,10,4489144
5,66629971,6,10,4489215
8,66629974,1,1,4489216
16,66629975,2,9,4489217
5,66629976,18,10,4489218
5,66629988,1,11,4489219
8,66629991,6,9,4489220
8,66630008,1,11,4489221
5,66614927,1,1,4489235
8,66614935,1,11,4489236
17,66614942,2,9,4489237
8,66614947,2,9,4489238
8,66614948,5,9,4489239
15,66614949,6,9,4489240
12,66614960,1,11,4489241
8,66614970,7,9,4489242
8,66614973,3.5,1,4489243
12,66614993,1,11,4489244
8,66620942,6,9,4489290
2,66620947,1,1,4489291
17,66620951,1,1,4489292
8,66620955,69,9,4489293
2,66620956,1.4,1,4489294
2,66620957,0.8,1,4489295
8,66620960,51,9,4489296
12,66620962,0,,4489297
8,66620971,28,9,4489298
5,66620975,4.16,3,4489299
8,66620981,158,9,4489300
8,66620984,0.01,1,4489301
1,66620987,0.6,1,4489302
12,66732407,0.05,1,4493559
12,66732408,0.01,1,4493560
12,66732410,0.05,1,4493561
17,66732411,20,9,4493562
5,66732412,4.6,1,4493563
12,66732414,0.01,1,4493564
8,66732415,4,9,4493565
12,66732418,0.05,1,4493566
5,66732420,1,10,4493567
12,66732421,0,,4493568
6,66732423,7,9,4493569
8,66732424,4,9,4493570
17,66732425,10,9,4493571
12,66732427,1.1,1,4493572
5,66732428,4,10,4493573
12,66732430,8.4,1,4493574
12,66732431,0,,4493575
17,66732432,18,9,4493576
12,66732433,0.01,1,4493577
8,66732434,7,9,4493578
12,66732435,0.05,1,4493579
17,66732436,30,9,4493580
12,66732437,0.05,1,4493581
2,66732438,19,1,4493582
5,66732439,2,1,4493583
8,66732453,2,9,4493584
8,66732460,1,9,4493585
8,66732461,1,9,4493586
8,66732462,1,9,4493587
5,66736063,3,1,4493599
5,66736071,7.3,1,4493600
5,66736073,5.1,1,4493601
5,66736076,3,1,4493602
16,66738486,2,9,4493607
16,66738491,19,9,4493608
16,66738492,25,9,4493609
8,66738493,1,1,4493610
5,66738495,0.5,1,4493611
8,66738501,15,9,4493612
8,66738502,0,,4493613
5,66738507,5,1,4493614
17,66738511,0.01,9,4493615
8,66738518,4,9,4493616
15,66732478,6,9,4493672
5,66732489,1,11,4493673
5,66736086,14.3,1,4493692
5,66736088,1.3,1,4493693
5,66736093,0.9,1,4493694
5,66736094,0.4,1,4493695
8,66736099,120,9,4493696
5,66736103,0.1,1,4493697
5,66736105,6.7,1,4493698
8,66736107,1,9,4493699
8,66736114,2,9,4493700
5,66736116,1,11,4493701
5,66736119,4.6,1,4493702
8,66736129,6,9,4493703
12,66736138,1.4,1,4493704
17,66736146,1.3,1,4493705
5,66737352,0.8,1,4493706
5,66737356,1,1,4493707
12,66737358,0.01,1,4493708
16,66737386,1,9,4493709
8,66737392,10,9,4493710
8,66737394,30,9,4493711
8,66737401,4,9,4493712
12,66737415,2.88,1,4493713
12,66737417,0.05,1,4493714
12,66737418,0.5,1,4493715
12,66737419,0.01,1,4493716
12,66737420,2.4,1,4493717
5,66737421,7,1,4493718
12,66737423,0,,4493719
12,66737424,0,,4493720
5,66737425,5.8,4,4493721
12,66737426,0.01,1,4493722
5,66731363,3.2,1,4493758
8,66731371,0,,4493759
2,66731372,0.5,1,4493760
5,66731373,0.5,1,4493761
16,66731375,1,9,4493762
8,66731376,4,9,4493763
5,66731378,0.7,1,4493764
5,66731388,1,1,4493765
15,66731396,10,9,4493766
16,66731398,2,9,4493767
12,66731411,0.2,1,4493768
12,66731413,4,1,4493769
12,66731415,8.4,1,4493770
8,66731416,0.5,9,4493771
5,66731417,1,1,4493772
17,66731418,130,9,4493773
5,66731420,29,1,4493774
12,66731421,0.05,1,4493775
12,66731422,0.05,1,4493776
12,66731424,0.05,1,4493777
12,66731425,0.21,1,4493778
12,66731427,0.05,1,4493779
12,66731428,0,,4493780
8,66731429,56,9,4493781
4,66731431,0.5,1,4493782
5,66736166,1,1,4493793
15,66736170,3,9,4493794
2,66736173,0.6,1,4493795
12,66736179,0.8,1,4493796
5,66736185,1,3,4493797
17,66736191,1.5,9,4493798
12,66736193,0,,4493799
16,66823483,1,11,4498034
15,66828355,2,9,4498054
4,66829634,0.01,3,4498142
8,66829653,0.1,1,4498143
4,66829691,1,11,4498144
4,66841039,0.01,1,4498176
16,66828563,4,9,4498273
8,66828570,14.75,9,4498274
7,66828619,4,9,4498275
8,66798527,11,9,4498299
16,66916396,2,9,4502508
8,66916398,47,9,4502509
12,66916402,1,11,4502510
12,66916404,1,1,4502511
16,66916408,8,9,4502512
8,66916417,1,9,4502513
12,66916418,16.1,1,4502514
8,66916421,2,9,4502515
12,66916425,7.1,1,4502516
8,66916426,1,9,4502517
5,66916428,0.1,1,4502518
5,66916441,0.1,1,4502519
5,66904657,9,1,4502536
5,66904662,0.2,1,4502537
1,66904667,0.1,1,4502538
5,66904682,1,3,4502539
8,66904685,4,9,4502540
5,66904688,3,1,4502541
12,66904696,1,7,4502542
4,66904698,0.3,1,4502543
5,66904699,5,4,4502544
12,66904705,3.6,1,4502545
8,66904706,1,1,4502546
8,66904708,13,9,4502547
13,66904709,5,9,4502548
8,66904710,0.8,1,4502549
16,66916454,34,9,4502586
1,66916457,0.2,1,4502587
8,66916461,0,,4502588
1,66916468,0.2,1,4502589
5,66916488,4.1,1,4502590
12,66916495,1.1,1,4502591
5,66916500,1.1,1,4502592
5,66916501,1.3,1,4502593
12,66916503,0.6,1,4502594
5,66916505,0,,4502595
5,66916509,1,1,4502596
2,66916514,0.8,1,4502597
5,66903569,7.42,1,4502612
8,66903580,1,9,4502613
5,66904723,1,1,4502614
1,66904725,0.4,1,4502615
2,66904726,0.9,1,4502616
8,66904728,7,9,4502617
1,66904730,0.5,1,4502618
5,66915386,8.7,1,4502660
16,66903611,3,9,4502674
5,66903623,1,1,4502675
16,66915399,13,9,4502714
1,66915410,0.001,1,4502715
5,66904891,2,10,4502729
8,66904910,4,9,4502730
5,66904925,2.1,3,4502731
8,66856740,1,11,4506902
5,66856742,1,1,4506903
5,66842175,2,1,4506911
5,66842183,11.12,1,4506912
5,66851908,0.07,1,4506952
12,66851914,0.1,1,4506953
5,66851917,0.01,1,4506954
5,66851919,0.5,1,4506955
5,66851921,16,10,4506956
12,66851922,1,1,4506957
12,66851923,2,1,4506958
16,66851926,0.5,1,4506959
12,66851932,0.01,1,4506960
12,66851934,0.25,1,4506961
16,66855601,2,9,4506970
15,66855618,5,9,4506971
5,66850765,2,1,4507013
5,66850772,1,1,4507014
12,66850781,1,1,4507015
5,66850783,34,1,4507016
12,66855657,0.5,1,4507030
5,66855659,103.26,1,4507031
8,66855664,75,9,4507032
5,66855667,0.1,1,4507033
16,66855673,1,9,4507034
6,66855674,9,9,4507035
8,66855676,5,9,4507036
5,66855681,8,10,4507037
5,66855683,1,1,4507038
8,66855695,2,9,4507039
17,66855700,1,9,4507040
8,66855708,1,9,4507041
17,66856852,3,9,4507042
8,66856855,2,9,4507043
5,66856856,1,3,4507044
8,66850798,17,9,4507087
5,66850801,8,3,4507088
5,66850814,0.4,1,4507089
5,66850816,1,11,4507090
5,66850824,1,1,4507091
5,66850827,1,10,4507092
5,66850829,1,1,4507093
5,66850830,1,1,4507094
5,66850843,0.5,3,4507095
5,66850850,3.5,3,4507096
5,66850856,1,1,4507097
12,66850862,1,11,4507098
8,66855728,5,9,4507113
8,66855731,2,9,4507114
8,66855732,1,9,4507115
1,66855735,0.01,1,4507116
8,66855736,1.5,9,4507117
1,66855740,0.5,1,4507118
12,66855748,4.8,1,4507119
5,66855749,3,1,4507120
8,66855753,8,9,4507121
8,66855763,16,9,4507122
12,66855768,1,11,4507123
12,66855771,1,1,4507124
1,66855774,6.3,1,4507125
5,66855779,1,1,4507126
12,66850889,0,,4507159
12,66850900,0.01,1,4507160
16,66853384,1,11,4507164
8,66853387,16,9,4507165
17,66853388,0.05,9,4507166
7,66854605,4,9,4507173
5,66855811,1.63,1,4507176
5,66855820,2,1,4507177
6,66927683,6,9,4511087
16,66927687,2,9,4511088
1,66927689,0.5,1,4511089
13,66927690,30,9,4511090
16,66927692,1,9,4511091
5,66931327,10.4,1,4511102
5,66931339,1,1,4511103
5,66931353,2,3,4511104
5,66931354,8.2,1,4511105
5,66931356,13,1,4511106
12,66931380,0.3,1,4511107
5,66931383,11.4,1,4511108
8,66931385,4,9,4511109
8,66931392,2,9,4511110
12,66931394,0.5,1,4511111
5,66931395,1151.7,1,4511112
5,66927707,1,10,4511153
8,66927719,1,9,4511154
5,66927732,1.7,1,4511155
13,66927736,6,9,4511156
8,66927757,12,9,4511157
5,66927758,33.8,1,4511158
5,66930196,0.1,1,4511159
12,66930197,0.8,1,4511160
8,66930206,5,9,4511161
16,66930221,3,9,4511162
5,66930222,0.5,3,4511163
12,66930232,0.5,1,4511164
8,66930235,0.5,9,4511165
8,66931411,5,9,4511167
12,66931414,2,9,4511168
12,66931417,0.8,1,4511169
5,66931418,4.4,1,4511170
5,66931422,1.4,1,4511171
5,66931423,7.2,1,4511172
12,66931426,3.4,1,4511173
13,66931427,2,9,4511174
17,66931429,1,9,4511175
5,66931430,5.8,1,4511176
1,66926606,0.3,1,4511223
17,66926636,0.72,3,4511224
16,66926638,5,9,4511225
14,66926643,10,9,4511226
5,66926645,0.5,1,4511227
16,66926647,2,9,4511228
8,66930270,28,9,4511244
12,66930277,1,6,4511245
12,66930279,3.2,1,4511246
16,66930280,5.5,3,4511247
8,66930284,0.5,9,4511248
2,66930285,0.8,1,4511249
13,66930286,4,9,4511250
8,66930288,2,9,4511251
12,66930289,3,1,4511252
5,66930292,1,1,4511253
12,66930296,1,9,4511254
5,66930298,1,1,4511255
12,66930304,1,1,4511256
8,66930308,1,3,4511257
1,66930312,0.3,1,4511258
8,66936329,0.5,9,4511269
8,66936339,2,9,4511270
8,66936340,2,9,4511271
8,66936349,2,9,4511272
2,66936363,0.4,1,4511273
8,66936364,0.3,1,4511274
12,66936376,0.8,1,4511275
16,66936384,8,9,4511276
16,66926653,1,9,4511301
12,66930344,2.3,1,4511324
5,66930354,1,1,4511325
16,66930358,39,9,4511326
12,66930361,14,9,4511327
12,66930382,0.5,1,4511328
16,66936397,331,9,4511335
5,66936403,2.3,1,4511336
17,66936435,1.5,1,4511337
8,66936439,5,9,4511338
5,66936447,2.9,1,4511339
5,66936453,4,1,4511340
7,67012822,49,9,4515309
5,67008082,2.9,1,4515369
5,67008105,9.5,1,4515370
5,67008107,2.3,1,4515371
8,67008109,5.5,9,4515372
5,67008151,1,3,4515373
17,67008194,5,9,4515442
2,67008202,21,3,4515443
13,67008234,4,9,4515444
5,67007038,5,1,4515516
5,67008242,2.6,1,4515519
5,67008258,7.2,1,4515520
5,67008271,5.3,1,4515521
5,67008298,4.5,1,4515522
4,67122149,1,11,4519516
5,67122151,1,11,4519517
5,67122154,1,11,4519518
4,67122163,0.01,1,4519519
5,67122168,0.01,3,4519520
5,67122184,1,3,4519521
8,67122187,1,11,4519602
5,67122192,1,11,4519603
5,67122197,0.01,3,4519604
5,67122208,1,11,4519605
5,67122210,1,11,4519606
5,67122213,1,11,4519607
5,67122248,0.01,1,4519608
8,67122253,15,9,4519609
4,67129534,1,1,4519637
5,67121073,1,11,4519664
8,67121082,11,9,4519665
5,67121084,0.01,3,4519666
4,67121085,1,11,4519667
4,67121087,0.01,1,4519668
4,67121089,0.01,7,4519669
5,67121096,1,11,4519670
8,67121119,0.01,1,4519671
1,67123535,0.01,1,4519678
5,67123541,0.01,1,4519679
5,67123543,1,11,4519680
5,67123548,1,11,4519681
1,67123553,0.01,1,4519682
8,67123569,1,11,4519683
8,67123582,112.5,9,4519684
2,67123587,0.01,3,4519685
1,67123592,1,11,4519686
5,67123600,0.01,1,4519687
8,67123602,9,9,4519688
5,67123603,0.01,1,4519689
1,67129542,1,11,4519716
8,67129543,1,11,4519717
5,67129562,0.01,3,4519718
4,67129596,1,11,4519719
5,67172594,0.9,3,4523945
5,67172600,28,1,4523946
8,67172601,1.5,9,4523947
8,67172603,7,9,4523948
5,67172616,4,1,4523949
5,67172624,1,1,4523950
5,67172671,2,3,4524041
5,67172674,2,1,4524042
5,67172676,7,1,4524043
5,67172679,0.01,1,4524044
5,67172681,28,1,4524045
17,67187317,1,9,4524095
5,67187320,0.5,1,4524096
15,67187323,39,9,4524097
5,67187326,1,1,4524098
5,67187328,0.1,1,4524099
16,67187340,1,9,4524100
5,67187345,0.2,1,4524101
5,67187359,2.8,1,4524102
5,67186191,4,1,4524139
4,67186203,1,1,4524140
5,67171612,0.03,1,4524147
5,67171632,2,1,4524148
5,67171636,20,1,4524149
8,67221007,35,9,4528377
8,67221008,36,9,4528378
16,67227774,10,9,4528396
5,67227784,0.7,1,4528397
5,67227785,2,1,4528398
8,67227799,2,9,4528399
4,67227800,0.6,1,4528400
4,67227801,0.4,1,4528401
4,67227802,0.4,1,4528402
16,67227803,2,9,4528403
5,67227804,26.4,1,4528404
2,67227805,1.9,3,4528405
4,67227806,0.8,1,4528406
5,67216110,4,1,4528434
5,67216131,1,1,4528435
16,67216150,3.5,9,4528436
4,67221014,0.5,1,4528451
5,67221019,0.5,1,4528452
8,67221020,1,9,4528453
5,67221022,0.3,1,4528454
5,67215002,1,1,4528512
5,67215003,1,3,4528513
4,67216183,1,11,4528514
5,67227945,1,1,4528553
5,67227953,7,1,4528554
5,67227958,1,1,4528555
5,67227964,1,1,4528556
5,67227984,7,1,4528557
5,67227990,1.18,1,4528558
5,67208974,18,1,4528561
5,67208983,0.04,1,4528562
5,67208991,1,1,4528563
5,67208995,2,1,4528564
7,67215021,3,1,4528574
5,67215037,0.5,3,4528575
5,67215076,1,1,4528576
5,67208996,0.05,1,4528622
5,67209010,0.59,1,4528623
17,67381094,0,,4532853
16,67381096,75,9,4532854
5,67381120,0.1,3,4532855
16,67381123,1,9,4532856
16,67381127,1,9,4532857
5,67381130,2,1,4532858
16,67381131,4,9,4532859
5,67381141,0.9,1,4532918
5,67381173,0.1,3,4532919
12,67316859,1,9,4537307
17,67316866,2,9,4537308
5,67316868,1,1,4537309
5,67316870,5.2,1,4537310
5,67316872,1.6,1,4537311
5,67316882,1.6,1,4537312
12,67316887,0,,4537313
8,67316897,3,9,4537314
8,67316906,2,9,4537315
5,67316907,0.5,1,4537316
1,67316909,14,1,4537317
5,67316913,0.01,1,4537318
8,67316924,26.5,9,4537319
5,67316930,0.2,1,4537320
17,67315774,20,9,4537395
5,67315780,2,1,4537396
5,67316932,0.6,1,4537397
8,67316934,1,1,4537398
5,67316937,0.01,1,4537399
5,67316941,0.8,1,4537400
5,67316945,2,1,4537401
5,67316959,1,11,4537402
5,67316966,2,1,4537403
5,67315782,10.9,1,4537487
8,67315789,4,9,4537488
16,67315790,12,9,4537489
5,67315815,0.01,1,4537490
12,67315818,0.01,1,4537491
5,67315826,0.3,1,4537492
8,67315834,57,9,4537493
5,67315841,19.5,1,4537494
5,67427438,11,1,4541721
16,67434852,7,9,4541745
5,67434854,2.6,1,4541746
2,67434883,2,1,4541747
16,67434889,10,9,4541748
8,67434890,14,9,4541749
5,67426308,1,1,4541786
5,67395903,0.5,1,4541835
8,67387365,3,9,4541878
17,67386272,12,9,4541964
5,67386292,0.03,3,4541965
15,67386298,5,9,4541966
8,67394801,4,9,4541985
5,67505606,73,1,4546181
5,67508025,2.25,1,4546185
5,67508043,2.2,1,4546186
5,67508053,2,1,4546187
12,67508056,2,9,4546188
5,67508063,0.001,3,4546189
5,67508068,1,11,4546190
5,67509316,0.5,1,4546191
5,67509320,2,1,4546192
5,67509322,8,1,4546193
5,67509331,0.3,1,4546194
5,67509333,3,1,4546195
8,67509334,6,9,4546196
5,67509341,1.9,1,4546197
5,67509348,1.3,1,4546198
5,67509351,3,1,4546199
8,67509355,9,9,4546200
5,67504465,1,11,4546268
17,67504469,12,9,4546269
5,67504476,8.5,1,4546270
5,67504506,1.2,3,4546271
16,67506938,19,9,4546283
5,67508100,0.11,3,4546284
15,67509404,3,9,4546285
12,67504537,0.01,5,4546342
5,67504585,12,4,4546344
8,67506958,1,9,4546353
5,67506961,0.7,1,4546354
5,67506989,41,10,4546355
17,67506996,2,9,4546356
5,67515601,2.94,1,4546386
8,67504605,1,9,4546419
8,67504607,1,9,4546420
5,67570238,0.8,3,4550676
5,67570240,0.01,3,4550677
16,67570244,0,,4550678
5,67572608,0,,4550681
12,67572615,0.4,1,4550682
12,67572618,5.28,1,4550683
12,67572621,5.64,1,4550684
5,67572623,0.8,1,4550685
5,67569133,1,1,4550749
5,67569136,2,1,4550750
17,67569149,2,9,4550751
17,67569150,1,9,4550752
5,67569153,1,1,4550753
5,67569163,1,1,4550754
5,67569168,1,1,4550755
5,67569172,1,1,4550756
5,67569173,1,1,4550757
12,67571512,1,1,4550766
5,67571513,1,1,4550767
17,67571515,9,9,4550768
4,67559622,0.05,1,4550797
5,67559623,4,1,4550798
16,67559627,4,9,4550799
5,67559630,0.01,3,4550800
16,67559633,2,9,4550801
5,67559634,13.1,1,4550802
8,67559637,2,9,4550803
5,67560822,0.02,1,4550805
5,67560825,3.5,1,4550806
5,67560826,3,1,4550807
5,67560829,2.5,1,4550808
5,67560830,2,1,4550809
4,67560843,0.3,1,4550810
16,67560853,0.02,1,4550811
5,67560855,0.5,1,4550812
12,67560859,0.01,1,4550813
8,67566783,2,9,4550853
16,67566789,6,1,4550854
12,67566790,0.4,1,4550855
12,67566793,0.01,1,4550856
16,67566804,4,9,4550857
5,67569177,1,1,4550861
5,67569183,1,1,4550862
5,67569192,1,1,4550863
17,67569193,10,9,4550864
5,67569196,1,1,4550865
5,67569199,1,1,4550866
5,67569206,1,1,4550867
5,67569208,1,1,4550868
4,67569212,1,1,4550869
5,67569214,1,1,4550870
5,67569216,1,1,4550871
5,67569219,1,1,4550872
5,67569222,1,1,4550873
5,67569225,1,1,4550874
4,67569239,1,1,4550875
5,67569242,1,1,4550876
8,67571550,67,9,4550879
16,67571552,1,9,4550880
5,67571553,0.5,1,4550881
5,67571569,0.5,1,4550882
8,67571574,3,9,4550883
12,67571575,1,11,4550884
8,67571579,0,,4550885
8,67571581,6.5,9,4550886
8,67571584,2,9,4550887
8,67571586,3,9,4550888
5,67571590,1,11,4550889
12,66678019,1,1,4484876
12,66678020,1,1,4484877
16,66678021,5,9,4484878
8,66678022,5,9,4484879
5,66678023,2,3,4484880
8,66678024,10,9,4484881
12,66678025,1.5,1,4484882
1,66678026,1.2,1,4484883
12,66678027,2,1,4484884
12,66678028,1,1,4484885
1,66678029,1.4,1,4484886
12,66678030,0.01,1,4484887
8,66678031,50,9,4484888
16,66678032,15,9,4484889
1,66678033,0.25,3,4484890
12,66678034,28.4,1,4484891
1,66678035,25,3,4484892
12,66678036,0,,4484893
12,66678037,0,,4484894
14,66678038,50,9,4484895
12,66678039,3,1,4484896
2,66678040,43.2,1,4484897
12,66678041,1,1,4484898
8,66678042,2237,9,4484899
12,66678044,0,,4484900
5,66678045,4,1,4484901
12,66678046,0,,4484902
5,66678047,28,1,4484903
1,66678048,7,1,4484904
16,66678050,28,1,4484905
8,66678051,10,9,4484906
1,66678052,3,1,4484907
5,66679055,1,4,4484908
8,66679056,10,9,4484909
16,66679057,2,9,4484910
8,66686257,404,9,4484950
5,66686258,6,4,4484951
5,66686259,0,,4484952
8,66686261,15,9,4484953
12,66686263,1.17,1,4484954
12,66686264,38,1,4484955
12,66686265,2,1,4484956
8,66686266,0.5,4,4484957
8,66686267,98,9,4484958
8,66686268,2.5,9,4484959
2,66686269,125.2,1,4484960
8,66686270,2,9,4484961
8,66686271,2,9,4484962
8,66686272,13,9,4484963
8,66686273,100,9,4484964
8,66686274,308,9,4484965
12,66686275,1,1,4484966
1,66686276,5.8,1,4484967
8,66686277,12,9,4484968
12,66686278,0.01,1,4484969
2,66686279,7,1,4484970
12,66686280,4,3,4484971
12,66686281,4,3,4484972
5,66686282,1,3,4484973
2,66686283,57.9,1,4484974
1,66686284,1.6,1,4484975
8,66686285,9,9,4484976
2,66686286,44.4,1,4484977
8,66686287,10,9,4484978
12,66686288,0.5,1,4484979
12,66686289,0,,4484980
8,66686290,13,9,4484981
12,66686291,0,,4484982
16,66686292,5,9,4484983
8,66686293,10,9,4484984
8,66686294,19,9,4484985
12,66686295,1,1,4484986
16,66686296,3,9,4484987
2,66686297,15.6,1,4484988
8,66686298,2,9,4484989
8,66686299,50,9,4484990
5,66676990,736,10,4485035
5,66676991,797,10,4485036
5,66676992,138,10,4485037
