year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2010,Colorado,CO,2051,CO0510100,Pueblo,106595,2,"Cities from 100,000 thru 249,000",1,12,1,12,0,1,1
2010,Colorado,CO,2050,CO0510000,Pueblo,52468,9B,"MSA counties from 25,000 thru 99,999",1,12,0,0,0,1,0
2010,Colorado,CO,2056,CO0520200,Rangely,2365,7,"Cities under 2,500",1,12,1,12,0,1,1
2010,Colorado,CO,1968,CO0301000,Red Rocks Community College,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2010,Colorado,CO,2036,CO0460200,Ridgway,924,7,"Cities under 2,500",0,0,0,0,0,0,0
2010,Colorado,CO,1935,CO0230300,Rifle,9172,6,"Cities from 2,500 thru 9,999",0,0,0,0,0,0,0
2010,Colorado,CO,2054,CO0520000,Rio Blanco,1826,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2010,Colorado,CO,2057,CO0530000,Rio Grande,5248,8D,"Non-MSA counties under 10,000",1,12,0,0,0,1,0
2010,Colorado,CO,2031,CO0450200,Rocky Ford,3957,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2010,Colorado,CO,1882,CO0110200,Romeo,404,7,"Cities under 2,500",0,0,0,0,1,0,0
2010,Colorado,CO,2061,CO0540000,Routt,8727,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2010,Colorado,CO,2069,CO0550200,Saguache,485,7,"Cities under 2,500",0,0,0,0,1,1,1
2010,Colorado,CO,2067,CO0550000,Saguache,4096,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2010,Colorado,CO,1873,CO0080200,Salida,5236,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2010,Colorado,CO,1885,CO0110500,Sanford,879,7,"Cities under 2,500",0,0,0,0,1,0,0
2010,Colorado,CO,2070,CO0560000,San Juan,699,8D,"Non-MSA counties under 10,000",0,11,0,11,0,0,0
2010,Colorado,CO,1887,CO0120100,San Luis,629,7,"Cities under 2,500",0,0,0,0,1,0,0
2010,Colorado,CO,2072,CO0570000,San Miguel,5034,8D,"Non-MSA counties under 10,000",1,12,0,0,0,1,0
2010,Colorado,CO,2075,CO0580000,Sedgwick,2379,8D,"Non-MSA counties under 10,000",0,7,0,7,0,0,0
2010,Colorado,CO,1842,CO0030300,Sheridan,5664,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2010,Colorado,CO,1937,CO0230500,Silt,2930,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2010,Colorado,CO,2080,CO0590300,Silverthorne,3887,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2010,Colorado,CO,2071,CO0560100,Silverton,637,7,"Cities under 2,500",0,0,0,0,1,0,0
2010,Colorado,CO,1917,CO0200200,Simla,618,7,"Cities under 2,500",0,0,0,0,0,0,0
2010,Colorado,CO,2045,CO0490200,Snowmass Village,2826,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2010,Colorado,CO,1979,CO0340200,Southern Ute Tribal,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2010,Colorado,CO,2060,CO0530300,South Fork,386,7,"Cities under 2,500",0,0,0,0,0,0,0
2010,Colorado,CO,1983,CO0348000,Southwest Drug Task Force,0,7,"Cities under 2,500",1,12,0,0,0,1,0
2010,Colorado,CO,1856,CO0050100,Springfield,1451,7,"Cities under 2,500",1,12,1,12,0,1,1
2010,Colorado,CO,2115,COCSP0000,State Patrol,0,8D,"Non-MSA counties under 10,000",1,12,1,12,0,1,1
2010,Colorado,CO,2066,CO0540500,Steamboat Lake State Park,0,7,"Cities under 2,500",0,0,0,0,1,1,1
2010,Colorado,CO,2062,CO0540100,Steamboat Springs,12088,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2010,Colorado,CO,1998,CO0380100,Sterling,14777,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2010,Colorado,CO,1973,CO0320200,Stratton,658,7,"Cities under 2,500",0,0,0,0,0,0,0
2010,Colorado,CO,2077,CO0590000,Summit,15131,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2010,Colorado,CO,2083,CO0600000,Teller,14536,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2010,Colorado,CO,2073,CO0570100,Telluride,2325,7,"Cities under 2,500",1,12,0,0,0,1,0
2010,Colorado,CO,1830,CO0010400,Thornton,118772,2,"Cities from 100,000 thru 249,000",1,12,0,0,0,1,0
2010,Colorado,CO,1991,CO0351000,Timnath,625,7,"Cities under 2,500",1,12,1,12,0,1,1
