"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2016,91693445,82916950,7,,
2016,94156408,85996325,4,,
2016,89422341,84546729,7,,
2016,89423502,84035749,7,,
2016,92474451,87070503,7,,
2016,91864058,87072710,7,,
2016,91864059,87073634,7,,
2016,91864068,87073739,4,,
2016,93087401,84032621,6,,
2016,93545839,85268853,6,,
2016,91254203,84544730,4,,
2016,90032084,84552383,7,,
2016,93087472,84036811,7,,
2016,90032148,87069623,7,,
2016,92474455,87070542,7,,
2016,93087504,84038828,7,,
2016,89422584,87073717,7,,
2016,93086570,87076887,7,,
2016,92475554,85021705,7,,
2016,93086634,82887209,5,,
2016,92475667,85998501,7,,
2016,90644700,82922871,7,,
2016,89422753,82889434,6,,
2016,89423128,84934410,4,,
2016,90032843,84938409,7,,
2016,90644094,87308813,7,,
2016,92475187,87310883,4,,
2016,92475193,87311771,6,,
2016,89422183,85993396,7,,
2016,91863743,85996387,4,,
2016,91254917,85274375,7,,
2016,92475044,84935266,5,,
2016,89423139,84935326,7,,
2016,91864635,84936325,7,,
2016,90032918,82916882,4,,
2016,93087318,83944973,7,,
2016,93087410,84032691,5,,
2016,91864964,84033736,1,,
2016,91254414,87069626,7,,
2016,90032159,87070604,7,,
2016,90033178,84035871,5,,
2016,90033205,84037799,7,,
2016,91864904,82919676,4,,
2016,90491449,84936389,4,,
2016,94137280,86810125,7,,
2016,91255015,84936329,4,,
2016,91255038,84937362,7,,
2016,91255064,84938392,7,,
2016,91255559,85021696,7,,
2016,91254378,84553451,4,,
2016,91254390,84408719,7,,
2016,91254466,87072699,5,,
2016,92474124,85992233,7,,
2016,92475332,84031551,7,,
2016,92475471,84039907,4,,
2016,92475481,84040802,7,,
2016,92475555,85021708,1,,
2016,92474651,82888327,7,,
2016,92474682,82889463,6,,
2016,90031907,85996370,5,,
2016,92475291,83944915,6,,
2016,92475559,85021744,4,,
2016,92474620,82887159,7,,
2016,92474803,85264594,6,,
2016,92475682,82922967,7,0,
2016,92475751,86470339,7,,
2016,92475779,86472345,1,,
2016,92474949,85272266,7,,
2016,92475000,84933276,4,,
2016,92475105,84937326,4,,
2016,92475141,84938403,4,,
2016,92475164,87309782,7,,
2016,93087350,82919684,4,,
2016,93087435,84033787,6,,
2016,93087630,85842104,7,,
2016,89423093,84933341,4,,
2016,90644024,84936274,5,,
2016,93086093,85991192,5,,
2016,93087099,84937331,7,,
2016,90031904,85996354,7,,
2016,93697907,85996406,4,,
2016,93697934,85997461,6,,
2016,93697947,84544728,4,,
2016,90032952,82919075,7,,
2016,90033008,83943870,6,,
2016,89422335,84546695,7,,
2016,91863830,84546721,7,1,
2016,91864875,83945003,6,,
2016,89423422,82919680,5,,
2016,93086348,84551433,7,,
2016,91863920,84552343,7,,
2016,91255344,84031713,7,,
2016,92474422,84408822,5,,0
2016,90033201,84036872,7,,
2016,92925572,84032713,7,,
2016,92474686,82889483,7,,
2016,90644773,86470320,7,,
2016,93086744,84928371,4,,
2016,93086822,85265641,7,,
2016,91254766,85265681,7,1,
2016,93698559,85266692,3,,
2016,91864415,85266768,7,,
2016,92474982,84931367,6,,
2016,89423164,84937277,7,,
2016,93698802,84937334,2,,
2016,93086164,85994362,7,,
2016,93699004,83943995,7,,
2016,90644309,84030502,7,,
2016,93086532,87074781,4,,
2016,91863765,85997466,5,,
2016,91863784,85998427,7,,
2016,91864595,84934394,6,,
2016,91865142,85841224,6,,
2016,91865195,85023627,6,,
2016,91865284,82923002,3,,
2016,91865306,87475115,7,,
2016,91864008,87070593,5,,
2016,91864157,82886033,5,,
2016,91864246,83940694,7,,
2016,91864756,82916839,7,,
2016,91864825,82921265,5,,1
2016,90644505,84040931,7,,
2016,90033284,84041833,7,,
2016,92474570,87075964,7,,
2016,92475545,85842155,7,,
2016,93086615,82886073,7,,
2016,90033355,85021762,7,,
2016,93698379,82888369,7,,
2016,91255658,85027445,4,,
2016,92475665,85998495,7,,
2016,90643708,84928305,4,,
2016,92474748,84928356,7,,
2016,90033477,82923896,7,,
2016,90032502,84930403,7,,
2016,92474799,85264536,4,,
2016,90032529,85264557,5,,
2016,90033536,86471274,7,,
2016,91254832,85269994,4,,
2016,93698657,85272247,7,,
2016,90031992,84546701,7,,
2016,93698005,84547659,4,,
2016,89423478,84033818,7,,
2016,93699184,84037824,7,,
2016,93698171,87070593,7,,
2016,93698223,87073659,7,,
2016,90644572,85842169,4,,
2016,90643503,87075892,6,,
2016,89423686,85024597,7,,
2016,91254552,82885970,7,,
2016,93698337,82886030,7,,
2016,91864162,82886069,6,,
2016,93699398,85025560,7,,
2016,92475672,82922858,4,,
2016,92475680,82922945,7,,
2016,91254622,82888435,7,1,
2016,93699535,86471399,4,,
2016,91864406,85266731,7,,
2016,93086889,85268925,7,,
2016,90032634,85271075,7,0,
2016,90643939,84932315,7,,
2016,89423097,84933358,7,,
2016,93087039,84934291,6,,
2016,93697841,85992380,6,,
2016,89422206,85994389,4,,
2016,89423340,83941739,4,,
2016,89422266,85997441,4,,
2016,89423347,83941805,7,,
2016,90033058,82919686,4,,
2016,93699053,84030591,7,,
2016,90031967,84545640,7,,
2016,90644429,84036829,4,,
2016,89423406,83945984,1,,
2016,89423571,84039947,7,,
2016,89423577,84040864,6,,
2016,89423685,85024578,7,0,
2016,89422405,84550445,7,,
2016,89422529,87070483,7,,
2016,89422582,87073700,5,,
2016,89422741,82888401,7,,
2016,91254573,82886116,7,1,
2016,91254723,84930331,1,,
2016,91254909,85274334,7,,
2016,92474714,85414651,4,,
2016,92474815,85265628,1,,
2016,93536298,85270030,4,,
2016,90643484,87074859,7,,
2016,92322205,85990161,5,,
2016,92303380,82886084,7,,
2016,91864073,87073760,7,,
2016,93698253,87074778,7,,
2016,89422649,87076954,3,,
2016,90033324,85841168,7,,
2016,92474626,82887196,7,,
2016,93698377,82888359,5,,
2016,93086695,83940766,5,,
2016,89423723,85027437,6,,
2016,92475661,85998467,6,,
2016,90032476,84929380,6,,
2016,93698580,85267789,7,,
2016,90643836,85268920,3,,
2016,93086875,85268839,5,,
2016,92475490,84040892,6,,
2016,91254269,84548589,7,,
2016,93699154,84035853,4,,
2016,90643615,82888375,7,,
2016,90644437,84036866,3,,
2016,90644490,84040837,6,,
2016,90644509,84041838,7,,
2016,90644531,85840077,7,,
2016,90644549,85841101,5,,1
2016,90644610,85022702,7,,
2016,90643828,85268840,4,,
2016,90643913,85274329,7,,
2016,90643159,85997358,5,,
2016,90644764,86470261,6,,
2016,90644779,86471305,6,,
2016,90644075,84938391,7,,
2016,90644220,82921231,7,,
2016,92303394,85840025,5,,
2016,90643756,84931234,6,,
2016,91255043,84937394,6,,
2016,91255155,82917996,7,,
2016,91255194,82920193,7,,
2016,91255347,84032649,7,,
2016,91255450,84037893,7,,
2016,91254213,84545651,7,,
2016,91254722,84930305,6,,
2016,91254734,84931258,7,,
2016,91254914,85274363,7,,
2016,93086387,84553347,4,,
2016,93086523,87073791,7,,
2016,92475045,84935268,7,,
2016,91254871,85272194,4,,
2016,93087735,85027397,4,,
2016,92925569,82921295,4,,
2016,93086707,85414671,6,,
2016,93086780,84930273,4,,
2016,93087023,84932398,7,,
2016,93087089,84937288,7,,
2016,93087164,86810133,6,,
2016,93087179,87310761,7,,
2016,93087186,87310811,7,,
2016,93087012,84932312,4,,
2016,93087064,84936260,4,,
2016,91864725,87310789,6,,
2016,93698883,87310869,7,,
2016,90031945,85997459,7,,
2016,89422295,84544774,4,,
2016,90644198,82919103,4,,
2016,94819591,88885490,7,,
2016,94819596,88885503,7,,
2016,94819955,88885883,1,,
2016,94820011,88885964,3,,
2016,94820025,88885964,5,,
2016,94820016,88885964,7,,
2016,94820345,88886278,1,,
2016,94820455,88886403,7,,
2016,94820562,88886518,4,,
2016,92925568,87309770,7,,
2016,89422880,85263545,7,,
2016,89423172,84937345,7,,
2016,89423283,82917952,6,,
2016,89422128,85990302,4,,
2016,89422154,85992257,7,,
2016,89422351,84547611,5,,
2016,89422478,84553409,4,,
2016,89423758,82922941,7,,
2016,89423797,87476026,7,,
2016,89422704,82887197,6,,
2016,90644032,84936344,6,,
2016,91255170,82919023,7,,
2016,89422260,85997377,4,,
2016,91864885,83945974,4,,
2016,90644356,84032696,7,,
2016,93545832,84408793,5,,
2016,94156429,82921170,4,,
2016,91102245,84032643,7,,
2016,90491464,84040791,6,,
2016,90481838,85023637,6,,
2016,94127884,85272168,4,,
2016,89862213,85415629,7,0,
2016,92322204,85989291,4,,
2016,90491459,83946082,7,,
2016,91102230,84408761,6,,
2016,91102240,84934348,7,,
