"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2016,7125042,95,1,2016,"U",,"N","F","C","2016_01_AL0030100_NIBRS",,0
2016,7147826,95,2,2016,"U",,"N","F","C","2016_02_AL0030100_NIBRS",,0
2016,7170610,95,3,2016,"U",,"N","F","C","2016_03_AL0030100_NIBRS",,0
2016,7193394,95,4,2016,"U",,"N","F","C","2016_04_AL0030100_NIBRS",,0
2016,7216178,95,5,2016,"U",,"N","F","C","2016_05_AL0030100_NIBRS",,0
2016,7238962,95,6,2016,"U",,"N","F","C","2016_06_AL0030100_NIBRS",,0
2016,7261746,95,7,2016,"U",,"N","F","C","2016_07_AL0030100_NIBRS",,0
2016,7284530,95,8,2016,"U",,"N","F","C","2016_08_AL0030100_NIBRS",,0
2016,7307314,95,9,2016,"U",,"N","F","C","2016_09_AL0030100_NIBRS",,0
2016,7330098,95,10,2016,"U",,"N","F","C","2016_10_AL0030100_NIBRS",,0
2016,7352882,95,11,2016,"U",,"N","F","C","2016_11_AL0030100_NIBRS",,0
2016,7375666,95,12,2016,"U",,"N","F","C","2016_12_AL0030100_NIBRS",,0
2016,7125300,353,1,2016,"U",,"N","F","C","2016_01_AL0470100_NIBRS",,0
2016,7148084,353,2,2016,"U",,"N","F","C","2016_02_AL0470100_NIBRS",,0
2016,7170868,353,3,2016,"U",,"N","F","C","2016_03_AL0470100_NIBRS",,0
2016,7193652,353,4,2016,"U",,"N","F","C","2016_04_AL0470100_NIBRS",,0
2016,7216436,353,5,2016,"U",,"N","F","C","2016_05_AL0470100_NIBRS",,0
2016,7239220,353,6,2016,"U",,"N","F","C","2016_06_AL0470100_NIBRS",,0
2016,7262004,353,7,2016,"U",,"N","F","C","2016_07_AL0470100_NIBRS",,0
2016,7284788,353,8,2016,"U",,"N","F","C","2016_08_AL0470100_NIBRS",,0
2016,7307572,353,9,2016,"U",,"N","F","C","2016_09_AL0470100_NIBRS",,0
2016,7330356,353,10,2016,"U",,"N","F","C","2016_10_AL0470100_NIBRS",,0
2016,7353140,353,11,2016,"U",,"N","F","C","2016_11_AL0470100_NIBRS",,0
2016,7375924,353,12,2016,"U",,"N","F","C","2016_12_AL0470100_NIBRS",,0
2016,7124998,51,1,2016,"U",,"N","F","C","2016_01_AL0010200_NIBRS",,0
2016,7147782,51,2,2016,"U",,"N","F","C","2016_02_AL0010200_NIBRS",,0
2016,7170566,51,3,2016,"U",,"N","F","C","2016_03_AL0010200_NIBRS",,0
2016,7193350,51,4,2016,"U",,"N","F","C","2016_04_AL0010200_NIBRS",,0
2016,7216134,51,5,2016,"U",,"N","F","C","2016_05_AL0010200_NIBRS",,0
2016,7238918,51,6,2016,"U",,"N","F","C","2016_06_AL0010200_NIBRS",,0
2016,7261702,51,7,2016,"U",,"N","F","C","2016_07_AL0010200_NIBRS",,0
2016,7284486,51,8,2016,"U",,"N","F","C","2016_08_AL0010200_NIBRS",,0
2016,7307270,51,9,2016,"U",,"N","F","C","2016_09_AL0010200_NIBRS",,0
2016,7330054,51,10,2016,"U",,"N","F","C","2016_10_AL0010200_NIBRS",,0
2016,7352838,51,11,2016,"U",,"N","F","C","2016_11_AL0010200_NIBRS",,0
2016,7375622,51,12,2016,"U",,"N","F","C","2016_12_AL0010200_NIBRS",,0
2016,7125412,465,1,2016,"U",,"N","F","C","2016_01_AL0630000_NIBRS",,0
2016,7148196,465,2,2016,"U",,"N","F","C","2016_02_AL0630000_NIBRS",,0
