"DATA_YEAR","VICTIM_ID","INJURY_ID"
2016,90297897,6
2016,90298535,3
2016,90298353,3
2016,90298447,3
2016,90298841,2
2016,90298892,3
2016,90299583,6
2016,90299537,6
2016,90299698,3
2016,90299949,2
2016,90300367,2
2016,90300251,6
2016,90300448,3
2016,90300496,6
2016,90300590,3
2016,96543535,5
2016,96543545,5
2016,96543533,4
2016,98809726,4
2016,99851490,4
2016,96543543,4
2016,97704430,5
2016,96250370,5
2016,96250373,5
2016,96250376,5
2016,97063065,5
2016,96543531,5
2016,96543552,5
2016,96250369,5
2016,96250375,4
2016,96543549,4
2016,90298535,4
2016,98463790,4
2016,90299537,3
2016,96543548,5
2016,96543539,5
2016,96543532,5
2016,96543541,5
2016,90297678,5
2016,90297680,5
2016,90297695,5
2016,90297698,5
2016,90297701,5
2016,90297702,5
2016,90297704,5
2016,90297708,5
2016,90297710,5
2016,90297711,5
2016,90297712,5
2016,90297713,5
2016,90297714,5
2016,90297715,5
2016,90297724,5
2016,90297731,5
2016,90297751,5
2016,90297761,5
2016,90297782,5
2016,90297785,5
2016,90297803,5
2016,90297582,5
2016,90297583,5
2016,90297597,5
2016,90297626,5
2016,90297630,5
2016,90297634,5
2016,90297652,5
2016,90297655,5
2016,90297656,5
2016,90297657,5
2016,90297664,5
2016,90297666,5
2016,90297669,5
2016,90298070,5
2016,90298083,5
2016,90298086,5
2016,90298087,5
2016,90298103,5
2016,90298108,5
2016,90298110,5
2016,90298122,5
2016,90298131,5
2016,90298137,5
2016,90298139,5
2016,90298144,5
2016,90298158,5
2016,90298168,5
2016,90298171,5
2016,90298172,5
2016,90298183,5
2016,90298192,5
2016,90298202,5
2016,90298204,5
2016,90298205,5
2016,90298214,5
2016,90297824,5
2016,90297827,5
2016,90297829,5
2016,90297891,5
2016,90297893,5
2016,90297915,5
2016,90297935,5
2016,90297940,5
2016,90297954,5
2016,90297983,5
2016,90297987,5
2016,90297989,5
2016,90297990,5
2016,90297999,5
2016,90298011,5
2016,90298018,5
2016,90298022,5
2016,90298023,5
2016,90298027,5
2016,90298036,5
2016,90298040,5
2016,90298041,5
2016,90298045,5
2016,90298049,5
2016,90298050,5
2016,90298065,5
2016,90298521,5
2016,90298533,5
2016,90298218,5
2016,90298221,5
2016,90298228,5
2016,90298236,5
2016,90298241,5
2016,90298245,5
2016,90298247,5
2016,90298254,5
2016,90298258,5
2016,90298271,5
2016,90298272,5
2016,90298277,5
2016,90298293,5
2016,90298299,5
2016,90298304,5
2016,90298307,5
2016,90298315,5
2016,90298317,5
2016,90298318,5
2016,90298322,5
2016,90298325,5
2016,90298332,5
2016,90298334,5
2016,90298340,5
2016,90298345,5
2016,90298354,5
2016,90298360,5
2016,90298376,5
2016,90298406,5
2016,90298427,5
2016,90298438,5
2016,90298445,5
2016,90298452,5
2016,90298460,5
2016,90298475,5
2016,90298482,5
2016,90298495,5
2016,90298496,5
2016,90298509,5
2016,90298805,5
2016,90298806,5
2016,90298813,5
2016,90298815,5
2016,90298820,5
2016,90298826,5
2016,90298832,5
2016,90298838,5
2016,90298849,5
2016,90298857,5
2016,90298874,5
2016,90298875,5
2016,90298876,5
2016,90298880,5
2016,90298898,5
2016,90298911,5
2016,90298924,5
2016,90298925,5
2016,90298941,5
2016,90298572,5
2016,90298573,5
2016,90298582,5
2016,90298586,5
2016,90298591,5
2016,90298595,5
2016,90298633,5
2016,90298652,5
2016,90298656,5
2016,90298667,5
2016,90298690,5
2016,90298691,5
2016,90298704,5
2016,90298712,5
2016,90298717,5
2016,90298745,5
2016,90298761,5
2016,90298774,5
2016,90298777,5
2016,90298788,5
2016,90298791,5
2016,90298792,5
2016,90298796,5
2016,90299247,5
2016,90299261,5
2016,90299262,5
2016,90299269,5
2016,90299279,5
2016,90299280,5
2016,90299284,5
2016,90299285,5
2016,90298952,5
2016,90298955,5
2016,90298960,5
2016,90298963,5
2016,90298965,5
2016,90298968,5
2016,90298996,5
2016,90299000,5
2016,90299008,5
2016,90299011,5
2016,90299012,5
2016,90299021,5
2016,90299029,5
2016,90299036,5
2016,90299042,5
2016,90299044,5
2016,90299046,5
2016,90299048,5
2016,90299052,5
2016,90299058,5
2016,90299062,5
2016,90299065,5
2016,90299070,5
2016,90299074,5
2016,90299075,5
2016,90299077,5
2016,90299078,5
2016,90299079,5
2016,90299094,5
2016,90299104,5
2016,90299115,5
2016,90299131,5
2016,90299149,5
2016,90299151,5
2016,90299152,5
2016,90299160,5
2016,90299163,5
2016,90299175,5
2016,90299181,5
2016,90299209,5
2016,90299211,5
2016,90299212,5
2016,90299219,5
2016,90299222,5
2016,90299227,5
2016,90299231,5
2016,90299233,5
2016,90299238,5
2016,90299243,5
2016,90299246,5
2016,90299542,5
2016,90299543,5
2016,90299565,5
2016,90299566,5
2016,90299578,5
2016,90299579,5
2016,90299590,5
2016,90299592,5
2016,90299598,5
2016,90299604,5
2016,90299615,5
2016,90299617,5
2016,90299621,5
2016,90299622,5
2016,90299656,5
2016,90299657,5
2016,90299659,5
2016,90299670,5
2016,90299677,5
2016,90299300,5
2016,90299324,5
2016,90299325,5
2016,90299327,5
2016,90299332,5
2016,90299346,5
2016,90299349,5
2016,90299363,5
2016,90299368,5
2016,90299372,5
2016,90299380,5
2016,90299392,5
2016,90299396,5
2016,90299410,5
2016,90299420,5
2016,90299421,5
2016,90299429,5
2016,90299431,5
2016,90299433,5
2016,90299436,5
2016,90299449,5
2016,90299450,5
2016,90299476,5
2016,90299477,5
2016,90299481,5
2016,90299488,5
2016,90299492,5
2016,90299505,5
2016,90299516,5
2016,90299520,5
2016,90299539,5
2016,90300002,5
2016,90300004,5
