suspect_using_id,offense_id
4,7192507
4,7192426
4,7192427
4,7192428
4,7192429
4,7192430
4,7192431
4,7192432
4,7192433
4,7192434
4,7192435
4,7192436
4,7192437
4,7192438
4,7192439
4,7192448
4,7192449
4,7192440
4,7192441
4,7192442
3,7192443
3,7192444
4,7192445
4,7192446
4,7192451
4,7192447
4,7192450
4,7192452
3,7192453
3,7192454
1,7192454
4,7192455
1,7192456
4,7192457
4,7192464
4,7192458
3,7192459
4,7192460
3,7192461
4,7192462
4,7192463
4,7192465
4,7192470
4,7192466
4,7192467
4,7192468
4,7192469
4,7192471
1,7192472
4,7192473
3,7192474
4,7192475
4,7192476
4,7192477
4,7192478
4,7192479
4,7192480
4,7192481
4,7192482
4,7192483
4,7192484
4,7192485
4,7192486
4,7192487
4,7192488
4,7192489
4,7192490
4,7192491
4,7192492
4,7192493
4,7192494
4,7192495
4,7192496
4,7192497
4,7192498
4,7192499
4,7192500
4,7192501
4,7192502
4,7192503
4,7192504
4,7192505
4,7192506
3,7192508
3,7192509
4,7192510
1,7192511
4,7192512
4,7192513
4,7192514
4,7192518
4,7192519
4,7192520
1,7192521
4,7192522
4,7192523
4,7192537
4,7192524
4,7192525
4,7192526
4,7192527
4,7192531
4,7192532
4,7192515
3,7192516
3,7192517
4,7192528
4,7192529
4,7192530
4,7192533
4,7192534
3,7192535
3,7192536
4,7192538
4,7192540
4,7192541
4,7192539
4,7192542
4,7192543
4,7192544
4,7192545
4,7192546
4,7192547
4,7192548
4,7192562
4,7192563
4,7192591
4,7192560
4,7192561
4,7192564
4,7192565
1,7192566
4,7192567
4,7192568
4,7192569
4,7192570
4,7192571
4,7192572
4,7192573
1,7192574
4,7192575
4,7192576
4,7192577
4,7192578
4,7192579
4,7192580
4,7192581
4,7192582
4,7192583
4,7192584
1,7192585
1,7192586
4,7192587
4,7192588
1,7192589
1,7192590
4,7192592
4,7192593
4,7192594
4,7192595
4,7192596
4,7192597
4,7192598
4,7192599
3,7192600
4,7192601
3,7192602
4,7192603
4,7192604
4,7192605
4,7192606
4,7192607
4,7192608
4,7192609
4,7192610
4,7192611
4,7192612
1,7192613
1,7192614
1,7192615
1,7192616
4,7192617
1,7192618
3,7192619
4,7192620
1,7192621
4,7192622
4,7192623
4,7192549
4,7192624
4,7192625
4,7192626
4,7192627
4,7192628
4,7192629
4,7192630
4,7192631
4,7192632
4,7192633
4,7192634
4,7192635
4,7192636
4,7192637
4,7192638
4,7192639
4,7192640
4,7192641
4,7192642
4,7192643
4,7192644
4,7192648
4,7192550
4,7192551
4,7192645
4,7192646
4,7192647
4,7192649
4,7192650
4,7192651
4,7192652
1,7192653
1,7192654
4,7192655
1,7192656
4,7192657
4,7192658
4,7192659
4,7192552
4,7192553
4,7192554
4,7192660
4,7192661
4,7192662
4,7192663
4,7192664
4,7192555
3,7192556
4,7192557
1,7192558
4,7192559
4,7192665
4,7192666
1,7192667
4,7192668
1,7192669
4,7192670
4,7192671
4,7192672
4,7192673
4,7192674
4,7192675
3,7192676
3,7192677
4,7192678
4,7192679
4,7192680
1,7192681
