"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2017,22,112968080
2017,21,112967863
2017,21,112967713
2017,21,112967717
2017,21,112967705
2017,22,110182902
2017,21,110182948
2017,22,112967810
2017,21,112967832
2017,22,110182747
2017,22,110182746
2017,21,114339434
2017,21,114339444
2017,22,113521082
2017,21,111348152
2017,21,111347797
2017,22,111347899
2017,22,111347890
2017,21,111349031
2017,21,111349120
2017,21,112477594
2017,21,112477602
2017,22,111347972
2017,21,111347432
2017,22,111347734
2017,21,111347884
2017,22,111348243
2017,21,111347325
2017,21,111347240
2017,21,111347239
2017,21,111347326
2017,21,111347612
2017,21,111347241
2017,21,111347204
2017,21,111347203
2017,21,111347233
2017,21,111347281
2017,22,111348275
2017,21,111348407
2017,21,111347313
2017,21,111348571
2017,21,111348786
2017,21,111348175
2017,21,111348185
2017,21,111348198
2017,21,111348785
2017,21,111348857
2017,21,111349012
2017,21,111349091
2017,21,111349158
2017,22,111349038
2017,21,111347184
2017,21,111347052
2017,21,111347076
2017,21,111347146
2017,21,111347342
2017,21,111347463
2017,21,111348400
2017,21,111348599
2017,21,111347256
2017,21,111347283
2017,21,111347282
2017,21,111347261
2017,22,111347305
2017,21,111347444
2017,21,111347531
2017,22,111347725
2017,21,111347918
2017,21,111348858
2017,21,111348864
2017,21,111348970
2017,21,111349021
2017,22,111347312
2017,21,111347611
2017,21,111348383
2017,22,111348486
2017,22,111347971
2017,22,111348596
2017,22,111347348
2017,21,111347020
2017,22,111347251
2017,21,111347324
2017,22,111347346
2017,21,111347430
2017,21,111347967
2017,21,111348192
2017,22,111348573
2017,21,111348720
2017,21,111348773
2017,2,111348954
2017,21,111347333
2017,21,111347148
2017,21,111347152
2017,21,111347317
2017,21,111347335
2017,21,111347502
2017,22,111347620
2017,21,111347672
2017,21,111347064
2017,21,111347071
2017,21,111347072
2017,21,111347153
2017,21,111347005
2017,22,111347070
2017,22,111347254
2017,21,111347334
2017,21,111347681
2017,21,111347679
2017,21,111347965
2017,21,111347717
2017,21,111346968
2017,21,111347541
2017,21,111346974
2017,22,111347297
2017,22,111347385
2017,21,111347805
2017,21,111348397
2017,22,111348782
2017,22,111347074
2017,22,111347156
2017,21,111348865
2017,21,111348870
2017,22,111347188
2017,21,111347191
2017,21,111347196
2017,22,111347207
2017,21,111347242
2017,21,111347248
2017,21,111347249
2017,21,111347315
2017,22,111347341
2017,21,111347337
2017,21,111347338
2017,21,111347714
2017,21,111347806
2017,21,111347813
2017,21,111347898
2017,21,111348399
2017,21,111348238
2017,21,111348408
2017,21,111348670
2017,22,111348831
2017,22,111348921
2017,21,111348507
2017,21,111348674
2017,22,111348873
2017,21,111348949
2017,1,111349162
2017,22,111348540
2017,21,111347200
2017,22,111347255
2017,22,111348535
2017,22,111348876
2017,22,111347344
2017,21,111347211
2017,21,111347210
2017,21,111347264
2017,21,111347446
2017,21,111347452
2017,21,111347838
2017,22,111348379
2017,22,111348409
2017,21,111348532
2017,21,111346971
2017,21,111346976
2017,22,111347209
2017,21,111347244
2017,22,111347245
2017,21,111347259
2017,21,111347260
2017,21,111347284
2017,21,111347285
2017,21,111347287
2017,21,111347437
2017,21,111348684
2017,21,111348731
2017,21,111348943
2017,21,111347784
2017,21,111348522
2017,21,111348384
2017,22,111348412
2017,22,111348755
2017,21,111348760
2017,21,111348523
2017,21,111348529
2017,22,111347250
2017,21,111347316
2017,22,111347331
2017,21,110701350
2017,21,111347314
2017,21,111347257
2017,21,111347182
2017,21,111347175
2017,22,111347194
2017,21,111347258
2017,21,111347286
2017,21,111347330
2017,22,111347973
2017,21,111348020
2017,21,111348388
2017,22,111349037
2017,21,111349167
2017,21,111348403
2017,21,111348524
2017,22,111348574
2017,21,111348702
2017,21,111348919
2017,21,111349007
2017,21,111347193
2017,22,111348009
2017,22,111348724
2017,21,111349107
2017,21,111347321
2017,21,111347319
2017,21,111347885
2017,21,111348151
2017,22,111348410
2017,22,111348411
2017,21,111348527
2017,21,111348860
2017,21,111349030
2017,21,111348183
2017,21,111348287
2017,21,111348955
2017,21,111348957
2017,22,111349039
2017,21,111348176
2017,22,111348533
2017,22,111348836
2017,21,111348878
2017,21,111349041
2017,22,111346975
2017,21,110701327
2017,21,112473694
2017,21,112474097
2017,21,112474045
2017,21,110701376
2017,21,110701348
2017,22,110701462
2017,22,110701463
2017,21,110701416
2017,21,110701454
2017,21,110701456
2017,21,112474832
2017,21,110701471
2017,21,110701484
2017,21,110701490
2017,21,110701563
2017,21,112475258
2017,21,112967808
2017,21,112967716
2017,22,110182964
2017,22,110182965
2017,22,112967812
2017,21,110182780
2017,21,110182648
2017,21,110182714
2017,21,110182742
2017,21,110182759
2017,21,110182610
2017,21,110182773
2017,21,110182790
2017,22,110182808
2017,21,110182783
2017,21,110182811
2017,21,110182813
2017,22,110182817
2017,21,110182816
2017,21,110182822
2017,21,110182821
2017,21,110182843
2017,22,110182844
2017,21,110182862
2017,21,110182886
2017,21,110182810
2017,21,110182879
2017,22,110182889
2017,21,110182891
2017,21,110182894
2017,21,110182609
2017,21,110182583
2017,21,110182585
2017,21,110182750
2017,21,110182706
2017,21,110182741
2017,21,110182785
2017,21,110182732
2017,21,110182738
2017,21,110182754
2017,21,110182794
2017,21,110182830
2017,21,110182895
2017,21,110182837
2017,22,110182842
2017,22,110182846
2017,21,110182921
2017,22,110182925
2017,21,110182953
2017,21,110182957
2017,21,110182958
2017,22,110182988
2017,21,110182788
2017,1,110182789
2017,22,110182647
2017,22,110182832
2017,21,110182861
2017,21,110182905
2017,21,118240324
2017,21,110183032
2017,21,110182906
2017,22,110182950
2017,21,110182751
2017,21,110182582
2017,21,110182636
2017,21,110182712
2017,22,110182756
2017,21,110182778
2017,21,110182786
2017,21,110182815
2017,22,110182824
2017,21,110182827
2017,21,110182867
2017,21,110182804
2017,22,110182612
2017,21,110182649
2017,21,110182777
2017,22,110182854
2017,21,110182907
2017,21,110182912
2017,22,110182938
2017,21,110183024
2017,21,110183025
2017,22,110182877
2017,22,110182878
2017,21,110182903
2017,21,110182955
2017,21,110182975
2017,22,110182880
2017,21,110182713
2017,21,110182763
2017,21,110182870
2017,21,110182752
2017,21,110182909
2017,21,112968484
2017,21,112968483
2017,21,112968343
2017,21,112968477
2017,21,110182967
2017,21,110182765
2017,21,110182896
2017,21,110182966
2017,22,110182819
2017,22,110182757
2017,21,110182779
2017,22,110182802
2017,21,110182931
2017,21,110182814
2017,22,110182740
2017,22,110182770
2017,22,110182835
2017,22,110182838
