suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
1,19001695,0.1,1,1045434
1,19001723,1.6,1,1045448
8,19001730,1.8,1,1045449
8,19001743,15.4,1,1045450
5,19002691,0,,1045451
5,19002692,1,1,1045452
5,19002698,8,1,1045453
5,19002713,29,1,1045454
5,19104244,1.4,1,1049697
2,19101832,0.015,1,1049701
5,19101836,1,3,1049702
5,19101855,3,1,1049703
5,19101871,6.5,1,1049704
5,19101889,3.1,1,1049705
5,19101899,1.1,1,1049706
9,19105193,3.5,1,1049710
5,19105201,5.5,3,1049711
2,19105206,1,1,1049712
5,19101956,2.5,1,1049716
2,19101957,1.6,1,1049717
5,19104417,14,1,1049731
1,19104427,1,1,1049732
5,19104467,6.2,1,1049733
1,19104530,1.5,1,1049744
5,19103456,11,3,1049753
1,19104572,0.3,1,1049754
5,19104579,16.9,1,1049755
5,19104580,3,1,1049756
5,19104581,0.6,1,1049757
16,19104584,4,9,1049758
5,19104606,5,1,1049759
5,19104608,0.4,1,1049760
1,19103476,6.4,1,1049767
5,19103484,2,3,1049768
5,19103485,4.3,1,1049769
5,19103496,3,1,1049770
5,19103502,16.8,1,1049771
1,19104668,0.8,1,1049772
5,19104672,4.4,1,1049773
5,19101184,5,1,1049775
2,19101213,0.04,1,1049780
5,19101217,4,3,1049781
5,19101218,1,11,1049782
5,19101221,6.5,1,1049783
5,19102523,0.01,1,1049801
5,19105147,2,1,1049822
5,19105155,1.5,1,1049823
5,19104115,15.5,1,1049838
5,19104116,2,1,1049839
2,19104117,0.8,1,1049840
5,19104118,19.3,1,1049841
12,19104146,2.4,1,1049842
2,19104154,1.5,1,1049843
2,19099412,0.7,1,1049857
5,19099419,23.5,1,1049858
1,19099422,1.9,1,1049859
2,19099441,0.26,1,1049860
5,19099446,1,11,1049861
16,19099470,43,9,1049862
5,19099473,13.7,1,1049863
15,19099476,4,9,1049864
12,19099534,1,1,1049876
5,19099542,1,1,1049877
12,19099553,9.3,1,1049878
16,19099562,14.4,1,1049883
5,19099575,8.1,1,1049884
5,19099595,7.8,1,1049885
12,19098512,1,1,1049897
5,19098521,2,3,1049898
5,19098565,28.5,1,1049908
5,19098566,0.1,1,1049909
5,19098567,8,1,1049910
1,19098592,0.61,1,1049911
5,19098601,1.9,3,1049912
1,19098602,1.7,1,1049913
12,19096139,0.5,1,1049920
5,19098665,54,1,1049923
5,19096182,6.8,3,1049925
1,19096189,1,1,1049926
5,19096190,1,1,1049927
16,19096192,20,9,1049928
12,19096194,16,1,1049929
5,19096208,0.5,1,1049930
5,19096228,1.9,3,1049931
11,19096249,0.5,1,1049939
8,19096251,39,9,1049940
13,19098792,5,5,1049942
5,19098809,16,1,1049943
12,19098810,22,1,1049944
2,19098811,0.5,1,1049945
5,19154485,2.7,1,1054224
5,19154550,0.303,3,1054239
5,19154564,0.03,3,1054240
2,19154566,1.6,1,1054241
1,19158171,0.3,1,1054259
5,19158210,0.36,3,1054260
5,19153564,0.176,3,1054284
2,19170444,1,1,1054307
5,19170561,0.099,3,1054323
5,19169420,0.096,3,1054336
16,19169429,40,9,1054337
5,19169430,0.079,3,1054338
2,19169432,0.75,1,1054339
14,19170591,8.5,9,1054340
10,19170592,176,9,1054341
4,19169451,0.092,3,1054349
5,19169476,0.053,3,1054350
5,19169480,0.05,3,1054351
5,19169481,0.05,3,1054352
16,19169485,11,9,1054353
5,19170662,0.065,3,1054354
9,19169538,5.19,1,1054361
1,19169545,14.7,1,1054362
12,19172091,1.33,1,1054384
9,19172092,1,9,1054385
5,19172116,0.25,3,1054386
13,19172123,0.072,3,1054387
5,19169684,0.24,3,1054391
5,19169717,0.05,3,1054392
5,19172130,0.32,3,1054396
12,19172135,0.51,1,1054397
5,19172156,0.203,3,1054398
5,19172174,0.003,3,1054399
5,19169750,5.6,1,1054407
5,19169753,0.3,1,1054408
1,19169756,0.75,1,1054409
5,19169809,4.2,1,1054410
1,19169810,3.1,1,1054411
14,19169906,6,9,1054436
12,19169909,5,9,1054437
5,19169916,0.26,3,1054438
5,19169918,0.03,3,1054439
5,19168868,0.345,3,1054450
11,19168894,5,9,1054451
5,19168900,0.217,3,1054452
2,19168910,1.64,1,1054468
5,19168933,0.23,3,1054469
12,19168934,1.5,1,1054470
15,19168950,4,9,1054471
5,19000640,1.8,1,1045486
