agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
7332,LA0470100,LA0470100,Lutcher Police Department,Lutcher,1,City,,,3847,Lutcher,22,LA,1172,St James,22093,A,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,LA,1960,,2016,,,3366,6,"Cities from 2,500 thru 9,999",L,Y,N,0,0,6,,,,2016,3,0,70071,30.02482,-90.793956
7412,LALSP0000,LALSP0000,State Police,State Police,4,State Police,,,,,22,LA,3426,,,A,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,LA,1960,,2016,,,0,8D,"Non-MSA counties under 10,000",L,N,N,0,0,0,,,,2013,1164,558,70806,30.544002,-91.093174
7257,LA0280400,LA0280400,Duson Police Department,Duson,1,City,,,3791,Duson,22,LA,1154,Lafayette,22055,A,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,LA,1995,,2016,2014,2005,1781,7,"Cities under 2,500",L,Y,N,0,0,0,7253,LA0280000,Lafayette,2004,5,0,70529,30.206507,-92.06417
7219,LA0200300,LA0200300,Ville Platte Police Department,Ville Platte,1,City,,,3914,Ville Platte,22,LA,1145,Evangeline,22039,A,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,LA,1960,,2016,,,7255,6,"Cities from 2,500 thru 9,999",L,N,N,12,0,4,,,,2016,31,15,70586,30.720693,-92.404086
7283,LA0340000,LA0340000,Morehouse County Sheriff's Office,Morehouse,2,County,,,,,22,LA,1159,Morehouse,22067,A,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,LA,1960,,2016,2013,,15676,8C,"Non-MSA counties from 10,000 thru 24,999",L,N,N,8,8,9,,,,2016,48,96,71220,32.820008,-91.800399
7139,LA0010300,LA0010300,Church Point Police Department,Church Point,1,City,,,3774,Church Point,22,LA,1126,Acadia,22001,A,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,LA,1960,,2016,,,4531,6,"Cities from 2,500 thru 9,999",L,Y,N,5,0,3,,,,2011,15,0,70525,30.291497,-92.411037
7296,LA0361700,LA0361700,"Louisiana State University: Health Sciences Center, New Orleans","Louisiana State University: Health Sciences Center, New Orleans",3,University or College,,327,,,22,LA,1161,Orleans,22071,A,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,LA,1994,,2016,,,0,7,"Cities under 2,500",L,Y,N,12,0,9,,,,2016,32,0,70112,30.067468,-89.927212
7262,LA0290100,LA0290100,Golden Meadow Police Department,Golden Meadow,1,City,,,3807,Golden Meadow,22,LA,1155,Lafourche,22057,A,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,LA,1960,,2016,,,2070,7,"Cities under 2,500",L,Y,N,12,0,9,,,,2016,3,2,70357,29.491992,-90.394849
7143,LA0020100,LA0020100,Kinder Police Department,Kinder,1,City,,,3836,Kinder,22,LA,1127,Allen,22003,A,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,LA,1979,,2016,,,2446,7,"Cities under 2,500",L,N,N,12,0,8,,,,2016,11,5,70648,30.652744,-92.819605
7165,LA0080000,LA0080000,Bossier County Sheriff's Office,Bossier,2,County,,,,,22,LA,1133,Bossier,22015,A,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,LA,1960,,2016,2013,2016,51903,9B,"MSA counties from 25,000 thru 99,999",L,Y,N,12,12,10,,,,2016,328,75,71006,32.696225,-93.618086
7270,LA0310100,LA0310100,Dubach Police Department,Dubach,1,City,,,3790,Dubach,22,LA,1156,Lincoln,22061,A,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,LA,1975,,2016,2014,2012,981,7,"Cities under 2,500",L,N,N,0,0,0,7269,LA0310000,Lincoln,2004,2,0,71235,32.601823,-92.662303
7169,LA0080600,LA0080600,Louisiana State University: Shreveport,Louisiana State University: Shreveport,3,University or College,,329,,,22,LA,1133,Bossier,22015,A,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,LA,1995,,2016,,,0,7,"Cities under 2,500",L,Y,N,12,0,8,,,,2016,7,1,71115,32.696225,-93.618086
7343,LA0491100,LA0491100,Palmetto Police Department,Palmetto,1,City,,,3878,Palmetto,22,LA,1174,St Landry,22097,A,23370,LAUCR0001,Louisiana Commission on Law Enforcement LUCR/LIBRS/LEMIS,LA,2006,,2016,2014,2013,163,7,"Cities under 2,500",L,N,N,0,0,0,7335,LA0490000,St. Landry,,,,71358,30.583441,-91.989274
