bias_id,offense_id
21,52657493
21,52659745
21,52658197
21,52654719
21,52666698
21,52654720
21,52657457
21,52654721
21,52658198
21,52658521
21,52658522
21,52657458
21,52659746
21,52658523
21,52658524
21,52658966
21,52658525
21,52666699
21,52657459
21,52657460
21,52657908
21,52658526
21,52666700
21,52666701
21,52657909
21,52657910
21,52657911
21,52658967
21,52654722
21,52659747
21,52659748
21,52666702
21,52654723
21,52659749
21,52658968
21,52658969
21,52658970
21,52654724
21,52657461
21,52657462
21,52657912
21,52657913
21,52666703
21,52657914
21,52659750
21,52659751
21,52654725
21,52658527
21,52658528
21,52657915
21,52658529
21,52658530
21,52658531
21,52666704
21,52666705
21,52658532
21,52657916
21,52658533
21,52654726
21,52654727
21,52657917
21,52659752
21,52666706
21,52657918
21,52657919
21,52657463
21,52658534
21,52657920
21,52657921
21,52657922
21,52657464
21,52658971
21,52657465
21,52657466
21,52667473
21,52667474
21,52659753
21,52659754
21,52657467
21,52657468
21,52658972
21,52658973
21,52658535
21,52658536
21,52659755
21,52665305
21,52667791
21,52665263
21,52662283
21,52662284
21,52662285
21,52662286
21,52665264
21,52665265
21,52665266
21,52665267
21,52666418
21,52668242
21,52668243
21,52673736
21,52662287
21,52667763
21,52667764
21,52668244
21,52667765
21,52667766
21,52668245
21,52668246
21,52665268
21,52666419
21,52668247
21,52668248
21,52662288
21,52673737
21,52664449
21,52666420
21,52666421
21,52668360
21,52682838
21,52698914
21,52698775
21,52659772
21,52659773
21,52659774
21,52659775
21,52659001
21,52659002
21,52659003
21,52657494
21,52657495
21,52667503
21,52659004
21,52659776
21,52659777
21,52659778
21,52659779
21,52667504
21,52667505
21,52667506
21,52659780
21,52658552
21,52657939
21,52659781
21,52667507
21,52654753
21,52658553
21,52658554
21,52658555
21,52658556
21,52654754
21,52654755
21,52657940
21,52659782
21,52659783
21,52654756
21,52659784
21,52658557
21,52657496
21,52669119
21,52674572
21,52666094
21,52664482
21,52667220
21,52662316
21,52673769
21,52662321
21,52668297
21,52667229
21,52667230
21,52667231
21,52667232
21,52667803
21,52667235
21,52667236
21,52667767
21,52665269
21,52666422
21,52662289
21,52664450
21,52662290
21,52662291
21,52667768
21,52668249
21,52666423
21,52666424
21,52665270
21,52665271
21,52664451
21,52662292
21,52664452
21,52665272
21,52665273
21,52665274
21,52666425
21,52666426
21,52668250
21,52665275
21,52665276
21,52668251
21,52662293
21,52668252
21,52667769
21,52673738
21,52664453
21,52664454
21,52662294
21,52662295
21,52665277
21,52662296
21,52668253
21,52668254
21,52673739
21,52666427
21,52666428
21,52668255
21,52667770
21,52664455
21,52662297
21,52662298
21,52662299
21,52673740
21,52665278
21,52665279
21,52666429
21,52667771
21,52668256
21,52664456
21,52664457
21,52667772
21,52668257
21,52668258
21,52665280
21,52667773
21,52673741
21,52667774
21,52664458
21,52673742
21,52662300
21,52665281
21,52665282
2,52666430
21,52673743
21,52668259
21,52668260
21,52666431
21,52668261
21,52680038
21,56417437
21,56417438
21,52667451
21,52667452
21,52673716
21,52673717
21,52673718
21,52665249
21,52665250
21,52662264
21,52662265
21,52666387
21,52662266
21,52667453
21,52662267
21,52662268
21,52667454
21,52666388
21,52666389
21,52662269
21,52664422
21,52664423
21,52664424
21,52673719
21,52666390
21,52666391
21,52667741
21,52664425
21,52666392
21,52665251
21,52673720
21,52664426
21,52673721
21,52664427
21,52664428
21,52667455
21,52666393
21,52666394
21,52667742
21,52667456
21,52665252
21,52667457
21,52667458
21,52667743
21,52667744
21,52662270
21,52673722
21,52662271
21,52667745
21,52667746
21,52709885
21,52709851
21,52709852
21,52704128
21,52704129
21,52667573
21,52659366
21,52657537
21,52657538
21,52659367
21,52661437
21,52663606
21,52663607
21,52657539
21,52661438
21,52659368
21,52659369
21,52659370
21,52663610
21,52657899
21,52657900
21,52667747
21,52673723
21,52662272
21,52666395
21,52666396
21,52666397
21,52667748
21,52673724
21,52673725
21,52667459
21,52667460
21,52664430
21,52664431
21,52662273
21,52662274
21,52667461
21,52667462
21,52667749
21,52667463
21,52664432
21,52662275
21,52666398
21,52666399
21,52667464
21,52667750
21,52662276
21,52662277
21,52666400
21,52667465
21,52667751
21,52667466
21,52667467
21,52664433
21,52662278
21,52662279
21,52667752
21,52667753
21,52667754
21,52667755
21,52664434
21,52666401
21,52666402
21,52666403
21,52673726
21,52673727
21,52667756
21,52673728
21,52673729
21,52667468
21,52667469
21,52667470
21,52666404
21,52666405
21,52666406
21,52664435
21,52664436
21,52664437
21,52667471
21,52667472
21,52665253
21,52666407
21,52665254
21,52665255
21,52664438
21,52667574
21,52665181
21,52665182
21,52657540
21,52657541
21,52657542
21,52666901
21,52661439
21,52666902
21,52666903
21,52657543
21,52668262
21,52662301
21,52665283
21,52666432
21,52674050
21,52673777
21,52667243
21,52666433
21,52668263
21,52662302
21,52664459
21,52665284
21,52662303
21,52662304
21,52665285
21,52665286
21,52668264
21,52665287
21,52673744
21,52665288
21,52665289
21,52668265
21,52665290
21,52666434
21,52665291
21,52662305
21,52664460
21,52665292
21,52662306
21,52668266
21,52668267
21,52664461
21,52665293
21,52665294
