year,state_name,state_abbr,agency_id,agency_ori,agency_name,agency_population,population_group_code,population_group,reported,months_reported,nibrs_reported,nibrs_months_reported,covered,participated,nibrs_participated
2003,Arkansas,AR,767,AR0710100,Fairfield Bay,2480,7,"Cities under 2,500",1,12,1,12,0,1,1
2003,Arkansas,AR,774,AR0720500,Farmington,4004,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2003,Arkansas,AR,590,AR0230000,Faulkner,36643,9B,"MSA counties from 25,000 thru 99,999",1,12,0,0,0,1,0
2003,Arkansas,AR,770,AR0720100,Fayetteville,61082,3,"Cities from 50,000 thru 99,000",1,12,0,4,0,1,0
2003,Arkansas,AR,671,AR0450300,Flippin,1378,7,"Cities under 2,500",1,12,1,12,0,1,1
2003,Arkansas,AR,582,AR0200100,Fordyce,4587,6,"Cities from 2,500 thru 9,999",0,5,0,5,0,0,0
2003,Arkansas,AR,740,AR0620100,Forrest City,14582,5,"Cities from 10,000 thru 24,999",1,12,1,12,0,1,1
2003,Arkansas,AR,749,AR0660100,Fort Smith,81989,3,"Cities from 50,000 thru 99,000",1,12,1,12,0,1,1
2003,Arkansas,AR,597,AR0240000,Franklin,11445,9C,"MSA counties from 10,000 thru 24,999",0,0,0,0,0,0,0
2003,Arkansas,AR,600,AR0250000,Fulton,10779,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2003,Arkansas,AR,603,AR0260000,Garland,53215,9B,"MSA counties from 25,000 thru 99,999",0,0,0,0,0,0,0
2003,Arkansas,AR,508,AR0030300,Gassville,1851,7,"Cities under 2,500",0,0,0,0,1,1,1
2003,Arkansas,AR,515,AR0040500,Gentry,2395,7,"Cities under 2,500",0,0,0,0,1,1,0
2003,Arkansas,AR,500,AR0010300,Gillett,810,7,"Cities under 2,500",0,0,0,0,1,1,1
2003,Arkansas,AR,679,AR0470700,Gosnell,3900,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2003,Arkansas,AR,650,AR0400100,Gould,1254,7,"Cities under 2,500",0,0,0,0,1,0,0
2003,Arkansas,AR,652,AR0400300,Grady,500,7,"Cities under 2,500",0,0,0,0,1,0,0
2003,Arkansas,AR,606,AR0270000,Grant,12843,9C,"MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2003,Arkansas,AR,517,AR0040700,Gravette,2016,7,"Cities under 2,500",0,0,0,3,1,1,0
2003,Arkansas,AR,592,AR0230200,Greenbrier,3216,6,"Cities from 2,500 thru 9,999",1,12,0,0,0,1,0
2003,Arkansas,AR,608,AR0280000,Greene,15518,8C,"Non-MSA counties from 10,000 thru 24,999",1,12,1,12,0,1,1
2003,Arkansas,AR,537,AR0080300,Green Forest,2826,6,"Cities from 2,500 thru 9,999",0,0,0,0,0,0,0
2003,Arkansas,AR,776,AR0720700,Greenland,941,7,"Cities under 2,500",1,12,1,12,0,1,1
2003,Arkansas,AR,750,AR0660200,Greenwood,7458,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2003,Arkansas,AR,544,AR0100200,Gurdon,2270,7,"Cities under 2,500",1,12,0,6,0,1,0
2003,Arkansas,AR,503,AR0020200,Hamburg,2963,6,"Cities from 2,500 thru 9,999",1,12,1,12,0,1,1
2003,Arkansas,AR,533,AR0070100,Hampton,1558,7,"Cities under 2,500",0,0,0,0,1,1,1
2003,Arkansas,AR,709,AR0560300,Harrisburg,2187,7,"Cities under 2,500",1,12,1,12,0,1,1
