"DATA_YEAR","SUSPECT_USING_ID","OFFENSE_ID"
2016,4,109981095
2016,3,109981354
2016,4,109981520
2016,4,109981773
2016,4,109982132
2016,2,109982853
2016,4,109982909
2016,4,109982927
2016,4,109982953
2016,4,109983185
2016,4,109983302
2016,4,109983312
2016,4,109983314
2016,4,109983354
2016,4,109983361
2016,4,109983481
2016,4,109983529
2016,4,109983565
2016,4,110413517
2016,3,110413518
2016,4,110414912
2016,4,110415042
2016,4,110415231
2016,4,110415861
2016,3,110416181
2016,3,110416193
2016,3,110416191
2016,3,110416192
2016,4,110416567
2016,4,110416620
2016,4,110416896
2016,3,110417271
2016,3,110417272
2016,4,110417278
2016,4,110417470
2016,4,110417607
2016,4,110417646
2016,4,110417684
2016,4,110417970
2016,4,110417967
2016,4,110417975
2016,4,110418005
2016,4,110418010
2016,4,110419435
2016,4,110419438
2016,4,110419680
2016,4,110420312
2016,4,110420334
2016,4,110420340
2016,4,110421331
2016,4,110421413
2016,4,109974319
2016,4,109974356
2016,4,109974656
2016,4,109974934
2016,4,109975021
2016,4,109975041
2016,4,109975073
2016,4,109975422
2016,4,109975498
2016,4,109975514
2016,4,109975916
2016,4,109976177
2016,4,109976577
2016,1,109976423
2016,4,109976858
2016,4,109977608
2016,4,109981079
2016,4,109981459
2016,1,109982148
2016,4,109982896
2016,4,109982900
2016,4,109982901
2016,4,109982922
2016,4,109983330
2016,4,109983557
2016,4,109983558
2016,4,110434550
2016,4,110434628
2016,4,110434840
2016,4,110434858
2016,4,110435259
2016,4,110435725
2016,4,110435891
2016,3,110436979
2016,4,110436982
2016,4,110439463
2016,4,110440529
2016,4,110440523
2016,4,110440562
2016,4,110440584
2016,4,110440724
2016,4,110440793
2016,4,110440796
2016,3,107927436
2016,3,107927449
2016,3,107927456
2016,3,107927458
2016,3,107927463
2016,3,107927469
2016,3,107927479
2016,3,107925278
2016,3,107925279
2016,3,107925298
2016,3,107925299
2016,3,107927499
2016,3,107927507
2016,3,107925416
2016,3,107925425
2016,3,107925435
2016,3,107925452
2016,3,107749413
2016,3,107749415
2016,3,107749419
2016,3,107749445
2016,3,107749446
2016,3,107749447
2016,3,107749450
2016,3,107749452
2016,3,107749457
2016,3,107750513
2016,3,107750514
2016,3,107750519
2016,3,107750520
2016,3,107750525
2016,3,107750526
2016,3,107750542
2016,3,107750543
2016,3,107750547
2016,3,107750564
2016,3,107750568
2016,3,107750569
2016,3,107750573
2016,3,107750574
2016,3,107750577
2016,3,107750582
2016,3,107751566
2016,3,107751568
2016,3,107751593
2016,3,107751594
2016,3,107751608
2016,3,107752617
2016,3,107752637
2016,3,107752651
2016,3,107753727
2016,3,107754816
2016,3,107754835
2016,3,107758162
2016,3,107758163
2016,3,107758168
2016,3,107758169
