"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2017,108483593,96110781,1,5,48,"M",1,,48,0
2017,108483622,96110801,0,,,"",,,,
2017,108483724,96110899,2,5,28,"M",1,,28,0
2017,108483723,96110899,1,5,37,"M",1,,37,0
2017,108483783,96110952,1,5,26,"M",1,,26,0
2017,108483858,96111022,0,,,"",,,,
2017,108483895,96111054,2,5,75,"M",1,,75,0
2017,108483894,96111054,1,5,34,"F",1,,34,0
2017,108483927,96111084,1,5,48,"F",1,,48,0
2017,108483947,96111105,1,5,37,"F",1,,37,0
2017,108483979,96111138,0,,,"",,,,
2017,108484038,96111198,0,,,"",,,,
2017,108484080,96111231,1,5,52,"M",1,,52,0
2017,108484085,96111240,1,5,16,"F",1,,16,0
2017,108484093,96111245,1,5,20,"F",1,,20,0
2017,108484095,96111252,0,,,"",,,,
2017,108484303,96111425,1,5,36,"M",1,,36,0
2017,108484305,96111425,2,5,35,"F",1,,35,0
2017,108484361,96111476,0,,,"",,,,
2017,108484433,96111549,1,5,18,"M",1,,18,0
2017,108484471,96111581,1,5,36,"M",1,,36,0
2017,108484482,96111590,1,5,56,"M",1,,56,0
2017,108484513,96111620,0,,,"",,,,
2017,108484563,96111671,0,,,"",,,,
2017,108484574,96111677,0,,,"",,,,
2017,108484582,96111681,0,,,"",,,,
2017,108484605,96111707,1,5,40,"M",2,,40,0
2017,108484688,96111785,1,5,26,"F",1,,26,0
2017,108484707,96111801,1,5,35,"F",1,,35,0
2017,108484750,96111843,1,5,18,"F",1,,18,0
2017,108484786,96111873,1,5,40,"M",1,,40,0
2017,108484843,96111926,1,5,22,"F",1,,22,0
2017,107760308,95484732,1,5,19,"M",2,,19,0
2017,107760484,95484886,1,5,34,"M",1,,34,0
2017,107760517,95484912,1,5,13,"F",1,,13,0
2017,107760701,95485109,0,,,"",,,,
2017,107760803,95485226,1,5,29,"M",1,,29,0
2017,107760895,95485284,1,5,52,"M",1,,52,0
2017,107760953,95485347,1,5,24,"F",1,,18,30
2017,107761003,95485393,1,5,25,"M",1,,25,0
2017,107761224,95485595,1,5,27,"M",2,,27,0
2017,107761429,95485788,0,,,"",,,,
2017,107761501,95485853,1,5,30,"F",1,,30,0
2017,107761555,95485907,0,,,"",,,,
2017,107761624,95485963,0,,,"",,,,
2017,107761881,95486207,0,,,"",,,,
2017,107761968,95486274,1,5,39,"F",1,,39,0
2017,107762035,95486342,1,5,36,"M",0,,36,0
2017,107762293,95486585,1,5,31,"F",2,,31,0
2017,107762426,95486712,0,,,"",,,,
2017,107762536,95486809,1,5,34,"M",1,,34,0
2017,107762570,95486839,0,,,"",,,,
2017,109064966,96615170,1,5,17,"F",1,,17,0
2017,109065018,96615216,1,5,35,"M",1,,35,0
2017,109065055,96615254,0,,,"",,,,
2017,109065077,96615274,1,5,37,"M",4,,37,0
2017,109065135,96615325,1,5,33,"F",1,,33,0
2017,109065220,96615415,0,,,"",,,,
2017,109065287,96615473,1,5,35,"F",1,,35,0
2017,109065420,96615573,0,,,"",,,,
2017,109065524,96615660,1,5,35,"F",1,,35,0
2017,109065660,96615791,1,5,22,"F",1,,22,0
2017,109065676,96615824,1,5,16,"M",1,,16,0
2017,109065734,96615859,0,,,"",,,,
2017,109065821,96615934,1,5,53,"F",1,,53,0
2017,109065929,96616014,0,,,"",,,,
2017,109066205,96616227,1,5,44,"F",1,,44,0
2017,109066256,96616271,1,5,67,"F",1,,67,0
2017,109066341,96616343,1,5,30,"M",1,,30,0
2017,109066658,96616590,0,,,"",,,,
2017,109066739,96616665,1,5,31,"F",1,,31,0
2017,109066808,96616721,1,5,25,"M",2,,25,0
2017,109066903,96616797,0,,,"",,,,
2017,109066973,96616864,0,,,"",,,,
2017,109067050,96616927,1,5,49,"M",1,,49,0
2017,109067086,96616959,1,4,,"M",1,,,
2017,109067172,96617024,1,5,53,"M",1,,53,0
2017,109067211,96617069,0,,,"",,,,
2017,109067273,96617108,2,5,14,"M",1,,14,0
2017,109067277,96617108,3,5,14,"M",1,,14,0
2017,109067268,96617108,1,5,14,"M",1,,14,0
2017,109067384,96617211,0,,,"",,,,
2017,109067637,96617445,1,5,19,"M",1,,19,0
2017,109067800,96617579,0,,,"",,,,
2017,109067846,96617626,1,5,18,"M",1,,18,0
2017,109068006,96617748,1,5,27,"F",1,,27,0
2017,109068273,96617986,0,,,"",,,,
2017,109068345,96618053,1,5,15,"M",1,,15,0
2017,109068382,96618089,1,5,40,"M",1,,40,0
2017,109068536,96618246,1,5,14,"M",1,,14,0
2017,109068694,96618384,1,5,35,"M",1,,35,0
2017,109068757,96618437,0,,,"",,,,
2017,109068786,96618467,0,,,"",,,,
2017,109068851,96618517,1,5,10,"M",1,,10,0
2017,109068937,96618591,0,,,"",,,,
2017,109069038,96618689,0,,,"",,,,
2017,109069111,96618751,1,5,51,"M",1,,51,0
2017,109069164,96618798,0,,,"",,,,
2017,109069413,96619040,0,,,"",,,,
2017,108483672,96110853,1,5,24,"M",1,,24,0
2017,108483722,96110891,0,,,"",,,,
2017,108483738,96110912,0,,,"",,,,
2017,108483782,96110950,1,5,57,"F",1,,57,0
2017,108483846,96111013,1,4,,"M",0,,,
2017,108483850,96111020,1,5,40,"M",1,,40,0
2017,108483911,96111072,1,5,47,"F",1,,47,0
2017,108483934,96111093,0,,,"",,,,
2017,108483988,96111147,0,,,"",,,,
2017,108484011,96111169,0,,,"",,,,
2017,108484068,96111222,1,5,30,"M",1,,30,0
2017,108484146,96111284,0,,,"",,,,
2017,108484172,96111309,0,,,"",,,,
2017,108484246,96111373,1,4,,"M",1,,,
2017,108484280,96111398,0,,,"",,,,
2017,108484291,96111411,1,5,22,"M",1,,22,0
2017,108484313,96111431,1,5,19,"M",1,,19,0
2017,108484314,96111431,2,5,39,"M",1,,39,0
2017,108484331,96111444,1,5,25,"M",1,,25,0
2017,108484338,96111458,0,,,"",,,,
2017,108484375,96111488,1,5,47,"M",1,,47,0
2017,108484476,96111584,1,5,28,"F",1,,28,0
2017,108484486,96111599,1,5,74,"M",1,,74,0
2017,108484491,96111603,1,5,28,"M",1,,28,0
2017,108484493,96111603,2,5,31,"M",1,,31,0
2017,108484508,96111616,2,5,23,"F",1,,23,0
2017,108484507,96111616,1,5,28,"M",2,,28,0
2017,108484511,96111618,0,,,"",,,,
2017,108484516,96111623,1,5,19,"F",1,,19,0
2017,108484522,96111626,1,5,26,"M",1,,26,0
2017,108484587,96111690,0,,,"",,,,
2017,108484625,96111731,1,5,17,"F",1,,17,0
2017,108484640,96111743,1,5,20,"M",1,,20,0
2017,108484645,96111750,1,5,33,"F",1,,33,0
2017,108484665,96111765,1,5,24,"M",1,,24,0
2017,108484678,96111771,1,5,52,"F",1,,52,0
2017,108484699,96111793,1,5,67,"M",1,,67,0
2017,108484714,96111808,1,5,50,"F",1,,50,0
2017,108484740,96111833,1,5,29,"M",1,,29,0
2017,107760340,95484754,1,5,49,"M",1,,49,0
2017,107760401,95484814,0,,,"",,,,
2017,107760490,95484909,0,,,"",,,,
2017,107760580,95485004,2,5,13,"F",2,,13,0
2017,107760582,95485004,3,5,13,"M",2,,13,0
2017,107760573,95485004,1,5,14,"M",2,,14,0
2017,107760739,95485139,1,5,29,"M",1,,29,0
2017,107760796,95485193,1,5,12,"F",1,,12,0
2017,107760852,95485242,0,,,"",,,,
2017,107760959,95485348,1,5,48,"M",1,,48,0
2017,107761054,95485439,1,5,22,"M",2,,22,0
2017,107761092,95485475,0,,,"",,,,
2017,107761167,95485545,0,,,"",,,,
2017,107761241,95485615,0,,,"",,,,
2017,107761270,95485646,1,5,55,"M",1,,55,0
2017,107761439,95485795,1,5,49,"M",1,,49,0
2017,107761459,95485812,0,,,"",,,,
2017,107761550,95485894,0,,,"",,,,
2017,107761576,95485911,0,,,"",,,,
