"DATA_YEAR","BIAS_ID","OFFENSE_ID"
2016,21,111819450
2016,21,111819449
2016,21,110184458
2016,21,110184456
2016,21,110184479
2016,21,110184464
2016,21,110184507
2016,21,110184506
2016,21,110184516
2016,21,110184555
2016,21,110184583
2016,21,110184595
2016,21,110184617
2016,21,110184675
2016,21,110184699
2016,21,110184697
2016,21,110184791
2016,21,110184793
2016,21,110184920
2016,21,110185144
2016,21,110185279
2016,21,110185657
2016,21,110184532
2016,21,110184529
2016,22,110184596
2016,21,110184622
2016,21,110184657
2016,21,110184754
2016,21,110184915
2016,21,110184917
2016,21,110185042
2016,21,110185033
2016,21,110185128
2016,21,110185130
2016,21,110184462
2016,21,110184549
2016,21,110184603
2016,21,110184604
2016,21,110184650
2016,21,110184691
2016,21,110184698
2016,21,110184700
2016,21,110184768
2016,21,110184890
2016,21,110184903
2016,21,110185175
2016,21,110185177
2016,21,110184455
2016,21,110184454
2016,21,110184487
2016,21,110184519
2016,21,110184573
2016,21,110184600
2016,21,110184601
2016,21,110184628
2016,21,110184635
2016,21,110184636
2016,21,110184660
2016,21,110184673
2016,21,110184687
2016,21,110184902
2016,21,110184899
2016,21,110184943
2016,21,110185209
2016,21,110185225
2016,21,110185223
2016,21,110703370
2016,21,110703418
2016,21,110703443
2016,21,110703665
2016,21,110703662
2016,21,110703783
2016,21,110703924
2016,21,110704309
2016,21,110704722
2016,21,110704721
2016,21,110704794
2016,21,110184490
2016,21,110184489
2016,21,110184518
2016,21,110184517
2016,21,110184548
2016,21,110184575
2016,21,110184598
2016,21,110184651
2016,21,110184662
2016,22,110184671
2016,21,110184743
2016,21,110184787
2016,21,110185185
2016,21,110185203
2016,21,110185198
2016,21,110185242
2016,21,110185263
2016,21,110185348
2016,21,110184482
2016,21,110184531
2016,21,110184527
2016,21,110184551
2016,21,110184557
2016,21,110184623
2016,21,110184630
2016,21,110184776
2016,21,110184777
2016,21,110185030
2016,21,110185031
2016,21,110185134
2016,21,110185131
2016,21,110185217
2016,21,110185254
2016,21,110185259
2016,21,110185297
2016,21,110185294
2016,21,110703473
2016,21,110703482
2016,21,110703742
2016,21,110703831
2016,21,110704824
2016,21,110704839
2016,21,110704840
2016,21,110704982
2016,21,110704983
2016,21,110703356
2016,21,110703363
2016,21,110703377
2016,22,110703558
2016,21,110703580
2016,21,110703581
2016,21,110703585
2016,21,110703577
2016,21,110703738
2016,21,110704190
2016,21,110704195
2016,21,110704510
2016,21,110704529
2016,21,110704531
2016,21,110703340
2016,21,110703562
2016,21,110703563
2016,21,110703593
2016,21,110703623
2016,22,110703695
2016,21,110703799
2016,21,110704358
2016,21,110704366
2016,21,110704377
2016,21,110704428
2016,21,110704429
2016,21,110704489
2016,21,110705006
2016,21,111347551
2016,21,111347554
2016,21,111347546
2016,21,110703332
2016,21,110703419
2016,21,110703449
2016,21,110703508
2016,21,110703544
2016,21,110703547
2016,21,110703568
2016,21,110703668
2016,21,110703659
2016,21,110703685
2016,21,110703707
2016,21,110703741
2016,21,110703737
2016,21,110704397
2016,21,110704484
2016,21,110704543
2016,21,110704732
2016,21,110704733
2016,21,110704796
2016,21,110704795
2016,21,110705007
2016,21,110703351
2016,21,110703481
2016,21,110703647
2016,21,110703679
2016,22,110703690
2016,21,110703747
2016,21,110703746
2016,21,110703797
2016,21,110703836
2016,21,110703837
2016,22,110703896
2016,21,110703912
2016,21,110704199
2016,21,110704198
2016,21,110704183
2016,21,110704261
2016,21,110704264
2016,21,110704356
2016,21,110704354
2016,21,110704478
2016,21,110704643
2016,21,110704644
2016,21,110704685
2016,21,110704717
2016,21,111348729
2016,21,110703628
2016,21,110703670
2016,21,110703785
2016,21,110703784
2016,21,110703835
2016,21,110704194
2016,21,111347509
2016,21,111347506
2016,21,111348622
2016,21,111348697
2016,21,111348699
2016,21,111819397
2016,21,111819396
2016,21,111819439
2016,21,111819437
2016,21,111819440
2016,21,111819441
2016,21,111819470
2016,21,111819468
2016,21,110703348
2016,21,110703545
2016,21,110704209
2016,21,110704213
2016,21,110704207
2016,21,110704260
2016,21,110704351
2016,21,110704384
2016,21,110704388
2016,21,110704612
2016,21,110704611
2016,21,110704646
2016,21,110704768
2016,21,110704899
2016,21,110705068
2016,21,111819430
2016,21,111819425
2016,21,111818920
2016,21,111819434
2016,21,111819453
2016,21,111819456
2016,21,111348591
2016,21,111348609
2016,21,111348608
