"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2018,12,133808186,24702229
2018,18,133816850,24707766
2018,6,133803132,24707821
2018,12,133809266,24707970
2018,2,133717872,24682466
2018,12,133717875,24682468
2018,12,133723183,24678488
2018,2,133723197,24678490
2018,12,133713402,24676121
2018,18,133717935,24678504
2018,18,133723274,24676135
2018,10,133713498,24682521
2018,3,133718044,24676150
2018,12,133713508,24676153
2018,9,133718073,24678543
2018,12,133713547,24682540
2018,9,133723426,24676167
2018,12,133713582,24678567
2018,21,133713615,24676185
2018,18,133713668,24676201
2018,12,133713721,24676211
2018,12,133723712,24678631
2018,9,133718340,24682654
2018,12,133713787,24682662
2018,12,133718394,24676249
2018,12,133723873,24676254
2018,12,133723889,24682698
2018,2,133713859,24676263
2018,2,133713863,24678673
2018,21,133723942,24678672
2018,12,133723952,24676265
2018,12,133723967,24676269
2018,11,133713901,24676287
2018,18,133713933,24676294
2018,17,133718518,24676295
2018,12,133724047,24682748
2018,9,133713969,24676310
2018,18,133724091,24682762
2018,12,133724131,24678722
2018,18,133714055,24676329
2018,12,133724210,24676328
2018,12,133718674,24676344
2018,12,133718679,24678761
2018,3,133714115,24678769
2018,12,133724352,24682847
2018,16,133718746,24682848
2018,12,133724372,24676366
2018,12,133724394,24682859
2018,20,133718787,24678794
2018,12,133724546,24682911
2018,20,133724612,24678836
2018,18,133714301,24676415
2018,18,133714306,24682945
2018,10,133724634,24678840
2018,20,133724741,24676451
2018,3,133719042,24678869
2018,10,133719050,24676459
2018,12,133719070,24676463
2018,12,133719088,24678886
2018,11,133724839,24683001
2018,12,133724920,24683021
2018,12,133719164,24678902
2018,18,133719323,24683100
2018,18,133714661,24678935
2018,20,133725250,24683109
2018,18,133714684,24683111
2018,9,133719394,24683162
2018,3,133725420,24678958
2018,9,133725420,24678959
2018,18,133714997,24683260
2018,2,133725810,24683264
2018,12,133726009,24683291
2018,12,133726087,24683319
2018,12,133726110,24676641
2018,18,133715065,24676654
2018,12,133726188,24683355
2018,12,133715091,24676669
2018,12,133726239,24679101
2018,20,133715526,24686787
2018,20,133715534,24679175
2018,20,133726776,24683494
2018,20,133726823,24686802
2018,12,133726844,24683508
2018,12,133726921,24686810
2018,18,133720326,24679213
2018,12,133720370,24679224
2018,20,133727118,24683550
2018,20,133727140,24686838
2018,12,133715762,24683551
2018,20,133720576,24679267
2018,10,133720578,24679268
2018,10,133720575,24679266
2018,20,133715900,24683602
2018,18,133720615,24686889
2018,3,133715974,24683624
2018,3,133720663,24679305
2018,19,133731145,24679331
2018,9,133727628,24683694
2018,12,133720774,24683697
2018,19,133731185,24686975
2018,19,133720832,24679352
2018,19,133720836,24683731
2018,12,133727748,24683736
2018,12,133727824,24687010
2018,12,133727869,24683776
2018,12,133731317,24687026
2018,12,133727950,24679394
2018,3,133727987,24683816
2018,12,133731401,24679403
2018,18,133721106,24683876
2018,18,133728240,24683875
2018,12,133728240,24683874
2018,20,133731545,24679445
2018,12,133736222,24683920
2018,12,133736236,24679469
2018,12,133728501,24683933
2018,12,133731766,24683952
2018,19,133728624,24687145
2018,20,133732159,24684062
2018,12,133736698,24684065
2018,20,133732226,24684080
2018,18,133736824,24679603
2018,20,133732282,24687238
2018,12,133729368,24684095
2018,12,133732311,24687244
2018,12,133729402,24684103
2018,20,133736886,24679616
2018,20,133732352,24687259
2018,12,133729482,24684122
2018,12,133732426,24684129
2018,12,133736980,24679632
2018,18,133732459,24687283
2018,20,133732563,24687314
2018,12,133737244,24684235
2018,12,133737270,24684247
2018,12,133737300,24679702
2018,2,133730120,24684288
2018,12,133732974,24679742
2018,12,133732990,24687379
2018,12,133730411,24684327
2018,6,133730596,24684372
2018,12,133737811,24687444
2018,12,133733235,24687447
2018,12,133737827,24684389
2018,12,133730656,24684394
2018,12,133733280,24679820
2018,12,133733308,24684412
2018,11,133733325,24687469
2018,3,133730730,24687470
2018,12,133737932,24679837
2018,10,133737959,24687486
2018,12,133730768,24684436
2018,12,133730799,24684447
2018,12,133730827,24684459
2018,12,133738000,24687508
2018,12,133733503,24687532
2018,12,133738106,24679887
2018,12,133733524,24687537
2018,10,133733546,24687541
2018,10,133738213,24687576
2018,12,133738305,24687607
2018,11,133738329,24687616
2018,12,133741230,24684594
2018,12,133741232,24684595
2018,9,133733874,24687646
2018,12,133738458,24684632
2018,12,133733938,24684656
2018,12,133741459,24687692
2018,12,133734028,24687710
2018,2,133738600,24684707
2018,12,133738610,24687741
2018,10,133741635,24684721
2018,12,133738643,24680068
2018,2,133738650,24687759
2018,12,133741717,24684765
2018,12,133738862,24684777
2018,10,133738878,24680149
2018,12,133738879,24684786
2018,12,133738884,24684792
2018,9,133738912,24680168
2018,20,133741870,24684819
2018,12,133741914,24684832
2018,12,133741920,24680188
2018,3,133741934,24687777
2018,12,133742239,24684903
2018,12,133742247,24684906
2018,12,133739219,24680254
2018,12,133742271,24687845
2018,12,133742287,24687848
2018,12,133742296,24684917
2018,11,133734474,24680262
2018,12,133734606,24684961
2018,18,133739347,24680283
2018,12,133742505,24684971
2018,12,133742534,24684976
2018,4,133739413,24680303
2018,12,133742575,24684982
2018,12,133734746,24687915
2018,12,133734784,24685002
2018,20,133743374,24680373
2018,12,133735180,24680393
2018,12,133743504,24685175
2018,12,133739896,24680399
2018,12,133739958,24680410
2018,12,133743690,24685235
2018,20,133743731,24685248
2018,12,133740014,24685268
2018,20,133740047,24680429
2018,12,133744086,24685344
2018,18,133712158,24675632
2018,12,133721570,24678023
2018,12,133721599,24675669
2018,12,133712275,24675676
2018,20,133712282,24675678
2018,19,133721621,24681881
2018,12,133721632,24681885
2018,12,133721692,24675696
2018,11,133716843,24678069
2018,18,133712376,24678074
2018,9,133721733,24675709
2018,20,133716879,24678079
2018,20,133721757,24675717
2018,12,133721759,24675718
2018,18,133716917,24681945
2018,12,133712437,24681948
2018,12,133721791,24675726
2018,12,133721827,24675736
2018,20,133712495,24675751
2018,12,133721921,24681987
2018,10,133721933,24678118
2018,12,133721939,24681990
2018,12,133721954,24678124
2018,12,133712634,24682019
2018,12,133717100,24675792
2018,12,133712649,24675794
2018,20,133722111,24682035
2018,12,133722120,24682037
2018,20,133722132,24675801
2018,21,133712674,24678163
2018,12,133717151,24678164
2018,12,133722146,24675807
2018,19,133712690,24675810
2018,12,133722167,24682058
2018,20,133717191,24678186
2018,12,133717188,24678184
2018,12,133717199,24678191
