agency_id,ori,legacy_ori,agency_name,short_name,agency_type_id,agency_type_name,tribe_id,campus_id,city_id,city_name,state_id,state_abbr,primary_county_id,primary_county,primary_county_fips,agency_status,submitting_agency_id,submitting_sai,submitting_name,submitting_state_abbr,start_year,dormant_year,current_year,revised_rape_start,current_nibrs_start_year,population,population_group_code,population_group_desc,population_source_flag,suburban_area_flag,core_city_flag,months_reported,nibrs_months_reported,past_10_years_reported,covered_by_id,covered_by_ori,covered_by_name,staffing_year,total_officers,total_civilians,icpsr_zip,icpsr_lat,icpsr_lng
1934,CO0230200,CO0230200,Parachute Police Department,Parachute,1,City,,,1170,Parachute,7,CO,278,Garfield,08045,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1979,,2016,2013,2016,1103,7,"Cities under 2,500",L,N,N,12,12,10,,,,2016,4,1,81635,39.599352,-107.90978
1975,CO0330000,CO0330000,Lake County Sheriff's Office,Lake,2,County,,,,,7,CO,289,Lake,08065,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,4811,8D,"Non-MSA counties under 10,000",L,N,N,12,12,9,,,,2016,12,15,80461,39.205341,-106.350079
2009,CO0410000,CO0410000,Moffat County Sheriff's Office,Moffat,2,County,,,,,7,CO,296,Moffat,08081,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,4068,8D,"Non-MSA counties under 10,000",L,N,N,12,12,10,,,,2016,34,3,81625,40.573984,-108.204521
1994,CO0370000,CO0370000,Lincoln County Sheriff's Office,Lincoln,2,County,,,,,7,CO,292,Lincoln,08073,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,2921,8D,"Non-MSA counties under 10,000",L,N,N,12,12,8,,,,2016,21,1,80821,38.99374,-103.507555
1985,CO0350100,CO0350100,Berthoud Police Department,Berthoud,1,City,,,1038,Berthoud,7,CO,290,Larimer,08069,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1973,,2016,2013,2011,5989,6,"Cities from 2,500 thru 9,999",L,Y,N,0,0,6,1984,CO0350000,Larimer,2013,7,1,80513,40.663091,-105.482131
1906,CO0180500,CO0180500,Parker Police Department,Parker,1,City,,,1171,Parker,7,CO,273,Douglas,08035,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1984,,2016,2013,2016,51017,3,"Cities from 50,000 thru 99,000",L,N,N,12,12,10,,,,2016,72,41,80134,39.326435,-104.926199
2051,CO0510100,CO0510100,Pueblo Police Department,Pueblo,1,City,,,1175,Pueblo,7,CO,306,Pueblo,08101,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,108810,2,"Cities from 100,000 thru 249,000",L,N,Y,12,12,10,,,,2016,195,55,81003,38.170658,-104.489892
1826,CO0010000,CO0010000,Adams County Sheriff's Office,Adams,2,County,,,,,7,CO,255,Adams,08001,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,100266,9A,"MSA counties 100,000 or over",L,Y,N,12,12,10,,,,2016,355,185,80601,39.874325,-104.331872
1961,CO0300300,CO0300300,Edgewater Police Department,Edgewater,1,City,,,1078,Edgewater,7,CO,285,Jefferson,08059,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,5321,6,"Cities from 2,500 thru 9,999",L,Y,N,12,12,8,,,,2016,17,1,80214,39.576572,-105.251249
1899,CO0160200,CO0160200,Auraria Higher Education Center,Auraria Higher Education Center,3,University or College,,37,,,7,CO,271,Denver,08031,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1984,,2016,2013,,0,7,"Cities under 2,500",L,Y,N,7,8,9,,,,2016,27,18,80204,39.76185,-104.880641
2058,CO0530100,CO0530100,Monte Vista Police Department,Monte Vista,1,City,,,1150,Monte Vista,7,CO,308,Rio Grande,08105,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,4275,6,"Cities from 2,500 thru 9,999",L,N,N,12,12,10,,,,2016,14,3,81144,37.485763,-106.453214
2092,CO0620200,CO0620200,Greeley Police Department,Greeley,1,City,,,1106,Greeley,7,CO,317,Weld,08123,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,99993,3,"Cities from 50,000 thru 99,000",L,N,Y,12,12,10,,,,2016,145,51,80634,40.555794,-104.383649
1834,CO0010800,CO0010800,Federal Heights Police Department,Federal Heights,1,City,,,1068,Denver,7,CO,255,Adams,08001,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1974,,2016,2013,2016,12351,5,"Cities from 10,000 thru 24,999",L,Y,N,12,12,10,,,,2016,24,12,80260,39.874325,-104.331872
1861,CO0060100,CO0060100,Las Animas Police Department,Las Animas,1,City,,,1133,Las Animas,7,CO,260,Bent,08011,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2014,2016,2147,7,"Cities under 2,500",L,N,N,0,0,3,1860,CO0060000,Bent,2011,5,1,81054,37.931891,-103.077584
1993,CO0360100,CO0360100,Trinidad Police Department,Trinidad,1,City,,,1199,Trinidad,7,CO,291,Las Animas,08071,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,7995,6,"Cities from 2,500 thru 9,999",L,N,N,12,12,8,,,,2016,22,9,81082,37.318831,-104.04411
2046,CO0500000,CO0500000,Prowers County Sheriff's Office,Prowers,2,County,,,,,7,CO,305,Prowers,08099,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,4424,8D,"Non-MSA counties under 10,000",L,N,N,12,12,10,,,,2016,10,20,81052,37.958181,-102.392161
1949,CO0260000,CO0260000,Gunnison County Sheriff's Office,Gunnison,2,County,,,,,7,CO,281,Gunnison,08051,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,7515,8D,"Non-MSA counties under 10,000",L,N,N,12,12,10,,,,2016,13,18,81230,38.669679,-107.078108
2098,CO0620800,CO0620800,Dacono Police Department,Dacono,1,City,,,1064,Dacono,7,CO,317,Weld,08123,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1976,,2016,2013,2016,4640,6,"Cities from 2,500 thru 9,999",L,Y,N,12,12,10,,,,2016,10,3,80514,40.555794,-104.383649
2040,CO0480000,CO0480000,Phillips County Sheriff's Office,Phillips,2,County,,,,,7,CO,303,Phillips,08095,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1960,,2016,2013,2016,1177,8D,"Non-MSA counties under 10,000",L,N,N,12,12,7,,,,2016,4,0,80734,40.594712,-102.345105
1974,CO0320300,CO0320300,Flagler Police Department,Flagler,1,City,,,1087,Flagler,7,CO,287,Kit Carson,08063,A,23358,COUCR0001,Colorado Bureau of Investigation Uniform Crime Reporting,CO,1978,,2016,2014,2008,562,7,"Cities under 2,500",L,N,N,0,0,0,1971,CO0320000,Kit Carson,1993,1,0,80815,39.30534,-102.603023
