bias_id,offense_id
21,2436765
21,2436856
21,2436809
21,2436804
21,2436818
21,2436823
21,2436820
21,2436821
21,2436835
21,2436838
21,2436837
21,2436977
21,2437244
21,2437266
21,2437592
21,2437596
21,2437595
21,2437593
21,2437597
21,2437594
21,2437591
21,2405824
21,2405825
21,2407456
21,2407457
21,2406187
21,2406365
21,2406319
21,2406270
21,2406271
21,2406199
21,2406556
21,2406402
21,2406403
21,2406719
21,2406923
21,2407119
21,2407021
21,2407289
21,2407219
21,2407179
21,2407441
21,2407427
21,2407350
21,2407300
21,2411238
21,2411136
21,2411241
21,2411242
21,2411243
21,2411244
21,2411228
21,2411218
21,2411652
21,2411651
21,2411702
21,2411699
21,2411700
21,2411697
21,2411727
21,2411836
21,2411838
21,2411835
21,2411857
21,2412002
22,2412225
21,2412195
22,2412174
21,2412160
22,2412149
21,2412143
21,2412194
22,2412226
21,2412221
21,2412213
21,2412207
21,2412283
21,2412310
22,2412896
21,2412875
21,2412837
21,2412838
21,2412821
21,2412822
21,2412820
21,2412818
21,2412812
21,2412809
21,2412794
21,2412795
21,2412792
21,2412791
21,2412873
21,2412872
21,2412871
21,2412867
21,2412855
21,2412853
21,2412849
21,2412850
21,2412844
21,2412836
22,2413042
21,2412930
21,2413440
21,2413413
21,2413414
21,2413521
21,2413522
21,2413523
22,2413647
21,2413619
21,2413618
21,2413602
21,2413570
21,2413733
2,2414103
21,2413701
21,2414100
22,2414099
21,2414106
21,2414040
21,2414039
21,2413784
21,2413785
22,2413783
21,2413782
21,2413743
21,2414107
21,2414104
21,2413816
21,2413814
21,2413804
21,2413801
21,2413972
21,2413941
21,2413873
21,2413853
21,2413403
21,2414102
21,2413967
22,2413946
22,2413936
22,2413931
21,2414109
21,2414105
22,2414003
22,2413995
22,2413991
21,2414108
21,2414101
21,2414077
21,2414078
22,2414071
21,2414069
21,2414052
22,2414045
22,2414043
21,2414038
21,2414024
21,2415118
21,2415740
21,2415643
21,2414261
21,2414507
21,2414484
21,2414686
21,2414602
21,2414584
21,2414856
21,2414792
21,2415137
21,2415067
21,2415048
21,2415011
21,2414991
21,2414974
21,2414964
21,2414903
21,2415202
21,2415194
21,2415114
21,2415102
21,2415035
21,2416320
21,2416319
21,2416317
21,2416316
21,2416315
21,2416313
21,2416310
21,2416305
21,2416297
21,2416294
21,2416289
21,2416286
21,2416285
21,2416284
21,2416280
21,2416277
21,2416276
21,2416274
21,2416273
21,2416268
21,2416265
21,2416264
21,2416262
21,2416261
21,2416260
21,2416259
21,2416258
21,2416257
21,2416256
21,2416255
21,2416253
21,2416252
21,2416250
21,2416249
21,2416243
21,2416240
21,2416239
21,2416238
21,2416234
21,2416233
21,2416228
21,2416227
21,2416226
21,2416225
21,2416221
21,2416219
21,2416217
21,2416215
21,2416212
21,2416211
21,2416210
21,2416208
21,2416204
21,2416203
21,2416199
21,2416198
21,2416196
21,2416197
21,2416195
21,2416194
21,2416189
21,2416183
21,2416179
21,2416175
21,2416174
21,2416173
21,2416169
21,2416165
21,2416164
21,2416159
21,2416158
21,2416156
21,2416153
21,2416152
21,2416149
21,2416148
21,2416145
21,2416146
21,2416147
21,2416143
21,2416141
21,2416137
21,2416136
21,2416135
21,2416134
21,2416131
21,2416130
21,2416129
21,2416126
21,2416127
21,2416128
21,2416121
21,2416119
21,2416118
21,2416117
21,2416116
21,2416115
21,2416112
21,2416110
21,2416109
21,2416107
21,2416105
21,2416104
21,2416101
21,2416097
21,2416096
21,2416095
21,2416094
21,2416093
21,2416089
21,2416090
21,2416088
21,2416087
21,2416084
21,2416079
21,2416076
21,2416074
21,2416072
21,2416067
21,2416065
21,2416066
21,2416062
21,2416063
21,2416064
21,2416056
21,2416057
21,2416053
21,2416054
21,2416055
21,2416052
21,2416043
21,2416042
21,2416041
21,2416039
21,2416038
21,2416036
21,2416034
21,2420632
21,2416624
21,2416621
21,2416619
21,2416620
21,2416617
21,2416615
21,2416613
21,2416609
21,2416610
21,2416606
21,2416595
21,2416593
21,2416594
21,2416592
21,2416590
21,2416589
21,2416587
21,2416588
21,2416586
21,2416583
21,2416584
21,2416582
21,2416581
21,2416576
21,2416571
21,2416568
21,2416569
21,2416570
21,2416565
21,2416561
21,2416559
21,2416558
21,2416557
21,2416547
21,2416545
21,2416546
21,2416544
21,2416543
21,2416542
21,2416540
21,2416539
21,2416535
21,2416534
21,2416533
21,2416532
21,2416530
21,2416528
21,2416529
21,2416526
21,2416524
21,2416520
21,2416519
21,2416516
21,2416515
21,2416512
21,2416510
21,2416508
21,2416502
21,2416501
21,2416498
