"DATA_YEAR","VICTIM_ID","OFFENSE_ID"
2016,90319340,109792906
2016,90311188,103916972
2016,90311189,103916973
2016,90311191,103916975
2016,90311200,103916982
2016,90311205,103916987
2016,90312160,103917922
2016,90312163,103917926
2016,90312172,103917931
2016,90312173,103917933
2016,90312176,103917936
2016,90312177,103917936
2016,90312180,103917940
2016,90312184,103917943
2016,90312187,103917946
2016,90312188,103917946
2016,90312193,103917953
2016,90312199,103917962
2016,90312200,103917963
2016,90312201,103917964
2016,90312202,103917964
2016,90312203,103917964
2016,90312205,103917966
2016,90312214,103917977
2016,90312218,103917980
2016,90312662,103918404
2016,90312666,103918407
2016,90312667,103918408
2016,90312675,103918417
2016,90312683,103918428
2016,90312685,103918430
2016,90312686,103918431
2016,90312689,103918433
2016,90312690,103918434
2016,90312695,103918439
2016,90312706,103918446
2016,90312708,103918448
2016,90312718,103918458
2016,90312727,103918466
2016,90311220,103917004
2016,90311221,103917005
2016,90311222,103917006
2016,90311231,103917016
2016,90311243,103917024
2016,90311250,103917033
2016,90311254,103917036
2016,90311256,103917038
2016,90311257,103917039
2016,90311258,103917040
2016,90311261,103917043
2016,90311262,103917043
2016,90311266,103917048
2016,90311267,103917050
2016,90311278,103917063
2016,90311279,103917064
2016,90311281,103917067
2016,90311288,103917074
2016,90311773,103917535
2016,90312226,103917989
2016,90312227,103917989
2016,90312228,103917990
2016,90312229,103917991
2016,90312232,103917995
2016,90312252,103918009
2016,90312253,103918009
2016,90312254,103918010
2016,90312272,103918025
2016,90312273,103918026
2016,90312274,103918027
2016,90312301,103918050
2016,90312304,103918051
2016,90312732,103918472
2016,90312733,103918472
2016,90312735,103918473
2016,90312745,103918484
2016,90312748,103918487
2016,90312749,103918488
2016,90312758,103918499
2016,90312764,103918507
2016,90312769,103918515
2016,90312770,103918517
2016,90312771,103918517
2016,90312775,103918521
2016,90312776,103918521
2016,90312777,103918522
2016,90312778,103918523
2016,90312782,103918527
2016,90312783,103918528
2016,90312784,103918529
2016,90312785,103918531
2016,90312788,103918534
2016,90312792,103918537
2016,90311302,103917089
2016,90311304,103917091
2016,90311306,103917094
2016,90311307,103917095
2016,90311321,103917111
2016,90311333,103917123
2016,90311336,103917126
2016,90311338,103917128
2016,90311340,103917130
2016,90311342,103917132
2016,90311344,103917134
2016,90311349,103917140
2016,90311351,103917141
2016,90311355,103917144
2016,90311893,103917640
2016,90311895,103917641
2016,90312317,103918059
2016,90312318,103918059
2016,90312321,103918064
2016,90312324,103918067
2016,90312327,103918072
2016,90312328,103918074
2016,90312335,103918084
2016,90312338,103918087
2016,90312339,103918088
2016,90312342,103918090
2016,90312348,103918097
2016,90312352,103918100
2016,90312355,103918105
2016,90312356,103918106
2016,90312358,103918108
2016,90312368,103918118
2016,90312370,103918120
2016,90306836,103912756
2016,90306840,103912760
2016,90306869,103912793
2016,90306870,103912794
2016,90306873,103912796
2016,90306875,103912799
2016,90306878,103912801
2016,90306880,103912803
2016,90307342,103913250
2016,90307352,103913260
2016,90307370,103913277
2016,90307383,103913287
2016,90307390,103913293
2016,90307855,103913728
2016,90307861,103913734
2016,90307866,103913739
2016,90307873,103913747
2016,90307876,103913751
2016,90307877,103913751
2016,90307886,103913758
2016,90307893,103913768
2016,90307894,103913769
2016,90307903,103913776
2016,90308353,103914200
2016,90308365,103914213
2016,90308368,103914216
2016,90308372,103914220
2016,90308373,103914222
2016,90308374,103914224
2016,90308378,103914230
2016,90308382,103914235
2016,90308386,103914238
2016,90308389,103914241
2016,90308390,103914241
2016,90308391,103914242
2016,90308402,103914253
2016,90306903,103912826
2016,90306911,103912835
2016,90306912,103912836
2016,90306933,103912855
2016,90306938,103912859
2016,90306943,103912862
2016,90306944,103912863
2016,90306948,103912867
2016,90306949,103912867
2016,90306950,103912867
2016,90306951,103912867
2016,90306960,103912875
2016,90306969,103912885
2016,90306970,103912886
2016,90306971,103912886
2016,90306972,103912887
2016,90307404,103913304
