"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,94231227,17,22650,24-JAN-17,98397669
2017,94231229,17,78150,,98397674
2017,94231234,7,1,,98397687
2017,94231231,63,1,,98397681
2017,94231236,63,20000,,98397684
2017,94231237,7,400,,98397689
2017,94231237,63,1,,98397690
2017,94231241,8,8,,98397699
2017,94231243,13,500,,98397695
2017,94231243,2,70,,98397694
2017,94231243,26,1390,,98397701
2017,94231248,63,150,,98397710
2017,94231248,17,500,,98397705
2017,94231248,26,40,,98397709
2017,94231259,7,400,,98397724
2017,94231258,25,50,,98397723
2017,94231257,21,617,,98397722
2017,94231256,63,712,,98397721
2017,94231263,63,2000,,98397730
2017,94231267,3,4800,,98397733
2017,94231269,17,15,,98397736
2017,94231271,63,1,,98397738
2017,94231270,63,400,,98397737
2017,94231275,3,300,,98397743
2017,94231273,10,,,98397740
2017,94231277,13,400,,98397742
2017,94231276,8,72,,98397744
2017,94231312,36,838,,98397797
2017,94231311,15,8000,,98397796
2017,94231310,15,8000,29-JAN-17,98397795
2017,94231314,16,2500,,98397800
2017,94231286,63,100,,98397759
2017,94231287,63,0,,98397761
2017,94231280,6,28,,98397748
2017,94231280,63,3,,98397750
2017,94231279,10,,,98397746
2017,94231295,20,326,,98397769
2017,94231301,35,20000,,98397784
2017,94231305,21,1400,,98397790
2017,94231308,8,35,,98397793
2017,94231309,20,1575,,98397794
2017,94231314,63,2100,,98397802
2017,94231344,63,1,,98397835
2017,94231350,63,11,,98397842
2017,94231315,11,1,,98397799
2017,94231315,63,1,,98397801
2017,94231315,10,,,98397798
2017,94231316,19,5,,98397805
2017,94231318,11,1,,98397809
2017,94231320,10,,,98397810
2017,94231322,11,1,,98397812
2017,94231322,10,,,98397811
2017,94231326,38,60,,98397818
2017,94231326,26,150,,98397817
2017,94231329,20,2025,,98397819
2017,94231333,38,50,,98397823
2017,94231330,38,200,,98397821
2017,94231334,20,1000,,98397825
2017,94231337,38,600,,98397828
2017,94231340,36,120,,98397831
2017,94231338,36,120,28-JAN-17,98397830
2017,94231341,13,300,,98397832
2017,94231345,63,1,,98397837
2017,94231349,28,8600,30-JAN-17,98397841
2017,94231351,28,8600,,98397843
2017,94231355,63,500,,98397847
2017,94231354,63,500,,98397846
2017,94231356,63,988,,98397848
2017,94231360,15,3500,,98397850
2017,94231347,63,1,,98397839
2017,94231357,19,1960,,98397845
2017,94231353,19,1960,28-JAN-17,98397844
2017,94231361,26,1,,98397851
2017,94231362,21,2000,,98397852
2017,94231364,20,100,,98397854
2017,94231365,24,50000,,98397859
2017,94231370,17,215,,98397868
2017,94231370,7,1,,98397864
2017,94231375,13,500,,98397874
2017,94231375,63,900,,98397876
2017,94231389,8,5,,98397894
2017,94231387,8,5,30-JAN-17,98397891
2017,94231392,3,400,,98397896
2017,94231397,36,700,,98397904
2017,94231400,3,2500,,98397914
2017,94231401,63,1,,98397916
2017,94231404,20,2000,,98397919
2017,94231410,36,800,,98397924
2017,94231410,63,500,,98397925
2017,94231414,4,100,,98397929
2017,94231414,63,300,,98397930
2017,94231418,63,1,,98397934
2017,94231416,3,300,,98397933
2017,94231419,19,29,,98397936
2017,94231424,19,381,,98397942
2017,94231430,16,100,,98397950
2017,94231439,19,951,,98397958
2017,94234750,10,,,98402488
2017,94234762,11,2,,98402502
2017,94234767,20,1105,,98402510
2017,94234782,10,,,98402536
2017,94234789,11,1,,98402547
2017,94234789,10,,,98402546
2017,94234792,11,1,,98402550
2017,94234792,10,,,98402549
2017,94234790,63,0,10-JAN-17,98402548
2017,94234791,63,22,,98402551
2017,94234794,11,3,,98402555
2017,94234794,10,,,98402554
2017,94234797,10,,,98402557
2017,94234797,11,1,,98402559
2017,94234795,10,,,98402556
2017,94234795,11,2,,98402560
2017,94234799,11,1,,98402564
2017,94234799,10,,,98402563
2017,94234801,63,998,,98402567
2017,94234805,10,,,98402571
2017,94234806,11,2,,98402575
2017,94234806,10,,,98402573
2017,94234804,63,1,,98402570
2017,94234809,11,1,,98402576
2017,94234809,10,,,98402574
2017,94234807,10,,,98402572
2017,94234813,10,,,98402582
2017,94234817,10,,,98402589
2017,94234816,10,,,98402588
2017,94234818,10,,,98402592
2017,94220329,3,20000,,98384017
2017,94220393,10,,,98384098
2017,94231272,13,800,,98397739
2017,94231342,63,1300,,98397833
2017,94220322,20,216,,98384010
2017,94220338,63,1,,98384031
2017,94220342,20,2,,98384038
2017,94220336,20,80,,98384028
2017,94220345,20,60,,98384040
2017,94220345,19,1,,98384027
2017,94220348,20,1,,98384044
2017,94220357,20,1,,98384055
2017,94220375,20,480,,98384082
2017,94220381,6,677,,98384087
2017,94220384,6,150,,98384089
2017,94220386,19,137,,98384092
2017,94220387,19,41,,98384094
2017,94220390,63,1,,98384096
2017,94220392,63,65,,98384097
2017,94220388,63,100,,98384093
2017,94220395,19,338,,98384100
2017,94220398,6,400,,98384107
2017,94220394,10,,,98384099
2017,94220404,13,885,,98384113
2017,94220408,19,1,,98384116
2017,94220407,4,200,,98384115
2017,94220409,10,,,98384117
2017,94220414,26,500,,98384124
2017,94220416,7,600,,98384125
2017,94220444,3,5000,,98384147
2017,94220447,20,1526,,98384164
2017,94220449,10,,,98384166
2017,94220452,19,3480,,98384170
2017,94220451,63,1,,98384171
2017,94220451,20,98,,98384169
2017,94220451,19,469,,98384168
2017,94220458,20,25,,98384179
2017,94220459,20,900,,98384176
2017,94220480,20,200,,98384208
2017,94220486,63,2,,98384214
2017,94220486,19,1,,98384200
2017,94220486,9,0,,98384197
2017,94220476,19,55,17-JAN-17,98384195
2017,94220484,19,55,,98384212
2017,94220493,6,497,,98384218
2017,94220491,63,101,,98384217
2017,94220489,13,600,,98384216
2017,94220497,63,1,,98384224
2017,94220501,63,800,,98384229
2017,94220506,6,104,,98384236
2017,94220519,10,,,98384250
2017,94220529,63,13000,,98384267
2017,94220544,10,,,98384284
2017,94220554,10,,,98384285
2017,94220554,11,1,,98384287
2017,94220547,63,485,,98384288
2017,94220559,10,,,98384314
2017,94220568,13,550,,98384320
2017,94220578,9,0,,98384325
2017,94220570,26,448,,98384330
2017,94220583,2,72,,98384347
2017,94220594,10,,,98384358
2017,94220592,63,10,,98384354
2017,94220567,63,40,,98384326
2017,94220606,63,125,,98384368
2017,94220613,3,2,,98384373
2017,94220616,63,1,,98384376
2017,94220617,31,5000,,98384379
2017,94220632,2,61,,98384391
2017,94220625,19,33,26-JAN-17,98384386
2017,94220629,19,33,,98384390
2017,94220666,19,165,,98384435
2017,94220665,6,33,,98384432
2017,94220677,63,701,,98384447
2017,94220677,20,72,,98384445
2017,94220678,63,5000,,98384448
2017,94220692,19,435,,98384466
2017,94220691,19,435,30-JAN-17,98384465
2017,94220682,19,321,,98384453
2017,94220694,63,1,,98384468
2017,94220711,3,1,,98384489
2017,94220703,21,20,,98384481
2017,94220706,19,10,31-JAN-17,98384484
2017,94220708,19,10,,98384487
2017,94220714,19,1712,,98384494
2017,94232276,3,3000,,98399045
2017,94232292,20,91,,98399070
2017,94232301,20,70,,98399089
2017,94232313,3,1,,98399100
2017,94232336,25,300,,98399124
2017,94232345,11,1,,98399132
2017,94232345,10,,,98399129
2017,94232346,11,1,,98399133
2017,94232346,10,,,98399130
2017,94232347,6,15,,98399136
2017,94232344,6,15,06-JAN-17,98399135
2017,94232349,20,1,,98399139
2017,94221054,20,1,,98384916
2017,94221055,13,1,16-JAN-17,98384917
2017,94221056,10,,,98384918
2017,94221073,2,38,,98384934
2017,94220630,63,499,,98384392
2017,94232359,10,,,98399157
2017,94232360,20,5863,,98399159
2017,94232361,10,,,98399165
2017,94232373,20,100,,98399183
2017,94232446,6,110,09-JAN-17,98399270
2017,94232451,6,110,,98399278
2017,94232450,3,1,09-JAN-17,98399273
2017,94232450,37,1,10-JAN-17,98399276
2017,94232456,37,1,,98399284
2017,94232456,3,1,,98399281
2017,94232467,20,25,,98399293
2017,94232371,13,500,11-JAN-17,98399177
2017,94232374,13,500,,98399184
2017,94232389,6,120,,98399199
2017,94232389,63,30,,98399203
2017,94232409,13,650,,98399219
2017,94232438,63,50,,98399255
2017,94232447,21,1,,98399271
2017,94232452,7,800,,98399268
2017,94232452,63,60,,98399279
2017,94232452,13,100,,98399277
2017,94232464,63,300,,98399291
2017,94232464,16,100,,98399285
2017,94232464,38,750,,98399287
2017,94232465,36,1800,,98399292
2017,94232466,8,8,,98399294
2017,94232469,6,200,,98399296
2017,94232468,6,200,11-JAN-17,98399295
2017,94232473,20,60,,98399303
2017,94232475,63,100,,98399306
2017,94232489,63,20,,98399321
2017,94232474,20,22,,98399300
2017,94232474,25,20,,98399304
2017,94232474,21,1,,98399302
2017,94232474,9,0,,98399298
2017,94232474,63,1,,98399305
2017,94232485,20,32,,98399316
2017,94232498,63,120,,98399328
2017,94232498,25,20,,98399325
2017,94232508,20,1,,98399340
2017,94232501,36,100,,98399331
2017,94232494,29,100,,98399323
2017,94232512,8,7,,98399347
2017,94232547,10,,,98399381
2017,94232547,13,1,,98399383
2017,94232547,11,1,,98399382
2017,94232555,21,320,,98399395
2017,94232555,20,378,,98399388
2017,94232534,63,250,13-JAN-17,98399368
2017,94232541,63,250,,98399375
2017,94232582,3,2500,,98399439
2017,94232577,3,2500,26-JAN-17,98399425
2017,94232593,6,200,,98399451
2017,94232589,10,,,98399442
2017,94232589,11,1,,98399446
2017,94232607,3,300,,98399465
2017,94232606,36,234,20-JAN-17,98399464
2017,94232612,36,234,,98399473
2017,94232612,19,159,,98399471
2017,94232614,37,1,,98399478
2017,94232610,36,500,,98399466
2017,94232608,63,1,,98399468
2017,94232620,6,14,16-JAN-17,98399481
2017,94232624,63,35,,98399490
2017,94232624,6,28,,98399484
2017,94232620,63,35,16-JAN-17,98399483
2017,94232645,10,1,,98399513
2017,94232647,19,38,,98399512
2017,94232647,25,55,,98399515
2017,94232642,25,55,18-JAN-17,98399506
2017,94232642,19,38,18-JAN-17,98399497
2017,94232658,63,800,,98399529
2017,94232651,13,450,22-JAN-17,98399524
2017,94232653,13,450,,98399526
2017,94232661,10,,,98399528
2017,94232665,63,1,,98399535
2017,94232662,35,220,,98399532
2017,94232667,63,100,,98399537
2017,94232669,19,20,18-JAN-17,98399534
2017,94232677,19,20,,98399553
2017,94232693,16,1142,,98399576
2017,94232701,63,1,,98399585
2017,94232701,6,60,,98399582
2017,94232699,8,175,25-JAN-17,98399583
2017,94232703,8,175,,98399588
2017,94232705,9,0,,98399589
2017,94232713,6,550,26-JAN-17,98399600
2017,94232715,6,550,,98399602
2017,94232722,20,1,,98399607
2017,94232720,35,1,,98399605
2017,94232729,63,200,,98399610
2017,94232728,25,1,,98399617
2017,94232724,25,1,27-JAN-17,98399609
2017,94232728,20,350,,98399613
2017,94232728,63,37,,98399619
2017,94232736,20,315,,98399625
2017,94232741,63,1,,98399629
2017,94232751,10,,,98399638
2017,94232753,38,100,,98399647
2017,94232761,63,700,,98399659
2017,94232765,20,2700,,98399664
2017,94232769,63,1,,98399670
2017,94232773,36,1000,,98399679
2017,94232773,16,3150,,98399677
2017,94232774,10,,,98399676
2017,94230629,3,1,,98396818
2017,94230676,25,76,,98396874
2017,94230676,9,0,,98396872
2017,94230676,63,1,,98396877
2017,94230841,63,1,,98397106
2017,94231105,63,304,,98397495
2017,94231246,63,2,,98397708
2017,94231246,20,45000,,98397704
2017,94231359,63,1,,98397849
2017,94232299,19,42,,98399085
2017,94232296,19,42,03-JAN-17,98399072
2017,94232356,10,,,98399154
2017,94232430,13,500,,98399245
2017,94232530,63,40,,98399363
2017,94232619,63,300,,98399482
2017,94232695,10,,,98399575
2017,94232711,63,50,,98399595
2017,94232711,16,250,,98399594
2017,101425605,63,25,,107759691
2017,101425605,15,100,,107759690
2017,101425633,11,2,,107759724
2017,101425633,10,,,107759722
2017,101425644,6,40,,107759729
2017,101425644,20,33,,107759733
2017,101425644,19,300,,107759731
2017,101425644,36,75,,107759735
2017,101425644,7,850,,107759730
2017,101426914,63,35,,107761258
2017,101426933,8,7,,107761292
2017,101426932,8,7,10-JUN-17,107761291
2017,101426941,4,100,,107761303
2017,101426992,20,4428,,107761357
2017,101427004,63,75,,107761372
2017,101427011,63,175,,107761375
2017,101427025,6,1,,107761391
2017,101427038,3,5000,,107761402
2017,101427128,26,550,,107761504
2017,101427125,30,100,,107761499
2017,101427128,63,10,,107761505
2017,101427152,17,1,,107761528
2017,101427152,26,315,,107761530
2017,101427152,63,1,,107761531
2017,101427163,20,90,,107761543
2017,101427179,63,4500,,107761569
2017,101427196,10,,,107761583
2017,101427254,35,500,,107761659
2017,101427258,63,2,,107761665
2017,101427286,13,525,,107761698
2017,101427286,63,2,,107761700
2017,101427486,13,1,,107761948
2017,101427508,20,211,,107761972
2017,101427596,63,280,,107762057
2017,101427653,3,1500,,107762128
2017,101427807,13,1500,,107762281
2017,101427811,8,6,,107762284
2017,101428002,4,100,,107762503
2017,101425545,3,23000,,107759604
2017,101425565,10,,,107759631
2017,101425565,11,10,,107759632
2017,101425593,20,400,,107759674
2017,101425632,10,,,107759719
2017,101426901,11,86,,107761242
2017,101426901,63,15,,107761246
2017,101426901,10,,,107761240
2017,101426991,63,100,,107761356
2017,101426991,36,100,,107761355
2017,101427023,63,350,,107761384
2017,101427071,6,300,,107761441
2017,101427217,10,1,,107761611
2017,101427280,10,,,107761692
2017,101427316,13,900,,107761741
2017,101427321,35,250,,107761745
2017,101427354,10,,,107761790
2017,101427354,11,2,,107761791
2017,101427391,63,270,,107761832
2017,101427558,36,100,,107762021
2017,101427625,16,2501,,107762097
2017,101427625,6,1,,107762093
2017,101427625,26,300,,107762099
2017,101427641,16,374,,107762115
2017,101427674,63,10,,107762152
2017,101427744,2,225,,107762216
2017,101427113,38,1,,107761485
2017,101427122,63,1782,,107761492
2017,101427158,26,200,,107761538
2017,101427182,3,2750,,107761566
2017,101427174,3,2750,23-AUG-17,107761562
2017,101427212,10,,,107761603
2017,101427212,11,1,,107761606
2017,101427248,10,,,107761650
2017,101427248,11,14,,107761652
2017,101427263,11,40,,107761673
2017,101427263,10,,,107761668
2017,101427277,10,,,107761687
2017,101427277,11,2,,107761688
2017,101427288,63,2,,107761703
2017,101427337,24,9000,30-JUL-17,107761765
2017,101427343,63,66297,,107761780
2017,101427337,63,66297,30-JUL-17,107761771
2017,101427343,38,3500,,107761779
2017,101427337,38,3500,30-JUL-17,107761766
2017,101427343,24,9000,,107761778
2017,101427389,3,5000,,107761829
2017,101427476,63,100,,107761937
2017,101427541,8,5,,107762005
2017,101427539,16,350,,107762003
2017,101427557,13,850,,107762020
2017,101427632,26,200,,107762106
2017,101427658,13,640,,107762134
2017,101427887,11,5,,107762372
2017,101427887,10,,,107762369
2017,101428008,8,29,,107762514
2017,101428006,33,900,,107762510
2017,101425504,20,200,,107759559
2017,101425527,26,624,,107759583
2017,101425534,38,1,,107759590
2017,101425642,10,,,107759736
2017,101425648,17,4400,,107759743
2017,101426939,20,3000,,107761299
2017,101426958,38,400,,107761322
2017,101426998,20,856,,107761364
2017,101427029,63,0,,107761393
2017,101427045,20,25,,107761405
2017,101427045,63,7,,107761406
2017,101427123,36,510,,107761496
2017,101427123,16,40,,107761495
2017,101427276,10,,,107761689
2017,101427306,38,1500,,107761723
2017,101427395,38,200,,107761837
2017,101427448,63,600,,107761905
2017,101427505,63,1200,,107761971
2017,101427524,10,,,107761991
2017,101427592,21,1,,107762053
2017,101427616,26,300,,107762088
2017,101427616,17,1399,,107762087
2017,101427616,7,200,,107762085
2017,101427631,26,180,,107762105
2017,101427652,63,1,,107762127
2017,101426994,63,10,,107761360
2017,101426994,36,75,,107761358
2017,101427003,10,,,107761363
2017,101427003,11,25,,107761365
2017,101427022,63,0,,107761385
2017,101427068,19,118,,107761436
2017,101427064,10,,,107761431
2017,101427064,11,1,,107761432
2017,101427059,19,118,01-AUG-17,107761426
2017,101427095,36,1141,,107761468
2017,101427109,10,,,107761480
2017,101427109,11,1,,107761481
2017,101427171,7,1,,107761552
2017,101427171,63,10,,107761557
2017,101427171,16,539,,107761554
2017,101427171,36,1795,,107761556
2017,101427279,10,,,107761691
2017,101427447,3,300,,107761904
2017,101427590,63,400,,107762050
2017,101427626,8,4,,107762100
2017,101427649,63,20,,107762124
2017,101427649,10,15,,107762121
2017,101427858,17,1,,107762335
2017,101427858,63,1,,107762337
2017,101427914,63,1000,,107762405
2017,101427950,10,,,107762435
2017,101427149,29,1500,,107761526
2017,101427164,63,5259,,107761544
2017,101427287,63,2,,107761701
2017,101427284,29,100,,107761697
2017,101427311,20,152,,107761731
2017,101427311,63,2,,107761735
2017,101427340,25,130,,107761772
2017,101427340,20,400,,107761767
2017,101427340,63,86,,107761775
2017,101427485,63,1400,,107761949
2017,101427512,6,62,,107761978
2017,101427540,27,70,,107762004
2017,101427561,19,36,,107762024
2017,101427574,63,30,,107762037
2017,101427624,15,25,,107762098
2017,101427648,8,9,,107762123
2017,101427645,8,9,18-JUL-17,107762120
2017,101427670,20,500,,107762148
2017,101427675,4,1,,107762151
2017,101427684,35,200,,107762161
2017,101427872,26,500,,107762354
2017,101427903,63,163,,107762392
2017,101427909,63,1,,107762398
2017,101427962,63,1,,107762452
2017,101427993,13,300,,107762493
2017,101428025,63,0,,107762530
2017,102192864,19,210,,108755265
2017,102192905,63,50,,108755311
2017,102192994,20,100,,108755416
2017,102192994,8,4,,108755409
2017,102193193,63,3,,108755654
2017,102193193,19,50,,108755650
2017,102193421,20,1,,108755941
2017,102193485,38,1,,108756030
2017,102193530,38,300,,108756083
2017,102193571,13,250,,108756133
2017,102193623,10,35,,108756195
2017,102193677,17,1,,108756258
2017,102193766,20,20,,108756375
2017,102194306,63,300,,108757048
2017,102194334,9,0,,108757074
2017,102194437,10,,,108757200
2017,102194514,3,100,,108757289
2017,101893798,4,1,,108365634
2017,102556807,38,1,,109235248
2017,102557196,19,59,21-JAN-17,109235736
2017,102557199,19,59,,109235738
2017,102559678,63,1,,109238883
2017,102559677,21,1900,,109238881
2017,102560171,26,2000,,109239490
2017,102560198,63,500,,109239550
2017,102561914,63,1,,109241704
2017,102565465,63,1,,109246475
2017,102569670,63,1,,109251823
2017,102569770,10,,,109251939
2017,102569903,24,1,,109252120
2017,102569914,63,1,,109252142
