"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2017,110316551,97691748,3,5,35,"M",2,,30,40
2017,110316566,97691788,1,5,25,"F",2,,20,30
2017,110316572,97691788,2,5,35,"F",1,,30,40
2017,110316699,97691866,0,,,"",,,,
2017,110316803,97691960,0,,,"",,,,
2017,110316901,97692036,0,,,"",,,,
2017,110317086,97692203,1,5,50,"F",0,,50,0
2017,110317159,97692268,1,5,39,"F",2,,39,0
2017,110317238,97692340,0,,,"",,,,
2017,110317296,97692390,1,4,,"U",0,,,
2017,110317333,97692412,1,4,,"U",0,,,
2017,110317355,97692435,1,5,55,"F",1,,55,0
2017,110317583,97692628,1,5,13,"M",2,,13,0
2017,110317644,97692689,1,5,40,"M",2,,40,0
2017,110317746,97692777,4,5,18,"F",1,,18,0
2017,110317737,97692777,1,5,20,"M",2,,20,0
2017,112682434,99736211,0,,,"",,,,
2017,112680146,99741299,1,5,14,"M",1,,14,0
2017,112675925,99741117,1,4,,"U",0,,,
2017,112676023,99741177,2,5,31,"M",1,,31,0
2017,112676022,99741177,1,5,28,"F",1,,28,0
2017,112680409,99736602,1,5,22,"M",2,,22,0
2017,110316549,97691747,0,,,"",,,,
2017,110316895,97692037,0,,,"",,,,
2017,110316933,97692066,0,,,"",,,,
2017,110316938,97692084,1,5,45,"M",2,,45,0
2017,110317008,97692126,0,,,"",,,,
2017,110317026,97692151,1,5,20,"M",1,,20,0
2017,110317105,97692213,1,5,43,"F",1,,43,0
2017,110317180,97692287,1,5,30,"M",1,,30,0
2017,110317200,97692303,0,,,"",,,,
2017,110317289,97692391,1,5,37,"M",2,,37,0
2017,110317330,97692434,1,5,31,"M",2,,31,0
2017,110317332,97692434,2,5,24,"F",1,,24,0
2017,110317425,97692495,2,5,32,"M",1,,32,0
2017,110317424,97692495,1,5,27,"F",1,,27,0
2017,110317448,97692509,1,5,25,"F",1,,25,0
2017,110317483,97692537,1,5,34,"M",1,,34,0
2017,110317529,97692580,1,4,,"U",0,,,
2017,110317550,97692598,1,4,,"U",0,,,
2017,110317603,97692650,1,5,29,"F",1,,29,0
2017,110317633,97692677,1,4,,"U",0,,,
2017,110317677,97692715,1,5,25,"M",1,,25,0
2017,110317792,97692808,1,5,33,"F",1,,33,0
2017,110317896,97692900,1,5,53,"M",1,,53,0
2017,110317942,97692935,1,4,,"F",1,,,
2017,110318141,97693101,1,5,32,"F",1,,32,0
2017,110318260,97693192,1,4,,"U",0,,,
2017,110318321,97693241,3,5,22,"M",1,,22,0
2017,110318318,97693241,2,5,39,"M",1,,39,0
2017,110318342,97693256,1,4,,"U",0,,,
2017,110318377,97693295,2,5,16,"F",2,,16,0
2017,110318373,97693295,1,5,16,"F",2,,16,0
2017,110318706,97693563,1,4,,"U",0,,,
2017,110318777,97693624,1,5,42,"M",1,,42,0
2017,110318871,97693691,1,5,32,"M",1,,32,0
2017,110318977,97693791,1,5,53,"M",1,,53,0
2017,110319023,97693830,1,5,22,"M",1,,22,0
2017,110319171,97693956,2,5,28,"F",1,,28,0
2017,110319209,97693979,1,5,21,"F",1,,21,0
2017,110319246,97694018,1,5,28,"M",2,,28,0
2017,110319259,97694035,1,5,24,"M",1,,24,0
2017,110319296,97694063,1,4,,"U",0,,,
2017,110319313,97694074,1,4,,"U",0,,,
2017,110319437,97694182,1,5,25,"M",1,,25,0
2017,110319498,97694235,1,5,44,"M",1,,44,0
2017,110319653,97694372,4,5,16,"M",1,,16,0
2017,110319650,97694372,2,5,16,"M",2,,16,0
2017,110319651,97694372,3,5,16,"M",2,,16,0
2017,110319645,97694372,1,5,18,"M",2,,18,0
2017,110319664,97694394,1,5,31,"M",1,,31,0
2017,110319730,97694435,1,4,,"F",1,,,
2017,110319750,97694458,2,5,18,"M",1,,18,0
2017,110319779,97694478,1,5,43,"M",1,,43,0
2017,110319905,97694593,1,5,24,"M",1,,24,0
2017,110319988,97694662,1,4,,"U",0,,,
2017,110320040,97694707,1,4,,"U",0,,,
2017,110320106,97694756,1,5,18,"M",1,,18,0
2017,110320135,97694778,1,5,35,"F",1,,35,0
2017,110320180,97694823,1,5,22,"M",2,,22,0
2017,110320182,97694823,2,5,22,"F",2,,22,0
2017,110320211,97694851,1,5,14,"F",2,,14,0
2017,110320216,97694851,2,5,13,"F",2,,13,0
